artist_title,days,t10,pk,x?,pkstreams,total
Ulukmanapo - Расстояние,726,715,1,(x85),"16,516","7,958,662"
Bakr - Эталон красоты,632,281,1,(x18),"18,932","6,096,356"
Bakr - Очи,731,309,2,(x16),"15,184","5,908,782"
Bonapart - Алмата-Семей,666,511,2,(x10),"14,241","5,897,410"
Bakr - Вредина,653,462,3,(x9),"13,466","5,827,560"
Bakr - Сирень,744,270,1,(x26),"15,657","5,709,578"
V $ X V PRiNCE - Мурашки,651,331,2,(x4),"15,045","5,587,785"
INSTASAMKA - ЗА ДЕНЬГИ ДА,428,198,1,(x116),"44,360","4,570,164"
Arctic Monkeys - I Wanna Be Yours,738,121,2,(x16),"12,404","4,549,663"
Irina Kairatovna - 5000,812,82,7,,"10,311","4,474,692"
Xcho - Про любовь,670,122,2,(x1),"11,006","4,206,294"
The Neighbourhood - Sweater Weather,812,90,6,,"7,407","4,190,660"
Skryptonite - Это любовь,812,1,10,,"8,682","4,122,936"
INTERWORLD - METAMORPHOSIS,644,130,6,,"12,047","4,073,952"
Hiro - Особа крутая,706,2,10,,"9,095","3,968,383"
Ulukmanapo - Летали,767,1,10,,"9,609","3,942,115"
V $ X V PRiNCE - Суета,715,73,2,(x4),"9,896","3,778,955"
Irina Kairatovna - Kõk tu,784,88,1,(x14),"9,710","3,628,834"
Irina Kairatovna - Чина,338,152,1,(x60),"28,204","3,571,161"
Kordhell - Murder In My Mind,700,91,5,,"8,678","3,464,152"
Bakr - Ойлорумда,603,,18,,"7,803","3,350,828"
Jung Kook - Seven,303,211,1,(x6),"35,417","3,287,770"
Tom Odell - Another Love,752,62,7,,"8,075","3,242,073"
MiyaGi & Endspiel - I Got Love,812,,18,,"6,532","3,241,101"
V $ X V PRiNCE - Дом 50,653,1,10,,"8,902","3,232,540"
Жугунусов Мирас - Шыда,714,,19,,"7,723","3,194,646"
Jah Khalib - Доча,456,127,1,(x9),"19,384","3,175,605"
Bakr - Статус души,745,1,10,,"8,971","3,155,463"
The Weeknd - Starboy,701,,20,,"6,970","3,137,527"
