artist_title,days,t10,pk,x?,pkstreams,total
The Neighbourhood - Sweater Weather,1398,277,3,(x2),"4,103","3,515,045"
The Weeknd - Blinding Lights,1585,338,1,(x11),"6,420","3,437,993"
MiyaGi & Endspiel - I Got Love,2329,,11,,"2,056","3,299,374"
Glass Animals - Heat Waves,1169,442,1,(x97),"6,054","3,223,972"
J. Cole - No Role Modelz,1373,11,9,,"3,523","2,832,192"
A$AP Rocky - Praise The Lord (Da Shine),1856,26,1,(x1),"5,437","2,668,244"
Harry Styles - As It Was,765,303,1,(x69),"13,200","2,587,688"
Tom Odell - Another Love,1161,127,3,(x2),"3,660","2,422,963"
Lil Peep - Star Shopping,1539,,21,,"2,484","2,388,834"
Vance Joy - Riptide,1365,1,10,,"3,681","2,122,006"
The Neighbourhood - Daddy Issues,1280,,17,,"2,066","1,980,712"
Arctic Monkeys - Why'd You Only Call Me When You're High?,1172,,16,,"2,730","1,944,199"
Elton John - Cold Heart - PNAU Remix,861,225,1,(x1),"5,889","1,843,310"
David Guetta - I'm Good (Blue),622,232,1,(x10),"10,133","1,830,576"
Harry Styles - Watermelon Sugar,1035,122,1,(x2),"4,497","1,820,487"
The Weeknd - Starboy,878,131,1,(x72),"3,728","1,788,158"
Post Malone - rockstar,860,227,1,(x108),"6,741","1,779,947"
SAINt JHN - Roses - Imanbek Remix,740,216,1,(x51),"5,821","1,754,307"
The Kid LAROI - Stay,642,230,1,(x52),"10,380","1,739,830"
Kendrick Lamar - Money Trees,1031,2,10,,"3,205","1,727,388"
The Neighbourhood - Softcore,857,100,2,(x7),"4,256","1,701,332"
Eminem - Without Me,979,,19,,"2,548","1,698,433"
Arctic Monkeys - Do I Wanna Know?,1213,,37,,"1,973","1,697,379"
David Kushner - Daylight,392,233,1,(x68),"11,214","1,675,806"
Lost Frequencies - Where Are You Now,830,127,4,,"3,415","1,649,413"
Miley Cyrus - Flowers,477,171,1,(x83),"19,235","1,641,639"
$ourJ - Draugs mans,1113,,11,,"2,753","1,634,668"
OneRepublic - I Ain't Worried,688,87,2,(x2),"4,472","1,628,505"
Steve Lacy - Dark Red,945,,18,,"2,337","1,595,330"
XXXTENTACION - Revenge,823,,12,,"3,090","1,534,954"
Billie Eilish - bad guy,547,218,1,(x84),"9,262","1,528,000"
