artist_title,days,t10,pk,x?,pkstreams,total
Jessica Shy - Apkabink,429,417,1,(x142),"21,199","4,487,674"
The Weeknd - Blinding Lights,1577,426,1,(x119),"8,339","4,467,529"
Justinas Jarutis - Rugpjūtis,1036,199,1,(x32),"15,675","4,300,909"
Harry Styles - As It Was,769,315,1,(x57),"20,008","4,077,156"
Glass Animals - Heat Waves,1114,324,1,(x31),"9,089","3,989,918"
Jessica Shy - Tyliai Pakuždėk,746,324,1,(x21),"14,271","3,744,275"
The Neighbourhood - Sweater Weather,1352,1,10,,"4,649","3,721,634"
Elton John - Cold Heart - PNAU Remix,954,316,1,(x127),"14,506","3,674,760"
Jessica Shy - Šokam Lėtai,847,199,1,(x4),"9,443","3,586,241"
Jessica Shy - Dėl Tavęs,479,256,1,(x4),"17,573","3,216,389"
Miley Cyrus - Flowers,484,131,1,(x57),"50,262","2,875,186"
Harry Styles - Watermelon Sugar,1262,195,1,(x54),"6,514","2,865,941"
Lost Frequencies - Where Are You Now,899,216,2,(x1),"6,250","2,718,864"
Måneskin - ZITTI E BUONI,535,105,1,(x42),"86,013","2,686,730"
Arctic Monkeys - Why'd You Only Call Me When You're High?,1279,,24,,"3,663","2,641,238"
Jessica Shy - Stadionai,954,1,10,,"7,157","2,544,901"
The Weeknd - Save Your Tears,1093,105,1,(x41),"7,446","2,398,800"
Vaidas Baumila - Kunigunda,684,104,1,(x25),"24,498","2,368,838"
dj nevykele - aerobika,487,155,1,(x48),"14,674","2,344,340"
Arctic Monkeys - I Wanna Be Yours,873,,12,,"4,296","2,323,086"
Arctic Monkeys - 505,1131,,13,,"3,295","2,319,478"
Tom Odell - Another Love,1057,3,9,,"3,957","2,247,791"
The Neighbourhood - Daddy Issues,1231,,22,,"2,549","2,226,563"
The Weeknd - Starboy,907,131,1,(x90),"4,110","2,207,354"
OneRepublic - I Ain't Worried,695,64,6,,"6,188","2,204,811"
David Guetta - I'm Good (Blue),622,116,1,(x1),"11,980","2,202,137"
Arctic Monkeys - Do I Wanna Know?,1254,,44,,"2,636","2,195,846"
Tones And I - Dance Monkey,665,236,1,(x108),"11,719","2,181,996"
Måneskin - I WANNA BE YOUR SLAVE,494,104,2,(x35),"44,371","2,177,745"
J. Cole - No Role Modelz,1138,,36,,"3,257","2,169,184"
Cigarettes After Sex - Apocalypse,934,,20,,"3,776","2,168,221"
SAINt JHN - Roses - Imanbek Remix,790,283,2,(x34),"5,959","2,159,108"
Steve Lacy - Dark Red,974,,22,,"3,222","2,148,726"
The Neighbourhood - Softcore,861,92,3,(x4),"5,298","2,137,687"
Billie Eilish - bad guy,704,227,1,(x74),"11,525","2,121,992"
Måneskin - Beggin',532,145,1,(x4),"13,944","2,118,556"
Eminem - Without Me,996,,29,,"3,193","2,018,109"
The Kid LAROI - Stay,562,158,2,(x18),"10,129","1,983,852"
Proflame - BIZNIS,303,142,2,(x13),"14,400","1,970,567"
Ed Sheeran - Bad Habits,532,141,2,(x3),"10,715","1,923,862"
David Kushner - Daylight,392,78,1,(x4),"11,294","1,918,182"
Kenya Grace - Strangers,254,148,1,(x71),"15,596","1,903,085"
Jovani - Iš Lėto Leidžiasi Saulė,324,100,2,(x11),"17,348","1,900,491"
Peggy Gou - (It Goes Like) Nanana - Edit,332,114,1,(x6),"14,686","1,891,486"
Eyedress - Jealous,1104,,47,,"2,929","1,877,982"
