artist_title,days,t10,pk,x?,pkstreams,total
Miley Cyrus - Flowers,481,229,1,(x103),"10,542","1,330,666"
David Guetta - I'm Good (Blue),619,270,1,(x13),"7,366","1,280,637"
Harry Styles - As It Was,660,203,1,(x49),"5,583","1,243,989"
Tom Odell - Another Love,675,76,3,(x1),"2,543","1,078,439"
OneRepublic - I Ain't Worried,551,143,3,(x3),"3,037","902,793"
iñigo quintero - Si No Estás,229,197,1,(x70),"7,455","893,632"
David Kushner - Daylight,388,195,1,(x4),"4,210","820,016"
Tate McRae - greedy,240,208,1,(x4),"4,807","803,326"
Rema - Calm Down,426,60,5,,"2,913","710,107"
Gazo - DIE,361,144,1,(x22),"4,315","698,697"
Jungeli - Petit génie,251,192,2,(x1),"3,861","686,278"
Rema - Calm Down,418,113,2,(x1),"3,021","681,391"
Soolking - Casanova,308,140,3,(x3),"3,614","676,549"
Sam Smith - Unholy,264,161,1,(x34),"5,957","676,094"
Metro Boomin - Creepin',325,174,1,(x1),"3,746","667,468"
Udo Lindenberg - Komet,405,110,2,(x1),"2,752","655,712"
Mariah Carey - All I Want for Christmas Is You,148,112,1,(x66),"21,375","609,823"
Loreen - Tattoo,316,139,1,(x4),"4,739","592,084"
Dave - Sprinter,252,118,1,(x61),"5,706","577,623"
Kenya Grace - Strangers,232,116,1,(x2),"4,218","568,036"
Glass Animals - Heat Waves,360,110,1,(x2),"4,081","565,144"
Teddy Swims - Lose Control,179,128,1,(x4),"5,022","553,597"
Wham! - Last Christmas,135,104,1,(x2),"21,268","548,482"
Ed Sheeran - Shape of You,214,208,1,(x109),"4,617","548,429"
BENNETT - Vois sur ton chemin - Techno Mix,270,51,5,,"3,055","537,980"
Benson Boone - Beautiful Things,114,100,1,(x46),"6,871","528,569"
Elton John - Cold Heart - PNAU Remix,373,59,2,(x1),"4,813","525,645"
Ayra Starr - Rush,295,135,4,,"2,678","524,315"
Dua Lipa - Dance The Night (From Barbie The Album),298,72,1,(x18),"3,451","513,559"
Doja Cat - Paint The Town Red,227,88,1,(x26),"5,203","505,458"
Central Cee - Doja,263,94,1,(x6),"3,631","490,214"
Taylor Swift - Cruel Summer,308,,12,,"2,499","488,940"
cassö - Prada,265,16,7,,"3,003","474,317"
Eminem - Mockingbird,338,31,6,,"2,213","470,346"
Tyla - Water,239,38,6,,"3,154","466,076"
Lost Frequencies - Where Are You Now,332,18,6,,"3,132","446,950"
SDM - Bolide allemand,337,,14,,"1,896","437,363"
Favé - FLASHBACK,233,33,6,,"3,699","431,570"
ROSALÍA - BESO,241,96,3,(x2),"2,897","424,544"
Dua Lipa - Houdini,184,88,3,(x1),"3,145","422,503"
ROSALÍA - DESPECHÁ,268,29,7,,"2,771","422,240"
Brenda Lee - Rockin' Around The Christmas Tree,113,87,2,(x1),"18,480","417,498"
Macklemore & Ryan Lewis - Can't Hold Us,352,,14,,"1,908","411,009"
Libianca - People,246,42,6,,"2,352","399,595"
Rosa Linn - SNAP,258,3,9,,"2,345","396,739"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,114,80,1,(x1),"16,299","394,746"
Chris Brown - Under The Influence,231,85,4,,"2,986","391,522"
Luciano - Bamba,218,52,1,(x10),"6,080","389,736"
Bobby Helms - Jingle Bell Rock,114,78,3,(x4),"16,190","388,561"
Ofenbach - Overdrive,192,17,8,,"2,898","388,019"
Central Cee - LET GO,158,105,1,(x14),"8,227","383,684"
Dadju - I love you,156,54,4,,"3,478","359,399"
Gunna - fukumean,224,46,3,(x1),"2,491","350,742"
David Guetta - Baby Don't Hurt Me,197,79,3,(x2),"2,796","349,833"
Camila Cabello - Bam Bam,180,110,3,(x21),"3,385","349,508"
Dean Martin - Let It Snow! Let It Snow! Let It Snow!,108,56,4,,"16,896","348,791"
Luciano - Beautiful Girl,212,50,1,(x5),"4,951","333,424"
Andy Williams - It's the Most Wonderful Time of the Year,104,46,3,(x1),"15,039","333,046"
Jack Harlow - Lovin On Me,176,24,5,,"2,990","324,636"
