artist_title,days,t10,pk,x?,pkstreams,total
James Arthur - Say You Won't Let Go,2780,180,1,(x4),"42,036","41,895,908"
Lewis Capaldi - Someone You Loved,1963,342,1,(x1),"60,259","41,606,466"
Dhruv - double take,1099,146,3,(x7),"56,147","35,601,631"
Ruth B. - Dandelions,1166,211,5,,"41,595","35,515,825"
Conan Gray - Heather,1410,201,2,(x11),"59,870","34,927,748"
Justin Bieber - Ghost,954,250,1,(x49),"80,611","34,712,353"
SZA - Kill Bill,520,344,1,(x81),"171,470","34,511,330"
Ed Sheeran - Perfect,2602,155,1,(x31),"65,808","34,166,120"
Fabio Asher - Rumah Singgah,729,254,2,(x2),"68,309","31,491,484"
The Kid LAROI - Stay,1012,286,1,(x48),"110,867","30,926,570"
Ed Sheeran - Photograph,3264,131,1,(x48),"21,580","30,265,147"
The Weeknd - Die For You,1007,26,6,,"57,156","29,292,884"
Joji - Glimpse of Us,691,209,1,(x69),"357,578","29,258,013"
Billie Eilish - lovely,2214,33,7,,"31,138","29,208,474"
Troye Sivan - Angel Baby,961,254,1,(x38),"81,442","28,968,417"
Mahalini - Sial,468,234,1,(x17),"113,767","28,747,232"
JVKE - golden hour,628,217,1,(x35),"90,874","27,636,355"
Anggi Marito - Tak Segampang Itu,424,284,1,(x50),"134,386","27,595,243"
Lauv - I Like Me Better,2300,,15,,"22,884","27,008,647"
Lewis Capaldi - Before You Go,1572,127,3,(x2),"38,036","26,974,279"
Olivia Rodrigo - happier,1087,112,1,(x2),"64,477","26,085,117"
Harry Styles - As It Was,755,161,1,(x24),"82,038","26,083,347"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1599,169,1,(x27),"52,831","25,439,989"
Jamie Miller - Here's Your Perfect,1064,186,1,(x1),"67,418","25,299,185"
One Direction - Night Changes,1809,38,4,,"48,736","25,122,500"
d4vd - Here With Me,585,179,2,(x11),"87,042","25,113,727"
Giveon - Heartbreak Anniversary,1182,120,1,(x24),"70,795","25,083,269"
Sam Smith - Too Good At Goodbyes,2166,74,1,(x7),"59,481","24,963,625"
Maroon 5 - Memories,1255,171,1,(x61),"92,915","24,820,795"
Madison Beer - Reckless,1015,183,1,(x13),"77,006","24,804,685"
Jung Kook - Seven,303,214,1,(x104),"237,292","24,183,768"
Bruno Mars - Just the Way You Are,2757,,17,,"46,009","23,768,192"
Olivia Rodrigo - drivers license,1020,147,1,(x39),"79,383","23,371,527"
Halsey - Without Me,1689,171,2,(x8),"47,648","23,171,762"
Arctic Monkeys - I Wanna Be Yours,671,40,8,,"57,360","23,092,364"
Olivia Rodrigo - traitor,1084,,12,,"36,114","22,955,534"
Ali Gatie - It's You,1285,196,1,(x7),"62,136","22,806,731"
Keisya Levronka - Tak Ingin Usai,716,143,2,(x30),"71,934","22,630,852"
Shawn Mendes - Señorita,1020,185,1,(x102),"136,873","22,503,686"
Pink Sweat$ - At My Worst,960,186,1,(x24),"55,574","22,350,423"
The Walters - I Love You So,950,45,7,,"40,705","21,608,329"
Ariana Grande - Stuck with U,1107,147,1,(x41),"69,706","21,574,540"
The Chainsmokers - Closer,1937,214,1,(x147),"61,862","21,473,218"
Anne-Marie - 2002,1854,74,5,,"31,359","21,388,536"
Mahalini - Sisa Rasa,846,,16,,"46,191","21,371,132"
Awdella - Tertawan Hati,566,115,6,,"66,593","21,233,679"
The Chainsmokers - Something Just Like This,1753,161,1,(x11),"65,880","20,982,820"
Dean Lewis - Be Alright,1580,155,1,(x3),"34,432","20,874,967"
The Weeknd - Starboy,1112,142,2,(x28),"44,386","20,842,888"
BTS - Boy With Luv,1141,133,1,(x33),"117,048","20,787,891"
Stephen Sanchez - Until I Found You,719,198,2,(x2),"69,552","20,681,190"
Taylor Swift - Cruel Summer,524,217,5,,"89,979","20,625,682"
James Arthur - Car's Outside,492,86,6,,"75,414","20,569,665"
Coldplay - Yellow,2388,10,2,(x1),"89,296","20,548,961"
Shawn Mendes - Treat You Better,1807,129,4,,"26,375","20,335,704"
NewJeans - OMG,496,142,2,(x13),"95,872","20,318,803"
New West - Those Eyes,595,,12,,"48,938","20,265,598"
The Weeknd - Blinding Lights,1299,153,3,(x1),"43,288","20,178,413"
Tate McRae - you broke me first,1077,172,4,,"40,494","19,710,725"
Miley Cyrus - Angels Like You,474,146,3,(x9),"88,553","19,637,795"
Sabrina Carpenter - Nonsense,522,14,7,,"69,976","19,145,257"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),638,93,2,(x26),"109,121","19,109,293"
Justin Bieber - Love Yourself,1957,192,1,(x76),"28,614","19,016,607"
Alec Benjamin - Let Me Down Slowly,1633,,13,,"25,891","18,975,154"
Olivia Rodrigo - deja vu,1024,83,3,(x12),"62,399","18,971,107"
Adele - Easy On Me,716,164,1,(x90),"186,186","18,835,845"
Taylor Swift - Blank Space,1343,,31,,"34,398","18,766,362"
Nadhif Basalamah - penjaga hati,212,184,1,(x96),"109,628","18,584,549"
Charlie Puth - We Don't Talk Anymore,1625,116,4,,"29,880","18,543,936"
Taylor Swift - Enchanted,863,2,10,,"37,721","18,510,214"
Bruno Mars - Talking to the Moon,1188,,22,,"30,974","18,390,341"
NewJeans - Ditto,502,115,2,(x28),"106,400","18,272,160"
Post Malone - Circles,1004,173,1,(x3),"59,527","18,170,946"
The Weeknd - One Of The Girls,324,171,1,(x9),"111,182","18,100,730"
SZA - Snooze,499,35,7,,"63,499","17,978,500"
Christina Perri - A Thousand Years,2547,,56,,"20,945","17,832,317"
FIFTY FIFTY - Cupid - Twin Ver.,353,116,1,(x42),"126,213","17,722,427"
Ed Sheeran - Shape of You,1100,198,1,(x112),"74,549","17,579,400"
Glass Animals - Heat Waves,744,182,2,(x10),"48,469","17,473,618"
Mitski - My Love Mine All Mine,235,179,2,(x73),"101,035","17,408,389"
Calum Scott - You Are The Reason,1495,66,6,,"26,663","17,325,868"
BTS - Dynamite,756,174,1,(x36),"136,707","17,255,408"
Fabio Asher - Bertahan Terluka,688,40,6,,"44,656","17,234,265"
LeeHi - ONLY,795,131,1,(x9),"86,434","17,208,189"
Ghea Indrawari - Jiwa Yang Bersedih,294,178,1,(x3),"109,028","16,530,904"
Bruno Mars - When I Was Your Man,2019,,13,,"47,434","16,521,168"
BLACKPINK - How You Like That,763,135,1,(x56),"178,934","16,213,868"
Tate McRae - greedy,240,194,1,(x3),"88,263","16,135,111"
Joji - SLOW DANCING IN THE DARK,1630,,15,,"30,587","16,130,665"
Metro Boomin - Creepin',493,89,2,(x4),"73,439","15,788,841"
d4vd - Romantic Homicide,628,,12,,"45,135","15,689,964"
NewJeans - Hype Boy,578,,12,,"53,896","15,480,192"
Bazzi - I.F.L.Y.,883,122,2,(x18),"60,285","15,407,647"
Henry Moodie - drunk text,350,111,1,(x31),"153,215","15,159,283"
Taylor Swift - Lover,1005,21,2,(x7),"61,467","14,899,526"
OneRepublic - I Ain't Worried,574,87,5,,"54,111","14,896,065"
The Weeknd - Die For You,425,89,2,(x2),"110,777","14,858,339"
Ariana Grande - 7 rings,1043,99,1,(x69),"75,858","14,838,288"
Stephen Sanchez - Until I Found You,568,33,6,,"60,150","14,751,303"
Aziz Hedra - Somebody's Pleasure,400,7,10,,"62,596","14,697,806"
