artist_title,days,t10,pk,x?,pkstreams,total
Ed Sheeran - Shape of You,212,151,1,(x102),"5,447","658,731"
Luis Fonsi - Despacito - Remix,111,110,1,(x95),"5,560","416,986"
The Chainsmokers - Closer,212,155,1,(x39),"3,586","396,091"
The Chainsmokers - Something Just Like This,159,87,1,(x3),"5,077","382,755"
Drake - One Dance,185,153,1,(x88),"3,250","369,264"
The Weeknd - Starboy,175,135,1,(x84),"2,992","349,348"
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,183,167,1,(x49),"2,669","323,897"
The Chainsmokers - Don't Let Me Down,216,135,3,(x14),"1,920","310,688"
Kygo - It Ain't Me,132,88,2,(x4),"3,813","307,363"
DJ Snake - Let Me Love You,158,142,1,(x6),"3,115","292,339"
Sia - Cheap Thrills,190,143,2,(x13),"2,113","292,310"
Jonas Blue - Fast Car,172,113,1,(x1),"2,188","260,235"
Clean Bandit - Symphony,135,80,3,(x8),"3,097","259,792"
Calvin Harris - This Is What You Came For,149,107,2,(x73),"2,599","257,550"
Clean Bandit - Rockabye,154,96,1,(x1),"2,479","256,401"
Major Lazer - Cold Water,136,104,1,(x25),"3,031","253,073"
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),127,96,2,(x16),"2,912","250,174"
The Chainsmokers - Paris,119,94,2,(x11),"3,178","250,019"
Starley - Call On Me - Ryan Riback Extended Remix,177,70,6,,"1,979","243,947"
Luis Fonsi - Despacito (Featuring Daddy Yankee),164,3,2,(x2),"3,126","241,467"
James Arthur - Say You Won't Let Go,166,111,2,(x1),"2,076","237,032"
Jason Derulo - Swalla,135,67,3,(x1),"2,479","237,023"
Martin Garrix - Scared to Be Lonely,125,69,3,(x2),"2,963","232,800"
Zedd - Stay,130,54,6,,"2,409","230,020"
DJ Khaled - I'm the One,100,82,2,(x26),"3,190","221,818"
Fifth Harmony - Work from Home,153,88,2,(x1),"1,983","217,875"
Justin Bieber - Sorry,139,121,1,(x29),"2,337","217,621"
The Weeknd - I Feel It Coming,143,84,3,(x5),"1,853","211,060"
Ed Sheeran - Castle on the Hill,97,70,2,(x19),"4,296","207,351"
Justin Bieber - What Do You Mean?,143,141,1,(x55),"2,238","199,305"
Charlie Puth - Attention,102,65,3,(x14),"2,739","198,880"
Major Lazer - Light It Up,157,60,7,,"1,640","198,075"
Shawn Mendes - Treat You Better,139,85,3,(x12),"1,940","197,688"
Alan Walker - Faded,136,109,2,(x1),"1,976","197,268"
Julia Michaels - Issues,124,19,7,,"2,296","194,538"
Justin Bieber - Love Yourself,133,106,1,(x36),"1,933","192,307"
Shawn Mendes - There's Nothing Holdin' Me Back,107,40,4,,"2,598","189,745"
Imagine Dragons - Believer,137,8,8,,"2,200","189,238"
Twenty One Pilots - Heathens,112,80,2,(x2),"2,434","184,846"
Drake - Too Good,133,57,4,,"1,867","181,124"
French Montana - Unforgettable,95,60,2,(x1),"2,604","179,951"
Bruno Mars - That's What I Like,108,25,8,,"2,198","178,522"
Calvin Harris - Slide,124,1,10,,"1,957","174,619"
Jonas Blue - Mama,81,66,2,(x13),"2,901","173,158"
Adele - Hello,88,87,1,(x30),"4,190","172,264"
Lukas Graham - 7 Years,107,88,1,(x14),"2,233","171,274"
Major Lazer - Lean On,131,129,1,(x54),"1,971","168,308"
Imagine Dragons - Thunder,92,27,6,,"2,410","162,759"
Cheat Codes - No Promises,105,6,8,,"2,356","162,736"
Martin Garrix - In the Name of Love,108,71,4,,"2,120","161,377"
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",101,80,3,(x27),"2,198","159,747"
Cheat Codes - Sex,116,60,5,,"1,759","159,566"
Maroon 5 - Don't Wanna Know,114,78,4,,"1,862","157,452"
Liam Payne - Strip That Down,78,64,2,(x1),"2,537","155,785"
Jonas Blue - Perfect Strangers,112,64,5,,"1,769","154,736"
ZAYN - PILLOWTALK,97,83,1,(x22),"2,381","154,657"
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,112,,19,,"1,709","149,390"
Ed Sheeran - Galway Girl,82,37,4,,"2,872","148,615"
Martin Jensen - Solo Dance,116,,13,,"1,767","147,396"
Galantis - No Money,104,54,4,,"1,873","145,057"
Hailee Steinfeld - Starving,115,21,7,,"1,554","143,232"
"G-Eazy - Me, Myself & I",114,59,3,(x1),"1,589","142,051"
Kendrick Lamar - HUMBLE.,85,18,5,,"2,400","141,448"
Kungs - This Girl - Kungs Vs. Cookin' On 3 Burners,101,52,4,,"1,797","141,023"
David Guetta - 2U,57,57,2,(x20),"3,274","140,649"
Drake - Passionfruit,72,43,4,,"3,058","140,617"
Maroon 5 - Cold,85,24,7,,"2,316","139,424"
Twenty One Pilots - Stressed Out,98,86,2,(x1),"1,781","135,692"
Martin Garrix - There for You,72,42,4,,"2,318","133,527"
Mike Perry - The Ocean,106,,11,,"1,521","131,318"
Future - Mask Off,88,,13,,"1,844","126,919"
Jax Jones - You Don't Know Me,89,2,8,,"2,038","124,818"
The Vamps - All Night,103,3,9,,"1,442","122,109"
Harry Styles - Sign of the Times,71,14,7,,"2,303","120,145"
Steve Aoki - Just Hold On,90,49,4,,"1,724","119,900"
Ariana Grande - Side To Side,86,50,5,,"1,878","119,625"
DJ Khaled - Wild Thoughts,50,49,2,(x18),"2,797","119,419"
The Weeknd - Can't Feel My Face,97,95,1,(x13),"1,664","118,843"
Ariana Grande - Into You,95,,11,,"1,483","118,385"
Charlie Puth - We Don't Talk Anymore,91,20,4,,"1,696","117,976"
Katy Perry - Chained To The Rhythm,62,30,5,,"2,563","110,077"
Rihanna - Work,73,53,1,(x4),"2,110","108,029"
The Chainsmokers - All We Know,87,29,6,,"1,578","107,787"
Camila Cabello - Crying in the Club,74,,12,,"1,813","107,770"
David Guetta - This One's for You,76,38,2,(x2),"2,128","107,242"
Selena Gomez - Bad Liar,71,11,3,(x1),"2,799","105,596"
FRENSHIP - Capsize,89,,15,,"1,407","105,245"
Calvin Harris - My Way,75,49,5,,"1,796","103,578"
Twenty One Pilots - Ride,80,4,8,,"1,582","101,768"
Niall Horan - Slow Hands,79,,20,,"1,553","100,691"
Rita Ora - Your Song,66,3,10,,"1,904","100,575"
Desiigner - Panda,74,35,6,,"1,851","100,483"
The Chainsmokers - Roses,88,26,3,(x1),"1,348","100,146"
Alessia Cara - How Far I'll Go,84,,12,,"1,488","99,973"
Danny Ocean - Me Rehúso,76,,17,,"1,662","97,751"
Maluma - Felices los 4,60,15,5,,"2,360","97,587"
Axwell /\ Ingrosso - More Than You Know,60,9,8,,"2,033","97,436"
Calvin Harris - How Deep Is Your Love,79,77,1,(x8),"1,542","95,418"
Calvin Harris - Feels,51,35,3,(x1),"2,199","92,843"
Dante Klein - Let Me Hold You (Turn Me On),76,,12,,"1,543","92,574"
