artist_title,days,t10,pk,x?,pkstreams,total
Danny Ocean - Me Rehúso,2657,312,1,(x4),"580,448","512,609,732"
J Balvin - LA CANCIÓN,1775,222,1,(x14),"668,232","480,355,602"
Bad Bunny - Me Porto Bonito,736,251,1,(x50),"2,545,746","468,282,343"
Eslabon Armado - Ella Baila Sola,421,132,1,(x62),"4,449,330","423,135,412"
Junior H - El Azul,457,196,2,(x3),"2,467,224","419,845,296"
Bad Bunny - Ojitos Lindos,736,216,1,(x17),"2,247,417","414,839,727"
Bad Bunny - Efecto,726,237,2,(x10),"1,638,003","393,776,380"
Natanael Cano - AMG,534,154,1,(x6),"2,051,448","392,785,869"
Luis Miguel - Ahora Te Puedes Marchar,2870,,13,,"465,065","389,119,033"
Peso Pluma - PRC,474,148,1,(x17),"2,363,920","376,199,128"
Peso Pluma - LADY GAGA,324,194,1,(x87),"2,398,148","374,166,198"
Carin Leon - Que Vuelvas,519,82,2,(x3),"1,580,064","371,676,445"
Manuel Turizo - La Bachata,671,179,1,(x25),"1,149,952","368,268,492"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",619,184,1,(x89),"2,242,356","366,908,470"
Yng Lvcas - La Bebe - Remix,422,146,2,(x25),"2,964,756","360,930,245"
Calle 24 - Que Onda,255,213,1,(x42),"2,251,621","359,447,054"
Bad Bunny - DÁKITI,928,253,1,(x99),"2,643,977","357,034,792"
Oscar Maydon - Fin de Semana,479,125,3,(x7),"1,690,169","352,226,048"
Grupo Frontera - un x100to,391,118,1,(x10),"4,895,996","345,848,736"
León Larregui - Brillas,2971,,41,,"290,194","335,222,347"
Bad Bunny - Tití Me Preguntó,519,228,2,(x27),"2,121,191","333,195,762"
Rauw Alejandro - Todo De Ti,850,237,1,(x93),"1,974,249","332,977,852"
Bad Bunny - Yonaguni,744,291,1,(x8),"1,773,019","328,507,403"
KAROL G - PROVENZA,748,130,1,(x4),"1,111,668","326,079,868"
Bad Bunny - Callaita,1360,218,1,(x11),"1,291,012","325,687,354"
Fuerza Regida - Ch y la Pizza,527,95,6,,"1,598,630","324,042,981"
Xavi - La Diabla,161,144,1,(x89),"3,396,097","312,948,778"
Maluma - Hawái,906,252,1,(x74),"2,295,928","312,795,138"
Ed Maverick - Fuentes de Ortiz,1739,,17,,"295,112","305,532,416"
Carin Leon - Primera Cita,378,93,2,(x21),"1,519,053","301,535,902"
Jhayco - No Me Conoce - Remix,1300,190,3,(x2),"577,918","292,027,405"
Chino Pacas - El Gordo Trae El Mando,467,86,5,,"1,539,464","283,510,282"
León Larregui - Locos,2551,,12,,"289,133","283,485,280"
The Weeknd - Blinding Lights,1135,195,1,(x2),"784,287","282,089,595"
Xavi - La Víctima,229,124,2,(x83),"2,476,995","281,575,095"
Fuerza Regida - TQM,359,105,1,(x4),"2,752,083","281,493,638"
Fuerza Regida - SABOR FRESA,324,111,1,(x3),"2,131,272","278,807,380"
La Adictiva - JGL,707,26,8,,"783,767","276,950,811"
Calibre 50 - Si Te Pudiera Mentir,1151,128,2,(x11),"728,509","276,850,861"
LAGOS - Mónaco,1051,,11,,"423,187","276,175,766"
Grupo Frontera - No Se Va - En Vivo,550,117,1,(x36),"1,437,127","273,489,411"
Peso Pluma - Por las Noches,490,38,7,,"1,469,478","270,924,001"
Harry Styles - As It Was,755,63,1,(x25),"1,168,896","268,772,453"
Rels B - A Mí,1879,,64,,"376,591","264,652,125"
Fuerza Regida - Bebe Dame,465,75,1,(x8),"1,692,808","263,434,760"
Junior H - Los Botones Azules,712,1,9,,"610,980","258,009,500"
Grupo Frontera - EL AMOR DE SU VIDA,283,165,5,,"1,385,349","256,116,740"
Gera MX - Botella Tras Botella,685,168,1,(x33),"3,680,758","255,188,416"
Bad Bunny - Moscow Mule,525,139,1,(x3),"3,170,945","255,100,992"
Bad Bunny - La Santa,1246,18,4,,"1,177,346","253,330,416"
Junior H - El Hijo Mayor,660,,19,,"757,371","253,294,437"
KAROL G - TQG,442,56,1,(x8),"2,448,349","251,291,765"
Alex Favela - Elovrga,264,131,3,(x38),"1,617,135","250,691,328"
KAROL G - Tusa,752,170,1,(x95),"1,938,108","249,081,849"
KAROL G - QLONA,275,103,2,(x7),"1,605,393","248,668,516"
Fuerza Regida - HARLEY QUINN,204,148,1,(x38),"2,395,694","248,293,182"
Bad Bunny - Neverita,532,86,6,,"1,766,804","245,606,380"
Calibre 50 - A La Antigüita,784,196,1,(x49),"916,263","245,097,437"
Yuridia - Qué Agonía,569,88,4,,"983,684","242,970,366"
Tainy - Lo Siento BB:/,674,204,1,(x70),"920,865","241,237,146"
Grupo Marca Registrada - El Rescate,567,65,7,,"818,931","239,630,647"
Peso Pluma - Siempre Pendientes,496,104,4,,"997,100","238,367,172"
Alejandro Fernández - Me Dediqué a Perderte,2819,,59,,"194,598","237,216,388"
Christian Nodal - Ya No Somos Ni Seremos,719,65,1,(x20),"1,532,907","236,150,475"
Grupo Firme - El Tóxico,1071,14,4,,"627,848","233,808,325"
Natanael Cano - Mi Bello Angel,317,25,1,(x1),"2,687,651","232,740,227"
Oscar Maydon - Los Collares,583,,12,,"890,838","232,331,214"
Bad Bunny - Vete,1155,119,1,(x4),"1,119,393","231,630,906"
Natalia Lafourcade - Hasta la Raíz,2176,,15,,"388,360","231,208,424"
Hombres G - Devuélveme a mi chica,2223,,64,,"276,916","230,855,657"
Piso 21 - Pa' Olvidarme De Ella,969,134,5,,"516,415","227,110,310"
Bad Bunny - Si Veo a Tu Mamá,1092,88,1,(x12),"1,663,823","225,955,687"
Banda MS de Sergio Lizárraga - El Color de Tus Ojos,1814,,19,,"315,879","224,875,999"
Bad Bunny - Si Estuviésemos Juntos,1528,,18,,"341,493","221,050,555"
Junior H - Y LLORO,219,129,3,(x1),"1,631,002","217,785,065"
Rauw Alejandro - Desesperados,692,107,3,(x27),"673,187","215,574,306"
Cartel De Santa - Shorty Party,396,44,1,(x12),"2,793,626","215,448,955"
Alfredo Olivas - El Paciente,1407,,45,,"508,895","215,053,151"
Maluma - Según Quién,268,97,5,,"1,283,423","213,717,550"
Eden Muñoz - Chale,551,71,1,(x15),"901,748","212,741,712"
Bad Bunny - A Tu Merced,1090,23,5,,"675,525","212,354,679"
Feid - Feliz Cumpleaños Ferxxo,629,,19,,"595,686","211,868,331"
Carin Leon - No Es Por Acá,640,,21,,"585,254","210,714,757"
Luis Miguel - La Incondicional,1747,,13,,"306,419","210,680,247"
Lenin Ramírez - Yo Ya No Vuelvo Contigo - En Vivo,1071,,14,,"443,189","208,578,873"
Luis R Conriquez - El Gavilán,504,,12,,"860,148","208,322,314"
Plan B - Es un Secreto,797,,37,,"513,653","208,268,490"
KAROL G - BICHOTA,677,167,1,(x3),"1,173,019","208,263,276"
Alfredo Olivas - El Precio De La Soledad,615,,33,,"574,158","206,800,738"
