artist_title,days,t10,pk,x?,pkstreams,total
CKay - love nwantiti,1359,555,1,(x124),"26,603","14,030,744"
ElGrandeToto - Mghayer,1220,313,1,(x53),"94,873","11,414,033"
Snor - Dawk Lya,738,349,2,(x19),"31,381","10,426,858"
Draganov - 3DABI,297,278,1,(x80),"85,809","9,136,823"
Niro - Qui sait ?,457,263,1,(x49),"36,502","8,655,346"
Mons - Lovini,793,164,4,,"18,617","8,448,325"
ElGrandeToto - Haram (Pablo II),1057,236,1,(x33),"40,316","8,289,317"
Kouz1 - Magic,763,259,1,(x52),"31,205","8,072,995"
Mocci - Talet Lghiba,534,233,1,(x30),"24,748","7,984,643"
Lartiste - Zarzour,325,139,1,(x43),"107,887","7,922,403"
Tagne - Nadi Canadi,944,292,1,(x54),"25,762","7,548,248"
ElGrandeToto - DELLALI,186,170,1,(x33),"116,987","7,318,844"
Draganov - WILI,456,124,1,(x12),"69,581","7,221,382"
ElGrandeToto - Gueule tapée,647,195,1,(x66),"65,536","7,091,930"
Inkonnu - Zahri,1276,119,1,(x2),"51,308","6,793,890"
ElGrandeToto - Comforter,674,188,2,(x9),"17,428","6,714,195"
Dizzy DROS - M3a L3echrane,454,98,1,(x41),"138,599","6,536,309"
Inkonnu - 7ali Ya 7ali,1099,123,1,(x7),"83,023","6,448,790"
Inkonnu - BREDA,832,57,1,(x15),"38,859","6,415,279"
Kouz1 - J'en ai marre !,956,242,3,(x4),"14,663","6,283,565"
Anys - Si tu savais,1338,71,1,(x1),"14,774","6,105,230"
Kouz1 - Love,485,175,2,(x1),"26,082","6,020,629"
ElGrandeToto - BLUE LOVE,149,149,1,(x45),"64,985","5,949,641"
Draganov - Lbaroud,599,247,1,(x28),"68,531","5,915,605"
Kouz1 - Trap Roumi V2,1229,14,8,,"9,571","5,891,266"
DYSTINCT - Ghazali,524,189,1,(x17),"31,620","5,758,112"
ElGrandeToto - Salade Coco,714,206,1,(x55),"27,849","5,695,724"
Snor - HKAYA,901,96,1,(x40),"38,023","5,504,579"
Draganov - Taline,800,95,1,(x3),"26,196","5,441,339"
ElGrandeToto - MAGHRIBI,171,129,1,(x6),"109,453","5,256,384"
Don Bigg - Arahmini,569,31,1,(x13),"74,162","5,228,382"
Stormy - POPO,102,102,1,(x77),"101,637","5,217,854"
Draganov - CHICHI,593,99,1,(x17),"38,357","5,048,598"
Ayoub Anbaoui - Abala Ya Bali,392,115,2,(x10),"31,345","5,048,034"
