artist_title,days,t10,pk,x?,pkstreams,total
Davina Michelle - Duurt Te Lang,1800,142,1,(x59),"445,121","108,966,572"
The Weeknd - Blinding Lights,1591,187,1,(x46),"299,351","103,305,734"
Lewis Capaldi - Someone You Loved,1881,44,7,,"180,101","102,881,701"
Danny Vera - Roller Coaster,1809,16,1,(x1),"153,125","92,785,965"
Lady Gaga - Shallow,1948,29,6,,"193,582","84,025,069"
Tom Odell - Another Love,1345,13,6,,"133,262","80,022,825"
Ed Sheeran - Shape of You,989,148,1,(x68),"415,302","77,209,274"
Tones And I - Dance Monkey,780,174,1,(x104),"421,445","76,940,923"
Marco Borsato - Hoe Het Danst,937,164,1,(x14),"322,039","76,050,022"
Kris Kross Amsterdam - Hij Is Van Mij,836,134,1,(x51),"371,548","69,315,574"
Racoon - Oceaan,2515,,28,,"68,918","66,395,908"
Mariah Carey - All I Want for Christmas Is You,549,213,1,(x82),"817,157","66,040,635"
De Jeugd Van Tegenwoordig - Sterrenstof,2271,,31,,"83,035","65,713,490"
James Arthur - Say You Won't Let Go,1677,115,1,(x11),"171,688","65,448,904"
Glass Animals - Heat Waves,983,153,4,,"232,257","64,726,797"
Harry Styles - As It Was,754,176,1,(x57),"335,379","64,479,060"
Maan - Stiekem,556,219,1,(x22),"277,134","64,254,742"
Frenna - Verleden Tijd,659,125,1,(x31),"793,241","62,797,906"
Emma Heesters - Pa Olvidarte,860,140,2,(x25),"256,117","61,407,962"
Kris Kross Amsterdam - Vluchtstrook,700,169,1,(x14),"334,326","59,934,421"
Elton John - Cold Heart - PNAU Remix,968,71,7,,"211,334","59,353,935"
TOTO - Africa,2050,,28,,"84,842","58,378,508"
Goldband - Noodgeval,647,141,3,(x9),"211,634","58,008,750"
MEAU - Dat heb jij gedaan,794,140,1,(x26),"294,375","57,621,358"
Snelle - Blijven Slapen,789,130,1,(x24),"338,509","56,195,610"
Snelle - Reünie,640,129,1,(x31),"347,429","55,667,771"
Wham! - Last Christmas,499,165,1,(x6),"813,306","55,293,503"
Suzan & Freek - Goud,1047,98,4,,"211,238","55,036,851"
The Kid LAROI - Stay,629,118,1,(x33),"306,281","54,913,566"
Lost Frequencies - Where Are You Now,875,40,6,,"202,908","54,410,994"
Farruko - Pepas,641,119,1,(x23),"342,195","54,085,217"
Shawn Mendes - Señorita,582,119,1,(x56),"419,012","53,904,204"
Joel Corry - Head & Heart,653,178,1,(x3),"245,617","53,897,045"
FLEMMING - Amsterdam,789,108,3,(x16),"221,982","53,617,772"
