artist_title,days,t10,pk,x?,pkstreams,total
L.A.B. - In the Air,1621,512,1,(x8),"57,277","35,100,566"
Fleetwood Mac - Dreams - 2004 Remaster,2464,116,2,(x1),"42,744","34,677,818"
Lewis Capaldi - Someone You Loved,1910,160,3,(x6),"40,978","28,271,596"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,2020,216,1,(x19),"60,662","28,259,309"
J. Cole - No Role Modelz,3069,1,10,,"20,368","28,011,296"
Ed Sheeran - Shape of You,1846,173,1,(x91),"97,431","26,239,529"
The Killers - Mr. Brightside,2950,,13,,"26,324","25,247,328"
James Arthur - Say You Won't Let Go,2484,117,2,(x20),"43,540","24,652,141"
The Weeknd - Blinding Lights,1603,208,1,(x20),"50,712","23,987,968"
SIX60 - Don’t Forget Your Roots,2617,,18,,"26,461","23,087,628"
Glass Animals - Heat Waves,1222,422,1,(x10),"35,937","22,877,118"
L.A.B. - Controller,1563,106,3,(x20),"46,457","22,781,889"
Lady Gaga - Shallow,1862,121,1,(x8),"51,442","22,673,043"
Vance Joy - Riptide,2898,,12,,"26,366","21,538,283"
Tones And I - Dance Monkey,1178,205,1,(x67),"70,323","21,235,593"
Drax Project - Catching Feelings,1301,165,3,(x8),"44,170","21,108,348"
Fleetwood Mac - Go Your Own Way - 2004 Remaster,2202,,20,,"22,558","20,487,203"
Post Malone - Circles,1523,147,1,(x5),"57,362","20,264,237"
Harry Styles - Watermelon Sugar,1560,52,4,,"39,356","20,156,412"
Elton John - Cold Heart - PNAU Remix,1002,267,1,(x20),"62,696","20,020,497"
Eagles - Hotel California - 2013 Remaster,2822,,45,,"17,576","19,760,232"
Post Malone - rockstar,1142,152,1,(x69),"82,737","19,278,664"
Ed Sheeran - Thinking out Loud,2487,210,1,(x56),"17,936","19,184,889"
Billie Eilish - lovely,1784,54,3,(x3),"41,165","19,134,774"
Drake - One Dance,1569,152,1,(x95),"66,928","18,980,470"
TOTO - Africa,2335,,27,,"20,772","18,858,493"
Ed Sheeran - Perfect,1861,12,6,,"44,804","18,336,178"
Post Malone - I Fall Apart,1265,133,1,(x52),"63,563","17,984,590"
SIX60 - Vibes,1541,14,9,,"30,648","17,845,026"
Journey - Don't Stop Believin',2415,,33,,"20,053","17,716,965"
The Kid LAROI - Stay,902,295,1,(x67),"65,314","16,883,055"
Harry Styles - As It Was,772,273,1,(x19),"90,408","16,664,618"
"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)",2048,,19,,"18,402","16,467,766"
Chris Stapleton - Tennessee Whiskey,2220,,24,,"21,350","16,340,885"
Van Morrison - Brown Eyed Girl,1922,,22,,"22,900","15,946,240"
SIX60 - The Greatest,981,111,3,(x1),"59,312","15,675,100"
Dua Lipa - Don't Start Now,1080,146,2,(x3),"45,780","15,648,560"
Miley Cyrus - Party In The U.S.A.,1907,,27,,"21,123","15,384,310"
The Chainsmokers - Closer,1121,169,1,(x51),"72,409","15,338,931"
SIX60 - Don’t Give It Up,1340,85,3,(x3),"50,496","15,314,299"
benny blanco - Eastside,841,177,1,(x23),"53,279","15,272,166"
5 Seconds of Summer - Youngblood,993,113,1,(x27),"60,114","15,159,045"
The Weeknd - Starboy,1243,124,1,(x59),"50,531","14,823,648"
XXXTENTACION - Jocelyn Flores,1446,15,2,(x2),"77,198","14,817,804"
Billie Eilish - bad guy,854,106,1,(x41),"89,892","14,675,860"
Juice WRLD - Lucid Dreams,1227,74,2,(x1),"45,146","14,623,734"
L.A.B. - Why Oh Why,945,114,1,(x34),"87,963","14,546,152"
Childish Gambino - Redbone,1716,,20,,"23,773","14,526,723"
Fleetwood Mac - The Chain - 2004 Remaster,1809,,38,,"18,872","14,361,827"
Dua Lipa - Levitating,988,66,5,,"34,174","14,278,450"
Ed Sheeran - Shivers,893,160,2,(x1),"49,328","14,043,354"
Creedence Clearwater Revival - Have You Ever Seen The Rain,1504,,19,,"23,887","13,954,293"
Hozier - Take Me To Church,1944,125,1,(x9),"18,520","13,916,365"
Ed Sheeran - Bad Habits,789,166,1,(x11),"55,038","13,912,739"
George Ezra - Shotgun,1001,134,1,(x20),"53,658","13,716,646"
OneRepublic - I Ain't Worried,706,198,1,(x7),"34,780","13,576,707"
Kendrick Lamar - HUMBLE.,902,108,1,(x24),"68,426","13,503,604"
Lewis Capaldi - Before You Go,1057,,11,,"31,460","13,331,237"
SIX60 - Long Gone,830,8,5,,"48,903","13,143,980"
Queen - Bohemian Rhapsody - Remastered 2011,1640,,18,,"23,982","13,089,606"
J. Cole - Wet Dreamz,1778,,31,,"13,393","13,021,753"
Miley Cyrus - Flowers,485,182,1,(x36),"112,829","12,874,327"
SZA - Kill Bill,520,213,1,(x28),"61,992","12,725,997"
Imagine Dragons - Thunder,966,89,4,,"38,741","12,725,890"
Maroon 5 - Memories,876,106,3,(x12),"45,966","12,710,710"
Lauv - I Like Me Better,1098,4,10,,"33,891","12,661,724"
Miguel - Sure Thing,1009,140,3,(x13),"30,930","12,615,085"
Camila Cabello - Havana,736,146,2,(x38),"56,075","12,466,506"
Doja Cat - Kiss Me More,670,142,1,(x21),"57,370","12,454,250"
Khalid - Young Dumb & Broke,895,99,1,(x10),"54,938","12,369,010"
Kendrick Lamar - Money Trees,1249,,14,,"19,740","12,360,492"
Fleetwood Mac - Everywhere - 2017 Remaster,1513,,27,,"19,303","12,332,304"
BENEE - Glitter,769,108,3,(x1),"45,018","12,244,257"
Dean Lewis - Be Alright,1008,82,2,(x8),"46,179","12,227,634"
SAINt JHN - Roses - Imanbek Remix,729,149,1,(x5),"43,832","12,227,450"
L.A.B. - Mr Reggae,881,105,1,(x1),"55,523","11,918,854"
Shawn Mendes - Señorita,647,124,1,(x69),"65,821","11,872,765"
Zach Bryan - Something in the Orange,622,29,8,,"25,849","11,812,759"
24kGoldn - Mood,625,160,1,(x50),"63,101","11,782,432"
SIX60 - Sundown,925,68,5,,"36,236","11,707,803"
Khalid - Better,754,124,3,(x3),"41,161","11,665,127"
Ed Sheeran - I Don't Care,700,87,1,(x44),"75,226","11,639,151"
Kings of Leon - Sex on Fire,1309,,39,,"15,960","11,554,852"
Jawsh 685 - Savage Love (Laxed - Sired Beat),556,134,1,(x53),"72,662","11,511,670"
Marshmello - Happier,712,130,2,(x2),"42,053","11,458,911"
Frank Ocean - Lost,1003,,14,,"19,584","11,436,833"
Drake - God's Plan,571,123,1,(x68),"84,082","11,432,376"
The Neighbourhood - Sweater Weather,1224,,22,,"15,680","11,397,007"
Travis Scott - SICKO MODE,829,60,5,,"42,854","11,386,951"
Olivia Rodrigo - good 4 u,568,106,1,(x43),"99,779","11,366,491"
Olivia Rodrigo - drivers license,633,115,1,(x50),"120,720","11,249,549"
SIX60 - Closer,1058,,13,,"27,837","11,191,874"
XXXTENTACION - SAD!,793,60,1,(x4),"93,027","11,138,862"
