artist_title,days,t10,pk,x?,pkstreams,total
J Balvin - LA CANCIÓN,1753,420,1,(x9),"9,555","8,115,528"
Bad Bunny - Me Porto Bonito,737,321,1,(x57),"37,840","6,808,229"
Bad Bunny - Ojitos Lindos,737,270,1,(x2),"39,374","5,849,170"
Bad Bunny - Efecto,737,285,1,(x4),"26,565","5,607,053"
Manuel Turizo - La Bachata,687,248,1,(x51),"14,788","5,541,311"
Bad Bunny - Yonaguni,870,335,1,(x227),"31,045","5,383,961"
Bad Bunny - DÁKITI,1078,487,1,(x129),"34,289","5,369,963"
Bad Bunny - Tití Me Preguntó,639,232,1,(x82),"40,070","5,278,244"
Plan B - Es un Secreto,977,256,2,(x1),"15,062","5,040,564"
Jay Wheeler - La Curiosidad,1417,179,2,(x39),"7,187","4,907,196"
Bad Bunny - Moscow Mule,733,215,1,(x2),"49,635","4,684,766"
Bad Bunny - La Santa,1526,102,3,(x2),"21,106","4,481,795"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",626,209,1,(x20),"21,856","4,450,855"
Feid - Feliz Cumpleaños Ferxxo,630,171,3,(x2),"11,947","4,337,664"
Bad Bunny - Callaita,1520,189,1,(x9),"21,498","4,334,694"
Bad Bunny - Si Estuviésemos Juntos,1667,2,6,,"6,655","4,281,639"
Grupo Frontera - un x100to,391,187,1,(x28),"30,295","4,240,298"
Bad Bunny - Neverita,648,202,4,,"29,349","3,969,478"
Danny Ocean - Me Rehúso,1554,167,1,(x44),"5,398","3,916,749"
Tainy - Lo Siento BB:/,783,212,1,(x87),"11,505","3,876,106"
Maluma - Según Quién,261,235,1,(x66),"21,781","3,850,758"
Ozuna - Hey Mor,576,172,3,(x3),"12,235","3,830,838"
Bad Bunny - A Tu Merced,1241,170,4,,"12,839","3,744,645"
Carin Leon - Primera Cita,359,240,1,(x25),"18,693","3,703,440"
KAROL G - PROVENZA,750,72,2,(x1),"9,640","3,653,702"
Christian Nodal - Ya No Somos Ni Seremos,813,11,4,,"10,508","3,588,428"
Tego Calderón - Pa' Que Retozen,1035,,14,,"8,478","3,575,942"
Mora - LA INOCENTE,771,6,4,,"9,692","3,530,993"
Don Omar - Dile,1114,,15,,"7,960","3,525,709"
Jhayco - No Me Conoce - Remix,1238,212,3,(x2),"5,989","3,510,334"
Eslabon Armado - Ella Baila Sola,393,124,1,(x57),"33,299","3,444,755"
Bad Bunny - Si Veo a Tu Mamá,1203,130,1,(x10),"27,136","3,436,715"
Bad Bunny - Vete,1251,155,1,(x3),"15,623","3,431,158"
