artist_title,days,t10,pk,x?,pkstreams,total
Asake - Lonely At The Top,332,171,1,(x45),"175,467","24,010,273"
Shallipopi - Cast,185,158,1,(x48),"217,475","19,682,617"
Davido - FEEL,409,111,1,(x1),"369,014","18,956,942"
Bnxn - GWAGWALADA,452,84,1,(x8),"114,921","18,953,959"
Asake - Terminator,632,163,1,(x23),"157,522","17,795,211"
Omah Lay - reason,332,83,1,(x21),"211,096","17,747,842"
Asake - 2:30,403,90,1,(x15),"308,898","17,613,840"
Young Jonn - Xtra Cool,596,153,1,(x30),"51,172","17,253,608"
ODUMODUBLVCK - BLOOD ON THE DANCE FLOOR,220,176,1,(x25),"121,914","16,891,567"
Young Jonn - Aquafina,380,31,3,(x1),"106,966","16,834,335"
Asake - Basquiat,332,85,1,(x1),"202,740","15,971,497"
ODUMODUBLVCK - Declan Rice,415,30,1,(x5),"138,298","15,570,971"
Adekunle Gold - Party No Dey Stop,425,81,1,(x11),"157,018","15,402,468"
Davido - KANTE,409,58,4,,"330,561","15,257,375"
Burna Boy - City Boys,262,103,1,(x28),"317,896","15,169,799"
Omah Lay - soso,665,85,1,(x19),"58,714","14,569,919"
Chike - Egwu,149,131,1,(x50),"170,921","14,367,070"
Burna Boy - Last Last,730,116,1,(x8),"132,466","14,223,295"
Fireboy DML - Bandana,664,168,1,(x32),"83,800","14,122,409"
Ruger - Asiwaju,543,127,1,(x32),"57,659","14,102,355"
Asake - Amapiano,355,89,1,(x21),"225,577","14,089,734"
Asake - Joha,612,143,1,(x3),"82,912","13,881,568"
Omah Lay - Holy Ghost,185,80,1,(x8),"384,104","13,650,947"
Seyi Vibez - Different Pattern,157,150,1,(x11),"238,669","13,027,428"
Asake - Peace Be Unto You (PBUY),695,120,1,(x21),"92,147","12,945,167"
Davido - UNAVAILABLE,404,62,1,(x3),"327,689","12,839,038"
Rema - DND,199,77,1,(x4),"214,194","12,623,357"
Young Jonn - Sharpally,296,22,7,,"70,360","12,583,478"
Crayon - Ngozi,295,84,3,(x4),"65,656","12,472,110"
ODUMODUBLVCK - DOG EAT DOG II,349,19,1,(x1),"146,300","12,341,166"
Mohbad - Ask About Me,394,44,1,(x13),"133,249","11,860,351"
Rema - Holiday,406,46,1,(x19),"101,892","11,528,406"
Young Jonn - If You Leave,565,,12,,"36,663","11,417,500"
Rema - Charm,352,65,1,(x14),"175,224","11,344,568"
Shallipopi - Ex Convict,310,49,2,(x3),"146,786","11,123,801"
Wizkid - IDK,143,72,1,(x5),"626,072","10,861,217"
ODUMODUBLVCK - WOTOWOTO SEASONING,163,99,2,(x4),"90,584","10,800,551"
Davido - NO COMPETITION,403,35,2,(x1),"400,378","10,775,775"
Burna Boy - Giza,262,28,2,(x6),"309,941","10,682,031"
Bnxn - PRAY,367,25,2,(x1),"93,353","10,543,109"
Seyi Vibez - Cana,157,77,2,(x1),"203,628","10,485,175"
Olamide - Jinja,278,22,2,(x1),"143,339","10,482,940"
ODUMODUBLVCK - Picanto,536,5,8,,"56,798","10,256,495"
Asake - Organise,601,76,1,(x13),"105,867","9,987,440"
Dave - Sprinter,346,19,2,(x4),"95,566","9,602,929"
Victony - OHEMA,174,25,1,(x1),"166,738","9,537,583"
Victony - Soweto,417,10,3,(x5),"74,653","9,469,680"
Qing Madi - Ole,296,7,6,,"70,572","9,418,723"
Sarz - Happiness,156,34,5,,"143,206","9,319,421"
Burna Boy - It's Plenty,595,59,2,(x5),"89,512","9,285,293"
Asake - Mogbe,332,8,6,,"169,139","9,158,287"
Burna Boy - For My Hand,654,56,1,(x3),"100,341","9,098,786"
Victony - Kolomental,746,11,2,(x1),"40,279","9,012,399"
Tiwa Savage - Stamina,380,15,4,,"66,930","8,769,848"
Seyi Vibez - Man of The Year,324,5,5,,"77,933","8,569,070"
Burna Boy - Alone,529,26,7,,"29,341","8,527,079"
Blaqbonez - LIKE ICE SPICE,295,19,7,,"76,137","8,365,150"
Mohbad - Peace,490,23,2,(x2),"107,255","8,360,430"
Shallipopi - Elon musk,397,,20,,"35,535","8,237,271"
Future - WAIT FOR U,733,15,1,(x1),"21,365","8,189,530"
Wande Coal - Again,753,,40,,"25,324","8,052,720"
Shallipopi - Oscroh (Pepperline),211,52,1,(x3),"203,779","8,034,405"
Asake - Ototo,611,21,7,,"78,987","7,994,674"
Olamide - New Religion,323,21,1,(x1),"152,039","7,940,527"
Kizz Daniel - Twe Twe,136,50,1,(x4),"305,196","7,929,187"
Omah Lay - i'm a mess,580,6,5,,"35,721","7,898,456"
Bnxn - Pidgin & English,220,19,1,(x1),"104,663","7,855,735"
Victony - Soweto,516,54,5,,"27,397","7,800,063"
Zinoleesky - Many Things,369,28,1,(x6),"140,922","7,786,204"
Asake - Omo Ope,682,100,1,(x1),"23,274","7,649,784"
Burna Boy - Big 7,284,40,1,(x1),"193,940","7,626,773"
Pheelz - Electricity,478,24,2,(x1),"64,366","7,620,019"
KCee - Ojapiano,306,15,3,(x1),"58,397","7,556,959"
Tems - Me & U,220,4,8,,"69,990","7,548,429"
Khaid - Anabella,296,,19,,"39,670","7,500,134"
Asake - Remember,332,,11,,"136,368","7,465,127"
Asake - I Believe,332,6,8,,"148,145","7,440,883"
Khaid - Carry Me Go,407,17,7,,"40,333","7,434,187"
Ayra Starr - Commas,100,69,1,(x15),"116,185","7,302,707"
Kizz Daniel - My G,260,2,10,,"54,350","7,293,576"
Ayra Starr - Rush,384,96,1,(x10),"49,844","7,288,846"
Pheelz - Finesse,586,104,1,(x39),"139,136","7,250,236"
"Burna Boy - Tested, Approved & Trusted",262,9,9,,"192,236","7,092,545"
Davido - AWAY,328,14,6,,"300,705","7,022,457"
ODUMODUBLVCK - Dog Eat Dog,452,,14,,"39,921","7,009,114"
Wizkid - Diamonds,143,24,3,(x2),"518,369","6,954,743"
Omah Lay - understand,664,,14,,"26,889","6,934,811"
Zerrydl - Puff & Pass (Remix),205,1,9,,"54,963","6,913,576"
ODUMODUBLVCK - KUBOLOR,219,17,2,(x1),"112,796","6,886,730"
Joeboy - Body & Soul,373,3,9,,"52,448","6,782,116"
Seyi Vibez - Karma,324,,14,,"50,469","6,775,978"
Lil Durk - All My Life,271,28,1,(x11),"136,308","6,626,831"
Davido - OVER DEM,270,26,1,(x2),"460,081","6,585,598"
ODUMODUBLVCK - COMMEND,219,14,4,,"94,437","6,562,998"
Mohbad - PARIWO,277,22,4,,"79,000","6,542,810"
Bnxn - Traboski,400,12,1,(x2),"51,927","6,469,906"
Timaya - Cold Outside,656,31,5,,"18,286","6,433,475"
Dave - Location,809,,35,,"19,000","6,391,759"
Asake - Dull,499,34,3,(x2),"95,426","6,367,094"
Khaid - Jolie,390,22,5,,"30,315","6,356,249"
