artist_title,days,t10,pk,x?,pkstreams,total
Lewis Capaldi - Someone You Loved,1948,138,3,(x4),"91,856","54,805,340"
The Weeknd - Blinding Lights,1560,256,1,(x71),"189,682","53,545,248"
Tones And I - Dance Monkey,1061,255,1,(x126),"281,564","51,505,040"
Lady Gaga - Shallow,1575,224,1,(x2),"129,260","48,096,271"
Alan Walker - Faded,1466,145,1,(x75),"230,811","47,658,559"
Victor Leksell - Svag,1105,291,1,(x80),"182,603","46,461,153"
Ballinciaga - Dans På Bordet,817,275,1,(x82),"244,694","45,624,269"
Ed Sheeran - Shape of You,841,128,1,(x40),"232,756","38,504,079"
Luis Fonsi - Despacito - Remix,630,140,1,(x103),"329,077","37,174,693"
Halva Priset - Den fineste Chevy'n,973,210,1,(x19),"140,864","36,512,466"
Mariah Carey - All I Want for Christmas Is You,558,257,1,(x52),"266,419","36,329,508"
Dean Lewis - Be Alright,1430,106,2,(x10),"124,990","34,204,347"
Freddy Kalas - Jovial,1264,79,1,(x15),"264,779","33,364,173"
Post Malone - rockstar,901,129,1,(x51),"264,190","32,838,324"
Wham! - Last Christmas,565,221,2,(x32),"264,549","32,756,116"
Tom Odell - Another Love,1183,9,8,,"60,976","31,552,457"
Stavangerkameratene - Bare så du vett det,2444,,58,,"24,341","31,496,212"
vinni - glorie,876,175,3,(x1),"124,197","31,420,821"
Maria Mena - Home for Christmas,559,212,1,(x3),"208,007","31,009,071"
Karpe - PAF.no,749,125,1,(x20),"268,636","30,698,287"
Ava Max - Sweet but Psycho,842,151,1,(x46),"188,362","30,610,686"
UNDERGRUNN - Italia,764,108,3,(x45),"165,212","29,999,540"
Hozier - Take Me To Church,1488,119,2,(x27),"123,092","29,993,170"
Dagny - Somebody,1119,56,6,,"87,025","29,564,302"
Glass Animals - Heat Waves,1059,111,1,(x18),"113,791","29,302,049"
Billie Eilish - lovely,1850,,29,,"47,211","29,096,206"
Emma Steinbakken - Floden,507,139,1,(x25),"311,929","29,064,019"
Kurt Nilsen - Himmel På Jord,547,208,1,(x1),"237,423","28,398,764"
Chris Holsten - Smilet i ditt eget speil,917,123,5,,"91,281","28,123,106"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,517,154,1,(x2),"283,903","28,003,529"
The Kid LAROI - Stay,660,146,1,(x78),"184,363","27,925,562"
Sia - Snowman,485,169,1,(x71),"288,043","27,887,685"
David Guetta - I'm Good (Blue),623,128,1,(x44),"178,595","27,506,970"
Billie Eilish - bad guy,755,104,1,(x17),"139,844","27,476,441"
Lady Gaga - Always Remember Us This Way,1240,22,7,,"72,048","26,985,062"
Lord Huron - The Night We Met,1633,3,9,,"51,604","26,459,045"
Harry Styles - As It Was,722,129,2,(x18),"172,554","26,202,812"
Hellbillies - Den finast eg veit,2345,,61,,"20,995","25,879,058"
Kygo - It Ain't Me,515,88,1,(x42),"315,397","25,844,037"
Billie Eilish - when the party's over,1068,45,9,,"79,365","25,709,182"
Ed Sheeran - Perfect,1123,19,6,,"92,143","25,691,411"
Shawn Mendes - Señorita,524,125,1,(x30),"231,626","25,642,538"
Lewis Capaldi - Before You Go,1140,5,7,,"73,139","25,495,211"
Ballinciaga - Beklager (Guttaklubben),642,144,2,(x10),"178,131","25,249,770"
K-391 - Ignite,592,126,1,(x15),"271,271","25,218,222"
Freddy Kalas - Pinne for Landet,1249,80,1,(x27),"163,173","24,652,248"
Kudos - Haien Kommer (Sharkdog 2023),387,187,1,(x70),"225,005","24,455,328"
SAINt JHN - Roses - Imanbek Remix,660,133,4,,"103,116","24,388,293"
Hkeem - Fy Faen,505,101,1,(x8),"253,762","24,184,708"
James Arthur - Say You Won't Let Go,1335,21,9,,"75,365","24,032,024"
Miley Cyrus - Flowers,483,114,1,(x25),"304,826","23,977,703"
Gabry Ponte - Thunder,850,125,4,,"90,110","23,881,560"
Kygo - Firestone,727,112,1,(x31),"153,338","23,614,923"
Freddy Kalas - Hey Ho,531,81,1,(x9),"201,645","23,604,363"
DJ MøMø - Badebussen,329,232,1,(x67),"125,335","23,522,997"
Adele - Hello,558,94,1,(x41),"355,951","23,463,392"
24kGoldn - Mood,505,147,1,(x58),"235,428","23,286,189"
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,648,74,1,(x24),"156,311","23,272,946"
Drake - One Dance,623,107,1,(x6),"178,568","23,210,274"
Isah - HALLO,659,111,3,(x8),"118,219","23,092,909"
Ed Sheeran - Thinking out Loud,1091,107,4,,"88,553","23,083,090"
The Weeknd - Starboy,936,92,1,(x40),"146,102","23,068,749"
ItaloBrothers - Summer Air,731,90,2,(x32),"173,187","22,977,783"
Emma Steinbakken - Jeg glemmer deg aldri - fra Rådebank,910,70,1,(x13),"135,480","22,693,886"
XXXTENTACION - Jocelyn Flores,1206,6,2,(x1),"176,062","21,913,005"
Kygo - Stole the Show,727,91,1,(x13),"212,418","21,863,357"
Ed Sheeran - Bad Habits,510,129,1,(x4),"145,410","21,804,265"
Sia - Cheap Thrills,557,78,2,(x4),"137,561","21,740,711"
Tate McRae - you broke me first,822,118,4,,"89,757","21,505,849"
Alan Walker - Sing Me to Sleep,471,83,1,(x23),"261,959","21,387,377"
Kamelen - Creme De La Creme,1002,,16,,"56,960","21,303,474"
Mads Hansen - Sommerkroppen,535,81,1,(x52),"503,775","21,275,386"
Justin Bieber - Sorry,484,111,1,(x3),"295,109","21,145,655"
Rudimental - These Days,537,107,1,(x52),"154,192","21,145,570"
Beathoven - SØR-AFRIKA,478,126,1,(x66),"220,972","20,871,636"
Imagine Dragons - Believer,973,,11,,"92,410","20,837,314"
The Chainsmokers - Don't Let Me Down,521,68,3,(x11),"142,619","20,684,863"
Justin Bieber - Mistletoe,503,24,6,,"146,965","20,619,713"
Roc Boyz - Bonanza,609,80,2,(x6),"153,791","20,610,428"
Juice WRLD - Lucid Dreams,994,11,2,(x1),"86,476","20,436,114"
Justin Bieber - Love Yourself,561,118,1,(x2),"157,317","20,360,970"
Alan Walker - Diamond Heart,509,104,1,(x9),"165,520","20,328,983"
Mike Perry - The Ocean,499,87,3,(x16),"178,536","20,310,337"
Alan Walker - All Falls Down,575,103,1,(x30),"161,009","20,087,675"
Rotlaus - Rundt neste sving,1729,,58,,"21,000","20,076,310"
Olivia Rodrigo - good 4 u,467,103,1,(x42),"197,505","20,010,123"
Post Malone - Better Now,504,93,1,(x17),"172,594","19,920,437"
Elton John - Cold Heart - PNAU Remix,755,25,3,(x1),"104,508","19,859,123"
Harry Styles - Watermelon Sugar,794,75,5,,"102,903","19,819,425"
Dynoro - In My Mind,533,96,1,(x21),"139,464","19,814,796"
Avicii - Without You,678,65,1,(x3),"142,913","19,781,926"
Burak Yeter - Tuesday,488,79,3,(x1),"170,176","19,765,050"
5 Seconds of Summer - Youngblood,594,104,4,,"136,183","19,714,745"
Lewis Capaldi - Bruises,1028,,15,,"52,963","19,646,007"
J-Dawg - Disco Demolition 2018 (Stabekk Anthem),961,12,8,,"115,761","19,628,205"
Ruben - Lay By Me,916,36,6,,"76,001","19,354,523"
Lukas Graham - 7 Years,573,58,2,(x5),"117,976","19,335,081"
Olivia Rodrigo - drivers license,555,90,1,(x35),"274,460","19,273,527"
Julie Bergan - Arigato,433,85,1,(x23),"203,949","19,177,994"
JP Saxe - If The World Was Ending,720,,15,,"65,996","19,033,273"
