artist_title,days,t10,pk,x?,pkstreams,total
Kaifi Khalil - Kahani Suno 2.0,657,311,1,(x110),"61,698","11,841,345"
Abdul Hannan - Bikhra,728,379,1,(x50),"39,224","11,764,169"
Rovalio - Iraaday,728,395,2,(x44),"27,782","11,478,193"
Shubh - No Love,718,444,2,(x27),"29,069","11,307,445"
AP Dhillon - Summer High,646,217,1,(x101),"29,846","9,365,202"
AUR - Tu hai kahan,219,171,1,(x65),"79,532","9,139,266"
Aditya Rikhari - Samjho Na,728,100,6,,"19,689","8,597,663"
Shubh - Cheques,357,179,2,(x36),"38,248","8,248,830"
AP Dhillon - Excuses,728,97,5,,"18,204","8,141,193"
Shae Gill - Pasoori,721,161,1,(x12),"29,364","7,930,665"
Sharn - Mi Amor,487,210,1,(x36),"40,462","7,859,996"
Prabh Singh - 9:45,369,230,3,(x3),"35,717","7,757,556"
Shubh - Baller,611,122,4,,"22,685","7,714,607"
Sidhu Moose Wala - 295,728,91,2,(x13),"28,153","7,479,457"
Shubh - Still Rollin,357,134,1,(x36),"43,164","7,202,070"
King - Tu Aake Dekhle,728,37,7,,"17,974","7,164,699"
Anuv Jain - Husn,163,152,1,(x58),"81,482","7,138,932"
Shubh - We Rollin,728,,11,,"17,873","7,070,070"
Hasan Raheem - Wishes,253,210,2,(x10),"46,869","6,875,114"
Shubh - One Love,268,143,1,(x4),"41,262","6,736,279"
Chani Nattan - Daku,664,13,8,,"21,379","6,722,039"
Bir - Afterhours,621,10,9,,"16,340","6,495,380"
AP Dhillon - TERE TE,728,,15,,"17,919","6,243,098"
Pritam - Kesariya,584,74,7,,"19,285","6,004,741"
Vishal Mishra - Pehle Bhi Main,161,156,2,(x17),"58,062","5,881,321"
Shubh - Elevated,728,,23,,"15,877","5,781,686"
King - Maan Meri Jaan,540,77,2,(x7),"25,697","5,733,952"
Abdul Hannan - Siyah,665,2,10,,"17,789","5,720,916"
Mitraz - Akhiyaan,728,59,6,,"15,900","5,665,200"
Anirudh Ravichander - Chaleya,249,121,1,(x19),"42,023","5,495,731"
Aditya Rikhari - Faasle,728,,19,,"13,267","5,469,428"
Azaan Sami Khan - Ik Lamha,728,26,6,,"13,370","5,417,393"
AP Dhillon - Dil Nu,583,14,8,,"15,431","5,394,101"
Rema - Calm Down,510,136,6,,"20,520","5,164,517"
Jasleen Royal - Heeriye,279,108,1,(x13),"45,865","5,150,121"
AP Dhillon - Insane,691,,11,,"12,290","5,147,609"
Anuv Jain - Baarishein,728,,24,,"15,085","5,129,980"
Guru Randhawa - Moon Rise,522,85,3,(x1),"22,803","5,108,261"
Asim Azhar - Jo Tu Na Mila,728,,28,,"11,442","5,040,491"
Jung Kook - Seven,259,105,1,(x34),"135,215","4,999,458"
Anuv Jain - Gul,728,,16,,"10,716","4,934,975"
Karan Aujla - White Brown Black,510,,14,,"18,836","4,824,021"
AP Dhillon - With You,275,78,1,(x16),"58,551","4,751,283"
Yashraj - Dhundhala,728,42,7,,"13,385","4,745,543"
Diljit Dosanjh - Lemonade,594,,27,,"12,491","4,703,256"
Young Stunners - Gumaan,728,,26,,"9,491","4,614,751"
AP Dhillon - Wo Noor,578,59,3,(x3),"17,072","4,583,650"
Shubh - King Shit,128,104,1,(x6),"82,305","4,574,543"
Hassan & Roshaan - Sukoon,535,39,6,,"19,657","4,549,631"
The Weeknd - Starboy,728,,28,,"10,916","4,507,795"
"Alka Yagnik - Agar Tum Saath Ho (From ""Tamasha"")",714,,27,,"14,488","4,507,296"
Rap Demon - Agency,708,,17,,"11,785","4,493,349"
Shubh - Her,529,,18,,"14,372","4,453,793"
Karan Aujla - Softly,243,64,5,,"26,060","4,375,912"
AP Dhillon - True Stories,331,77,5,,"22,920","4,335,514"
Sachet Tandon - Malang Sajna,456,,18,,"15,338","4,261,750"
"Pritam - Tere Hawaale (From ""Laal Singh Chaddha"")",438,7,6,,"19,255","4,214,854"
Riar Saab - Obsessed,332,79,1,(x7),"46,841","4,179,672"
Young Stunners - Afsanay,728,,25,,"8,951","4,147,634"
Aditya A - Chaand Baaliyan,728,,14,,"9,383","4,141,209"
AP Dhillon - DESIRES,647,8,10,,"10,533","4,115,419"
Diljit Dosanjh - Hass Hass,198,65,3,(x13),"34,505","3,916,531"
"Vishal-Shekhar - Besharam Rang (From ""Pathaan"")",411,74,2,(x27),"32,164","3,841,670"
AP Dhillon - Brown Munde,649,,24,,"9,131","3,835,435"
Talha Anjum - Downers At Dusk,449,,15,,"15,069","3,818,430"
Talwiinder - Khayaal,397,12,8,,"20,713","3,765,964"
Anuv Jain - Alag Aasmaan,722,,33,,"13,242","3,746,696"
Sidhu Moose Wala - Never Fold,728,,20,,"10,183","3,664,986"
Shubh - Dior,357,,23,,"15,339","3,634,592"
Abdul Hannan - Haaray,560,7,9,,"10,198","3,590,591"
Darshan Raval - Mahiye Jinna Sohna,318,30,6,,"20,052","3,580,643"
Sidhu Moose Wala - The Last Ride,587,40,5,,"17,670","3,506,058"
Tarna - Hail,431,8,8,,"19,536","3,471,178"
"Arijit Singh - Satranga (From ""ANIMAL"")",184,32,6,,"29,966","3,439,609"
