artist_title,days,t10,pk,x?,pkstreams,total
J Balvin - LA CANCIÓN,1780,199,1,(x2),"27,714","11,011,456"
Bad Bunny - Me Porto Bonito,737,266,1,(x15),"65,705","9,277,513"
Boza - Hecha Pa' Mi,1380,240,1,(x7),"25,102","9,266,788"
Bad Bunny - Yonaguni,867,337,1,(x114),"74,058","9,168,213"
Bad Bunny - Ojitos Lindos,737,252,1,(x49),"65,984","8,968,846"
Jay Wheeler - La Curiosidad,1430,180,1,(x5),"20,122","8,677,708"
Bad Bunny - DÁKITI,991,223,1,(x65),"78,616","8,635,061"
Manuel Turizo - La Bachata,709,250,1,(x74),"23,703","8,482,522"
Bad Bunny - Callaita,1395,171,1,(x41),"34,223","7,790,500"
Bad Bunny - Efecto,737,239,1,(x2),"49,265","7,559,659"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",658,220,1,(x86),"41,038","7,388,529"
Mora - Volando - Remix,939,286,1,(x11),"47,900","7,249,100"
Bad Bunny - Moscow Mule,728,214,1,(x2),"86,234","6,916,832"
Bad Bunny - Tití Me Preguntó,550,230,1,(x4),"63,811","6,588,958"
KAROL G - PROVENZA,751,167,1,(x10),"22,851","6,507,878"
Feid - Feliz Cumpleaños Ferxxo,632,213,3,(x1),"23,136","6,494,252"
Ozuna - Hey Mor,583,208,2,(x5),"24,741","6,354,342"
Jhayco - No Me Conoce - Remix,1300,150,5,,"17,217","6,350,240"
Danny Ocean - Me Rehúso,1932,262,2,(x14),"9,339","6,163,140"
Rauw Alejandro - Todo De Ti,827,204,1,(x10),"42,566","6,147,346"
Bad Bunny - Si Estuviésemos Juntos,1963,,12,,"10,165","6,061,062"
Tainy - Lo Siento BB:/,784,213,1,(x100),"25,766","6,039,183"
Dalex - Pa Mí - Remix,1176,168,1,(x47),"26,242","6,024,061"
KAROL G - Tusa,907,150,1,(x79),"36,635","5,930,387"
Yandel - Yandel 150,494,169,1,(x35),"33,256","5,673,633"
Feid - Normal,674,25,5,,"19,783","5,624,729"
Bad Bunny - LA NOCHE DE ANOCHE,767,152,2,(x27),"66,772","5,506,066"
Bad Bunny - Vete,1186,127,1,(x9),"36,556","5,492,885"
Mora - LA INOCENTE,772,1,10,,"13,282","5,474,020"
Feid - Classy 101,408,249,2,(x4),"30,343","5,460,432"
Anuel AA - China,790,187,1,(x63),"40,014","5,318,015"
The Weeknd - Blinding Lights,1382,,12,,"10,463","5,200,783"
Rauw Alejandro - Desesperados,759,115,2,(x10),"15,570","4,966,058"
Aventura - Volví,766,219,1,(x14),"33,944","4,928,103"
Maluma - Hawái,666,137,1,(x71),"32,899","4,903,341"
Myke Towers - Bandido,509,160,1,(x57),"25,580","4,753,385"
SMILE BEATS - Tu Chacal,385,225,1,(x9),"22,000","4,750,892"
Harry Styles - As It Was,771,35,1,(x16),"15,581","4,718,876"
Myke Towers - LALA,322,195,1,(x76),"34,880","4,694,018"
Sech - Otro Trago,577,104,1,(x51),"61,981","4,656,402"
Bad Bunny - Ignorantes,869,127,1,(x34),"52,812","4,617,270"
Bad Bunny - La Santa,1274,19,4,,"41,521","4,565,270"
Bad Bunny - TE MUDASTE,1033,46,3,(x6),"62,736","4,521,237"
Bad Bunny - Neverita,531,77,7,,"52,589","4,478,603"
KAROL G - TQG,443,96,1,(x26),"49,619","4,465,726"
BCA - TOP MODEL,877,101,2,(x11),"15,262","4,465,258"
Becky G - MAMIII,718,85,1,(x35),"21,298","4,373,691"
Boza - Ella,444,120,1,(x37),"43,330","4,283,639"
Bad Bunny - Tarot,537,118,4,,"63,982","4,244,429"
Arcángel - Sigues Con El,717,115,2,(x58),"23,195","4,240,031"
Jhayco - CÓMO SE SIENTE - Remix,1052,10,2,(x2),"19,453","4,228,570"
BARBEL - Casaya,495,76,6,,"17,711","4,191,706"
Anuel AA - Amanece,969,23,6,,"12,220","4,186,806"
Rauw Alejandro - 2/Catorce,624,85,3,(x8),"24,341","4,142,063"
Sebastian Yatra - Pareja Del Año,701,64,2,(x1),"21,917","4,091,897"
KAROL G - BICHOTA,710,144,2,(x17),"24,951","4,091,142"
Grupo Frontera - un x100to,391,106,1,(x22),"38,365","4,038,335"
KAROL G - AMARGURA,442,33,8,,"14,437","4,032,693"
Feid - CHORRITO PA LAS ANIMAS,527,79,5,,"19,789","4,001,137"
