artist_title,days,t10,pk,x?,pkstreams,total
J Balvin - LA CANCIÓN,1778,125,1,(x27),"56,795","24,921,840"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",674,196,1,(x75),"193,064","23,324,812"
Bad Bunny - Me Porto Bonito,735,249,1,(x16),"116,009","23,226,554"
Bad Bunny - Ojitos Lindos,735,239,1,(x44),"104,447","22,709,763"
Bad Bunny - Yonaguni,854,288,1,(x58),"125,162","22,506,784"
Manuel Turizo - La Bachata,695,221,1,(x55),"100,430","22,439,800"
Feid - Feliz Cumpleaños Ferxxo,631,162,4,,"69,227","21,228,897"
Mora - Volando - Remix,885,262,1,(x4),"84,512","20,228,352"
Jay Wheeler - La Curiosidad,1415,143,1,(x19),"78,435","19,677,723"
Ozuna - Hey Mor,576,141,1,(x6),"77,577","19,184,600"
Bad Bunny - Efecto,717,223,1,(x2),"90,582","18,956,663"
Bad Bunny - DÁKITI,872,160,1,(x45),"155,907","18,829,839"
Big One - Un Finde | CROSSOVER #2,403,234,1,(x7),"106,416","18,514,108"
Quevedo - PUNTO G,555,119,1,(x3),"82,436","18,103,680"
Tainy - Lo Siento BB:/,697,212,1,(x115),"72,475","18,089,563"
Grupo Frontera - un x100to,391,154,1,(x67),"176,369","17,798,030"
Feid - Normal,674,13,9,,"51,454","17,779,437"
Quevedo - VISTA AL MAR,611,114,1,(x1),"70,971","16,970,744"
Danny Ocean - Me Rehúso,2698,273,1,(x37),"16,489","16,718,845"
Bad Bunny - Moscow Mule,703,175,1,(x3),"103,756","16,673,229"
Rei - Tu Turrito,576,137,1,(x47),"123,546","16,424,833"
Yandel - Yandel 150,501,144,1,(x53),"87,758","16,145,599"
Anuel AA - Sola (Remix),2693,247,3,(x7),"12,945","15,846,671"
Myke Towers - LALA,325,197,1,(x62),"138,130","15,581,469"
Bad Bunny - LA NOCHE DE ANOCHE,790,173,2,(x48),"100,296","15,287,258"
Plan B - Es un Secreto,1292,17,9,,"41,757","14,953,864"
Big One - En la Intimidad,464,121,1,(x2),"87,431","14,946,076"
Rauw Alejandro - Desesperados,778,141,1,(x43),"56,581","14,918,581"
Quevedo - Columbia,310,219,1,(x25),"103,520","14,323,314"
Bad Bunny - Si Estuviésemos Juntos,1963,,16,,"21,177","14,319,868"
Yng Lvcas - La Bebe - Remix,416,129,2,(x40),"114,710","14,154,155"
Mora - LA INOCENTE,763,,15,,"36,401","13,678,825"
Yahritza Y Su Esencia - Frágil,394,130,3,(x11),"89,120","13,669,675"
Bad Bunny - A Tu Merced,1179,,14,,"27,334","13,477,886"
Bad Bunny - Callaita,1353,133,1,(x22),"75,024","13,461,366"
Rauw Alejandro - Todo De Ti,685,99,1,(x8),"114,903","13,301,807"
Aventura - Volví,588,175,1,(x29),"88,579","13,268,993"
Grupo Frontera - OJITOS ROJOS,296,191,1,(x13),"96,998","13,268,383"
Feid - Classy 101,408,25,10,,"56,772","13,005,497"
Bad Bunny - Neverita,530,122,5,,"67,085","12,956,505"
Myke Towers - Bandido,504,172,1,(x76),"83,887","12,918,995"
TINI - Miénteme,1024,73,7,,"50,480","12,695,085"
Maluma - Hawái,623,99,1,(x68),"158,047","12,656,348"
Dalex - Hola - Remix,1066,161,1,(x5),"51,075","12,495,365"
KAROL G - QLONA,275,223,1,(x18),"80,355","12,416,107"
Bad Bunny - Tití Me Preguntó,456,152,4,,"75,521","12,403,833"
