artist_title,days,t10,pk,x?,pkstreams,total
Danny Ocean - Me Rehúso,2662,278,1,(x55),"96,012","88,066,067"
J Balvin - LA CANCIÓN,1780,173,2,(x19),"140,098","81,519,831"
Manuel Turizo - La Bachata,707,318,1,(x123),"230,612","80,599,450"
Bad Bunny - Me Porto Bonito,737,255,1,(x56),"281,184","75,569,128"
Feid - Feliz Cumpleaños Ferxxo,632,296,1,(x1),"179,549","68,787,203"
Jay Wheeler - La Curiosidad,1423,142,3,(x14),"143,257","65,429,501"
Bad Bunny - Efecto,737,235,2,(x42),"233,060","65,117,350"
Piso 21 - Te Vi,1943,160,2,(x3),"132,785","62,594,143"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",666,222,1,(x56),"359,320","61,455,433"
Bad Bunny - Ojitos Lindos,737,249,1,(x11),"240,620","61,090,160"
Rauw Alejandro - Todo De Ti,929,227,1,(x50),"413,544","59,219,554"
Bad Bunny - Yonaguni,864,292,2,(x52),"237,139","59,025,975"
Ozuna - Hey Mor,583,227,1,(x1),"181,983","56,742,972"
Maluma - Hawái,1096,178,1,(x76),"363,065","55,551,899"
Rauw Alejandro - Desesperados,857,121,1,(x32),"172,749","53,954,137"
KAROL G - PROVENZA,751,139,1,(x5),"199,017","53,250,536"
Bad Bunny - Callaita,1415,196,1,(x18),"174,781","52,185,559"
Bacilos - Caraluna,3421,,32,,"61,325","51,611,259"
Piso 21 - Déjala Que Vuelva,1432,210,2,(x21),"97,249","50,555,935"
Jhayco - No Me Conoce - Remix,1300,196,2,(x3),"143,862","50,226,375"
Bad Bunny - DÁKITI,926,170,1,(x7),"389,612","49,427,171"
Sebastian Yatra - Pareja Del Año,1117,100,1,(x31),"226,703","48,078,173"
Feid - Classy 101,408,248,1,(x1),"238,947","48,061,692"
Mau y Ricky - Desconocidos,1042,175,3,(x79),"147,273","47,748,434"
Bad Bunny - Moscow Mule,727,174,1,(x3),"348,477","47,569,729"
Bad Bunny - Tití Me Preguntó,539,216,3,(x5),"236,715","47,277,900"
Anuel AA - Amanece,997,120,4,,"126,350","46,447,313"
Feid - Normal,674,33,7,,"140,070","46,339,349"
Plan B - Es un Secreto,1105,,13,,"92,919","46,294,728"
Myke Towers - LALA,322,219,1,(x93),"327,225","46,047,580"
Tainy - Lo Siento BB:/,785,205,1,(x2),"130,585","45,938,870"
Dalex - Hola - Remix,1242,204,2,(x56),"168,903","45,300,615"
Marc Seguí - Tiroteo - Remix,1050,173,6,,"120,250","44,939,327"
TINI - Miénteme,1074,106,5,,"122,636","44,740,762"
Harry Styles - As It Was,773,82,1,(x18),"167,432","44,581,287"
KAROL G - Tusa,961,164,1,(x92),"340,477","44,544,889"
Taiu - Rara Vez,455,125,3,(x12),"169,451","44,367,867"
Becky G - MAMIII,749,116,1,(x40),"217,894","44,063,384"
Los Enanitos Verdes - Lamento Boliviano,2098,,35,,"55,377","43,602,789"
Grupo Frontera - un x100to,391,136,1,(x74),"360,552","43,414,904"
Anuel AA - China,965,212,1,(x98),"237,336","42,978,355"
Paulo Londra - Adan y Eva,1406,148,1,(x51),"142,878","42,540,267"
KAROL G - TQG,443,125,1,(x52),"389,774","42,498,096"
Mora - LA INOCENTE,769,,17,,"96,207","42,443,464"
Yandel - Yandel 150,492,168,1,(x11),"221,159","42,305,986"
Sebastian Yatra - Tacones Rojos,889,134,1,(x52),"123,566","42,055,083"
Feid - CHORRITO PA LAS ANIMAS,527,135,5,,"166,903","40,928,408"
Big One - Un Finde | CROSSOVER #2,398,223,2,(x6),"174,846","40,623,242"
KAROL G - AMARGURA,425,272,3,(x1),"174,439","40,110,235"
Paulo Londra - Tal Vez,1573,70,5,,"102,652","39,942,856"
Maluma - Sobrio,776,183,1,(x72),"168,867","38,878,454"
Bad Bunny - La Santa,1508,20,7,,"114,948","38,056,331"
Feid - LUNA,163,154,1,(x112),"340,733","37,909,154"
J Balvin - Qué Más Pues?,698,145,1,(x22),"197,613","37,176,607"
J Balvin - QUE PRETENDES,1303,84,7,,"101,745","37,017,809"
Cris Mj - Una Noche en Medellín,658,66,3,(x12),"129,145","36,840,232"
Hombres G - Devuélveme a mi chica,2128,,61,,"37,776","36,461,104"
Bad Bunny - Neverita,559,125,5,,"191,121","36,447,644"
KAROL G - BICHOTA,730,144,1,(x48),"246,127","36,368,733"
Quevedo - Columbia,310,220,2,(x36),"180,977","36,049,416"
Bad Bunny - Si Estuviésemos Juntos,1624,,27,,"48,839","35,516,495"
Rauw Alejandro - LOKERA,593,79,6,,"127,112","34,994,343"
Bad Bunny - PERRO NEGRO,212,207,1,(x65),"306,668","34,962,132"
Morat - Cuando Nadie Ve,1645,,34,,"62,430","34,513,268"
Adolescent's Orquesta - Virgen,1197,,26,,"50,797","34,438,301"
Rvssian - Nostálgico,771,141,1,(x2),"97,099","33,795,358"
Lunay - Soltera - Remix,974,140,2,(x40),"144,665","33,568,436"
KAROL G - QLONA,275,239,2,(x32),"167,270","33,554,075"
Yng Lvcas - La Bebe - Remix,416,128,2,(x2),"190,545","33,548,719"
Dalex - Pa Mí - Remix,798,151,1,(x30),"137,571","33,149,296"
Morat - No Se Va,803,,13,,"91,508","33,091,643"
Rels B - cómo dormiste?,646,2,10,,"117,744","33,060,958"
Piso 21 - Te Amo,1217,134,5,,"70,089","31,187,453"
Tego Calderón - Pa' Que Retozen,993,,21,,"78,243","30,855,175"
Bad Bunny - Party,416,94,2,(x7),"230,101","30,823,603"
Zion & Lennox - Otra vez,1377,236,1,(x49),"56,527","30,580,272"
Bad Bunny - LA NOCHE DE ANOCHE,667,151,2,(x23),"230,858","30,479,512"
Rels B - A Mí,1317,,53,,"47,474","30,421,929"
J Balvin - UN PESO,1177,,31,,"51,423","30,151,492"
Jimin - Like Crazy,414,57,3,(x2),"169,120","29,976,374"
Pedro Capó - Calma - Remix,727,129,1,(x19),"164,113","29,965,423"
Tiago PZK - Entre Nosotros,743,140,3,(x13),"125,242","29,764,103"
Anuel AA - Sola (Remix),1424,121,7,,"48,680","29,654,686"
DEKKO - 12x3,525,80,3,(x31),"135,232","29,616,708"
Lasso - Ojos Marrones,575,78,6,,"148,402","29,347,856"
Ed Sheeran - Shape of You,1149,215,2,(x29),"82,578","29,291,621"
The Weeknd - Blinding Lights,1020,72,6,,"61,323","29,132,149"
Camilo - Tutu,624,139,2,(x43),"161,721","28,962,127"
Jung Kook - Seven,303,95,2,(x41),"339,658","28,686,675"
"Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48",651,2,10,,"90,524","28,650,563"
Becky G - Cuando Te Besé,761,164,1,(x28),"115,777","28,593,854"
Bad Bunny - Si Veo a Tu Mamá,1129,47,1,(x1),"143,749","28,511,496"
Bad Bunny - Tarot,521,35,5,,"242,018","28,467,031"
Shakira - Te Felicito,465,50,7,,"172,330","28,436,191"
Anuel AA - Ella Quiere Beber - Remix,696,121,3,(x7),"108,998","28,402,938"
Myke Towers - Bandido,507,150,1,(x63),"167,218","28,155,557"
Greeicy - Amantes,1349,81,6,,"65,554","28,026,425"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",353,85,1,(x32),"599,378","27,936,620"
Danny Ocean - Fuera del mercado,683,38,6,,"110,098","27,794,052"
Bad Bunny - Safaera,880,126,1,(x32),"239,146","27,727,497"
