artist_title,days,t10,pk,x?,pkstreams,total
Ben&Ben - Kathang Isip,2334,290,2,(x7),"211,337","242,438,452"
Up Dharma Down - Tadhana,3336,27,7,,"363,590","226,805,385"
James Arthur - Say You Won't Let Go,2776,229,1,(x44),"264,769","221,516,714"
NOBITA - Ikaw Lang,1074,338,2,(x37),"315,058","217,605,936"
Adie - Mahika,709,403,1,(x61),"395,614","210,051,835"
Taylor Swift - Cruel Summer,905,245,1,(x10),"599,799","195,352,892"
Adie - Paraluman,1095,336,3,(x4),"292,211","185,709,062"
IV Of Spades - Mundo,2277,230,1,(x61),"238,389","185,174,723"
Arthur Nery - Pagsamo,952,278,1,(x47),"585,483","180,665,293"
Arthur Nery - Isa lang,875,130,2,(x9),"304,417","166,759,494"
Ben&Ben - Pagtingin,1819,250,2,(x44),"271,108","164,993,873"
SunKissed Lola - Pasilyo,512,262,1,(x29),"691,069","160,613,430"
Ben&Ben - Sa Susunod na Habang Buhay,1533,62,1,(x1),"552,886","157,678,458"
H.E.R. - Best Part,2317,,11,,"214,119","153,688,959"
Ben&Ben - Maybe The Night,1840,198,1,(x10),"270,708","151,581,071"
Arthur Nery - Higa,1435,13,8,,"202,518","151,377,054"
December Avenue - Kung 'Di Rin Lang Ikaw,1571,358,1,(x58),"287,663","147,792,921"
Hale - Kung Wala Ka,2604,,36,,"248,775","144,607,912"
Dhruv - double take,1050,107,1,(x5),"277,102","142,156,028"
Ben&Ben - Leaves,2254,,37,,"124,112","140,686,710"
December Avenue - Sa Ngalan Ng Pag-Ibig,1999,229,2,(x8),"251,876","140,043,723"
Dilaw - Uhaw (Tayong Lahat),436,181,1,(x61),"747,093","139,927,493"
Zack Tabudlo - Binibini,1055,187,1,(x38),"406,332","139,239,295"
I Belong to the Zoo - Sana,1535,330,1,(x7),"264,775","138,093,967"
SZA - Snooze,507,172,2,(x4),"494,360","136,443,640"
Lauv - I Like Me Better,2137,156,2,(x1),"158,470","136,231,647"
SZA - Kill Bill,520,202,1,(x41),"624,476","135,699,356"
Hale - The Day You Said Goodnight,2068,,40,,"184,751","134,528,452"
Taylor Swift - Lover,1305,37,1,(x7),"312,081","134,230,756"
Zack Tabudlo - Pano,788,164,1,(x122),"389,297","133,283,189"
Calein - Umaasa,596,117,8,,"326,731","132,884,819"
Adie - Tahanan,884,99,5,,"270,533","132,683,461"
Lola Amour - Fallen,682,8,9,,"289,781","131,929,778"
Ben&Ben - Araw-Araw,1704,,21,,"169,577","130,863,272"
Justin Bieber - Ghost,959,164,6,,"231,144","128,643,056"
NIKI - lowkey,1558,,24,,"209,235","125,139,724"
Cean Jr. - YK,465,160,2,(x6),"532,207","125,096,347"
The Weeknd - Die For You,992,19,9,,"309,946","121,118,165"
Taylor Swift - Anti-Hero,547,115,1,(x56),"1,095,809","118,855,887"
Bruno Mars - Just the Way You Are,2511,,30,,"251,172","117,817,376"
Lola Amour - Raining In Manila,325,153,1,(x42),"841,311","117,462,841"
Orange & Lemons - Hanggang Kailan - Umuwi Ka Na Baby,1915,,38,,"234,142","116,373,311"
South Border - Rainbow,2924,,52,,"96,170","113,018,510"
LANY - Malibu Nights,1578,106,2,(x17),"283,728","111,949,398"
The Walters - I Love You So,950,12,9,,"218,146","110,249,105"
December Avenue - Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),1577,1,10,,"154,429","109,609,529"
PDL - Sa Susunod Na Lang,1495,170,4,,"183,302","109,380,260"
d4vd - Here With Me,576,144,3,(x16),"357,301","108,648,466"
Ed Sheeran - Photograph,2812,124,1,(x14),"76,388","108,409,570"
Magnus Haven - Imahe,1269,205,1,(x27),"286,359","108,286,743"
Anne-Marie - 2002,1631,76,3,(x2),"172,368","107,041,561"
Jung Kook - Seven,303,111,1,(x42),"1,067,775","106,846,055"
Zack Tabudlo - Habang Buhay,784,182,2,(x72),"331,094","106,206,572"
Zack Tabudlo - Nangangamba,935,80,4,,"206,998","105,566,851"
Ne-Yo - So Sick,2599,,28,,"214,651","105,038,466"
Bruno Mars - That's What I Like,1342,145,2,(x35),"298,318","101,818,216"
juan karlos - ERE,228,97,1,(x63),"1,644,340","100,202,591"
The Chainsmokers - Closer,1482,217,1,(x110),"500,470","99,953,702"
Sabrina Carpenter - Nonsense,532,8,5,,"359,003","99,786,358"
rhodessa - Kisame,347,110,4,,"496,229","99,667,715"
Pamungkas - To the Bone,950,83,5,,"211,324","99,389,890"
Because - BMW,794,,20,,"193,488","98,001,440"
Olivia Rodrigo - traitor,974,122,4,,"212,249","97,296,523"
Parokya Ni Edgar - One and Only,1945,,34,,"101,806","96,812,561"
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),853,55,1,(x21),"576,095","96,673,446"
Troye Sivan - Strawberries & Cigarettes,1426,,20,,"133,754","96,303,528"
Coldplay - Yellow,1606,6,6,,"460,483","95,100,042"
Harry Styles - As It Was,625,47,4,,"269,347","94,960,645"
Silent Sanctuary - Ikaw Lamang,1553,,45,,"183,265","94,535,850"
Taylor Swift - august,768,14,1,(x1),"615,751","93,796,491"
Ben&Ben - Make It With You,1158,110,1,(x7),"281,140","93,099,581"
Ruth B. - Dandelions,1026,,18,,"138,882","92,574,089"
Troye Sivan - Angel Baby,684,163,1,(x12),"332,686","92,462,624"
Conan Gray - Heather,1307,1,10,,"302,684","92,274,420"
Arthur Nery - TAKE ALL THE LOVE,575,104,4,,"558,510","91,959,007"
Hev Abi - Alam Mo Ba Girl,193,142,1,(x2),"748,880","91,954,283"
Taylor Swift - Enchanted,760,3,7,,"302,187","91,896,138"
NIKI - Every Summertime,761,101,2,(x14),"309,361","91,139,422"
Taylor Swift - Style,849,,12,,"342,711","91,067,125"
Pink Sweat$ - At My Worst,824,228,1,(x15),"272,897","90,694,597"
DEMI - homebdy,231,147,2,(x6),"539,820","90,518,088"
mrld - Ligaya,830,,18,,"157,842","90,268,279"
BTS - Dynamite,756,219,1,(x46),"503,551","89,135,428"
Ed Sheeran - Perfect,1656,153,1,(x10),"254,021","88,941,489"
Al James - Pa-umaga,1092,,36,,"225,671","88,712,299"
Maroon 5 - Memories,920,162,1,(x78),"462,365","88,560,725"
Al James - PSG,847,42,7,,"219,339","88,400,399"
Eraserheads - Ang Huling El Bimbo,2757,,33,,"110,390","87,638,502"
Olivia Rodrigo - deja vu,948,95,2,(x3),"342,818","86,803,109"
One Direction - Night Changes,1538,28,5,,"174,429","85,940,323"
Mitski - My Love Mine All Mine,233,112,2,(x4),"528,294","85,602,381"
Taylor Swift - Blank Space,1214,,25,,"223,521","85,480,147"
gins&melodies - Babaero,114,102,1,(x73),"1,028,348","85,264,606"
Cup of Joe - Tingin,232,105,3,(x10),"489,925","85,241,395"
Lo ki - Kagome,732,73,6,,"236,214","84,907,755"
Joji - Sanctuary,1182,,16,,"130,618","84,864,879"
TONEEJAY - 711,225,96,1,(x20),"663,385","84,854,972"
The Kid LAROI - Stay,635,138,1,(x45),"356,578","84,796,217"
