artist_title,days,t10,pk,x?,pkstreams,total
Żabson - Ziemia Na Marsie,84,1,6,,"191,406","3,219,614"
Żabson - Urlop (Outro),1,,184,,"12,863","12,863"
Żabson - Ukryty w mieście krzyk [Projekt Tymczasem],15,,79,,"14,674","167,526"
Żabson - Ucieknij ze mną,29,,68,,"24,916","518,843"
Żabson - Ucieknij ze mną,49,,21,,"46,028","1,197,041"
Żabson - ULALA,93,1,10,,"61,566","2,852,669"
Żabson - ULALA,139,36,1,(x7),"115,282","7,276,476"
Żabson - Twister,231,,15,,"53,347","5,608,535"
Żabson - Trzygłowy Joint na B24,3,,56,,"36,269","85,967"
Żabson - Trapollo,170,,39,,"25,724","2,737,078"
Żabson - Trapczan,185,,28,,"50,548","5,772,828"
Żabson - Tort,2,,52,,"36,496","59,650"
Żabson - To ziomal,3,,125,,"9,361","23,249"
Żabson - Tato,12,,59,,"61,272","521,228"
Żabson - Szrot,2,,148,,"17,888","33,178"
Żabson - Supersize,22,,31,,"76,700","982,696"
Żabson - Sukces,2,,152,,"18,033","33,108"
Żabson - Small Town Boy,356,6,10,,"63,831","8,462,984"
Żabson - Sidehoe,63,17,5,,"184,187","4,708,774"
Żabson - Sexoholik,780,37,4,,"92,280","26,229,699"
Żabson - Ryzykowny Biznes,4,,90,,"49,551","144,157"
Żabson - Relax,57,,23,,"113,177","1,769,891"
Żabson - Puerto Bounce,481,62,4,,"166,887","31,439,050"
Żabson - Przynajmniej nie kłamię,29,,13,,"122,802","2,083,615"
Żabson - Pierwszy Track,4,,51,,"37,037","113,653"
Żabson - Perfekcja,8,,16,,"131,991","433,446"
Żabson - Patrz na mnie,45,,25,,"48,566","1,062,521"
Żabson - Palo Santo,40,,21,,"50,926","1,198,471"
Żabson - OBOK,93,33,3,(x2),"101,646","5,841,185"
Żabson - OBOK,361,32,2,(x3),"112,861","13,634,732"
Żabson - Nowe dzwięki,141,,41,,"33,712","3,095,967"
Żabson - No prowo,7,,101,,"21,959","121,409"
Żabson - Nie Z Tego Świata,70,,26,,"91,706","3,090,338"
Żabson - Nie Wszystek Umrę,8,,14,,"140,389","455,182"
Żabson - Nie Mam Czasu Na Wakacje,264,57,4,,"156,079","19,362,957"
Żabson - New Year Freestyle,40,,54,,"36,315","873,400"
Żabson - Młody Boss,473,4,10,,"62,940","15,701,691"
Żabson - Mr.drip,26,,35,,"35,294","579,317"
Żabson - Marcelo burlon,3,,139,,"17,767","47,677"
Żabson - Mantra,19,,89,,"10,816","160,816"
Żabson - MMS,10,,70,,"57,735","388,545"
Żabson - Los,60,,49,,"15,549","598,589"
Żabson - Księżniczki,12,,111,,"8,975","96,825"
Żabson - Korea,3,,50,,"37,236","87,101"
Żabson - Kocham Cię,6,,84,,"51,180","215,205"
Żabson - Kaptur,5,,138,,"17,451","74,137"
Żabson - Kap Kap,16,,19,,"127,806","689,706"
Żabson - Joker,4,,61,,"34,743","100,228"
Żabson - James Bond,13,,12,,"156,161","637,764"
Żabson - Ja zarabiam Ty się bawisz,3,,181,,"7,313","21,106"
Żabson - Internaziomal,13,,64,,"26,209","244,857"
Żabson - Incepcja,123,,56,,"13,971","1,263,100"
Żabson - Icey,201,37,5,,"194,722","15,574,743"
Żabson - INTERNET.WAV,43,,101,,"12,718","418,496"
Żabson - Hot16Challenge2,1,,162,,"21,488","21,488"
Żabson - Hop,12,,40,,"60,447","537,611"
Żabson - Hop,13,,17,,"109,590","935,453"
Żabson - HOOD ANGEL,304,17,4,,"78,844","11,571,393"
Żabson - God Mode,1,,133,,"42,779","42,779"
Żabson - Floyd Mayweather,601,48,5,,"77,368","21,214,735"
Żabson - Elegancko,29,,39,,"38,405","692,067"
Żabson - Dziadyga Freestyle SKIT,4,,35,,"44,084","120,155"
Żabson - Dimaria,63,,77,,"17,022","708,946"
Żabson - DMT,409,,15,,"25,958","6,031,855"
Żabson - DADDYSHOES,91,,75,,"16,744","1,121,106"
Żabson - Collage,3,,143,,"17,778","47,211"
Żabson - Candy Sour,4,,36,,"42,133","120,460"
"Żabson - Brak snu, stres i używki",54,,27,,"42,513","1,276,128"
Żabson - Bez emocji,99,,35,,"54,287","2,798,836"
Żabson - BIBA,35,,22,,"101,469","2,131,311"
Żabson - Aromatyczne Przyprawy,165,10,3,(x3),"133,194","5,523,551"
Żabson - Afrodyzjak,5,,113,,"46,273","187,359"
Żabson - A$ap Rocky,1,,186,,"7,085","7,085"
Żabson - #FreeBritney,5,,28,,"103,418","262,671"
Łąki Łan - Pola Ar,15,,130,,"9,820","120,310"
Łąki Łan - Jammin,7,,161,,"7,830","51,025"
"Łona I Webber - Zrozumiem, Człowieku",7,,117,,"3,487","19,112"
Łona I Webber - Znowu Nic,10,,84,,"4,318","30,922"
Łona I Webber - Woodstock '89,11,,80,,"4,451","36,315"
Łona I Webber - What I Owe,7,,112,,"3,621","19,671"
"Łona I Webber - Stop, Nadiu",1,,164,,"17,790","17,790"
Łona I Webber - Sprawy Wewnętrzne,5,,129,,"3,248","13,275"
Łona I Webber - No Akomodejszon,1,,168,,"17,666","17,666"
Łona I Webber - Nikifor Szczeciński,1,,163,,"17,881","17,881"
Łona I Webber - Nie Pogadasz,13,,69,,"4,806","42,985"
Łona I Webber - Nie Mam Pojęcia,11,,82,,"4,327","35,065"
Łona I Webber - Nawiasem Mówiąc,3,,150,,"2,818","7,590"
Łona I Webber - Hałas!,9,,90,,"4,068","26,231"
Łona I Webber - Gdzie Tak Pięknie?,15,,68,,"4,838","48,261"
Łona I Webber - Fśśt,4,,146,,"2,951","10,002"
Łona I Webber - Echo,1,,193,,"16,161","16,161"
Łona I Webber - Doklej Plakat,4,,133,,"3,134","10,593"
"Łona I Webber - Co Tam, Mordo?",2,,138,,"20,412","36,152"
Łona I Webber - Co Tak Wyje?,10,,93,,"3,973","29,287"
Łona I Webber - Błąd,41,,52,,"6,202","151,161"
Łobuzy - Zbuntowany anioł,45,,118,,"16,436","572,862"
Łobuzy - Ona czuje we mnie piniądz,2,,164,,"3,321","5,417"
ĆPAJ STAJL - NIE BIERZ TEGO DO SIEBIE,1,,76,,"58,214","58,214"
Öwnboss - Move Your Body,134,,50,,"62,488","6,071,927"
¥$ - Vultures,4,1,8,,"113,271","257,962"
