artist_title,days,t10,pk,x?,pkstreams,total
Wet Bed Gang - Devia Ir,2119,201,1,(x83),"43,000","26,840,803"
The Weeknd - Blinding Lights,1588,290,1,(x32),"54,760","24,310,219"
Ivandro - Lua,814,333,2,(x4),"41,153","21,591,273"
Calema - Te Amo,1508,24,5,,"27,339","21,033,713"
Bárbara Bandeira - Como Tu,611,294,1,(x49),"54,097","20,019,476"
Harry Styles - As It Was,772,245,1,(x13),"87,801","19,907,327"
Bispo - Essa Saia,1630,128,1,(x16),"51,872","18,610,687"
Harry Styles - Watermelon Sugar,1497,142,1,(x8),"31,845","18,486,043"
Lewis Capaldi - Someone You Loved,1809,15,7,,"23,313","17,842,123"
PEDRO SAMPAIO - DANÇARINA,605,219,1,(x122),"94,642","16,907,723"
Gama WNTD - Borboletas,1228,119,3,(x7),"28,844","16,887,051"
DENNIS - Tá OK,353,186,1,(x103),"112,864","16,686,306"
Luan Santana - MORENA,812,216,2,(x18),"46,579","16,683,937"
Domingues - Fica,1302,164,3,(x4),"29,487","16,508,970"
Billie Eilish - lovely,2114,,12,,"15,815","16,322,050"
AgroPlay - Nosso Quadro,452,208,1,(x2),"60,673","15,939,270"
Arctic Monkeys - Do I Wanna Know?,2832,,15,,"20,014","15,466,614"
Manuel Turizo - La Bachata,652,101,6,,"41,166","15,188,856"
Tom Odell - Another Love,1083,21,7,,"30,934","15,141,116"
Ivandro - Chakras,380,177,1,(x30),"82,262","15,052,498"
Veigh - Novo Balanço,359,229,2,(x41),"80,732","14,990,357"
FRANKIEONTHEGUITAR - Tempo,1302,133,3,(x8),"31,840","14,856,419"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",618,123,1,(x26),"60,801","14,356,166"
Plutonio - Somos Iguais,1182,109,4,,"32,438","14,136,444"
Glass Animals - Heat Waves,906,195,4,,"33,160","13,968,335"
Wet Bed Gang - Bairro,1078,190,1,(x64),"47,988","13,781,149"
Slow J - Teu Eternamente,1391,25,2,(x1),"33,865","13,686,392"
WIU - Coração de Gelo,517,153,1,(x4),"51,209","13,498,108"
The Neighbourhood - Sweater Weather,1288,,25,,"17,604","13,240,867"
