artist_title,days,t10,pk,x?,pkstreams,total
Tzanca Uraganu - Havana,659,410,1,(x49),"34,525","10,980,958"
RAVA - BULIBA$HA,870,167,3,(x1),"20,815","9,541,865"
Tzanca Uraganu - Banii,1018,240,2,(x12),"18,051","9,409,324"
Ian - Timeout,841,189,1,(x4),"27,189","8,780,013"
RAVA - IN LIPSA TA,754,200,1,(x36),"45,475","8,581,480"
rares - La tine și la bani,518,233,1,(x73),"36,175","8,568,672"
The Neighbourhood - Sweater Weather,1397,21,7,,"10,176","8,503,360"
Tzanca Uraganu - Trotinete,536,232,1,(x17),"32,825","7,703,769"
Ian - Urgențe,754,102,2,(x2),"17,263","7,584,674"
The Weeknd - Blinding Lights,1257,355,1,(x1),"18,702","7,232,335"
Ian - Lumea asta,698,163,1,(x5),"20,358","7,076,825"
RAVA - Giulesti Crangasi,1068,,12,,"10,313","6,843,725"
Iuly Neamtu - Lalele mentolate,503,198,2,(x27),"27,791","6,802,028"
Ian - 60 De Zile II,1430,,16,,"10,608","6,689,145"
RAVA - Regina Nopții,626,82,1,(x23),"42,248","6,681,073"
Ian - La san,729,21,3,(x1),"16,647","6,640,720"
Killa Fonic - Niciun Glonț Nu Doare Cât Dragostea,965,69,2,(x2),"11,132","6,587,252"
Iuly Neamtu - Cum O Dai Tu,924,17,7,,"20,392","6,445,804"
YNY Sebi - Tarabanele,704,99,1,(x38),"42,186","6,426,517"
Tzanca Uraganu - Buzele Cu Rosu Inchis,1048,3,10,,"13,315","6,379,044"
Iuly Neamtu - Test Drive,572,116,2,(x1),"22,492","6,376,124"
Bogdan DLP - Ebal,523,23,7,,"19,737","6,248,258"
Jador - Skinny,470,172,1,(x1),"26,945","6,164,518"
Tzanca Uraganu - Ciocolata,274,210,1,(x14),"30,944","6,001,483"
Alex Botea - Papusa Barbie,715,,12,,"20,133","6,000,905"
RAVA - CUM SE MIȘCĂ,712,98,1,(x6),"26,570","5,942,846"
Tzanca Uraganu - Emirate,411,126,1,(x22),"30,520","5,891,696"
The Weeknd - Starboy,998,,22,,"11,719","5,890,618"
Arctic Monkeys - I Wanna Be Yours,999,,30,,"9,745","5,847,829"
RAVA - $P$ - Studio Session #02,767,10,7,,"13,350","5,817,022"
Oscar - Toxic,637,19,1,(x5),"41,544","5,767,207"
Iuly Neamtu - Pe un pat,360,110,4,,"28,743","5,755,630"
M.G.L. - CONTACT FATAL 2,607,26,3,(x5),"14,285","5,439,106"
Ian - Piramida,759,,14,,"11,677","5,382,351"
Iuly Neamtu - Kawasaki,827,,19,,"11,773","5,376,447"
Travis Scott - goosebumps,1524,27,5,,"16,674","5,373,769"
Iuly Neamtu - Fata cu paharul,603,,15,,"15,916","5,364,504"
Harry Styles - As It Was,592,130,1,(x10),"31,374","5,295,948"
Arctic Monkeys - Why'd You Only Call Me When You're High?,1179,,24,,"7,016","5,279,325"
Ian - Mili,1179,50,3,(x16),"12,033","5,252,196"
Glass Animals - Heat Waves,759,227,2,(x1),"12,609","5,211,292"
NANE - ÎN RAI,814,66,4,,"10,394","5,208,940"
Tzanca Uraganu - Te-am vazut fara inel,633,1,7,,"17,132","5,071,429"
Costel Biju - Gipsy Style,386,64,5,,"23,299","5,067,217"
AlbertNbn - Terorist,464,54,7,,"18,439","5,045,186"
Ian - Gestu,430,165,1,(x3),"23,997","5,043,062"
Killa Fonic - Brasileira,520,77,3,(x1),"18,891","4,990,098"
Bogdan De La Ploiesti - Obsesia,918,,22,,"12,501","4,892,786"
Aerozen - BUGATTI,539,3,4,,"20,950","4,877,681"
Travis Scott - HIGHEST IN THE ROOM,813,207,1,(x15),"28,643","4,801,529"
RAVA - SHOTGUN,471,31,2,(x3),"32,055","4,800,023"
M.G.L. - MARATON,429,9,8,,"16,502","4,779,553"
IDK - Cleopatra,282,108,1,(x43),"36,580","4,731,657"
Stefan Costea - Seara De Seara,437,2,9,,"14,789","4,721,452"
Metro Boomin - Creepin',451,79,1,(x14),"46,611","4,693,871"
The Weeknd - Die For You,807,,27,,"10,555","4,690,254"
Oscar - Ok Okey,1125,,45,,"8,546","4,663,454"
Alex Botea - Romeo si Julieta,198,145,1,(x25),"36,751","4,623,123"
"Alex Velea - Tati, vreau",414,,12,,"16,673","4,600,698"
Travis Scott - FE!N,289,75,1,(x7),"62,555","4,545,938"
RAVA - Dungă,631,20,1,(x5),"27,612","4,540,060"
Oscar - Antetokounmpo,483,70,1,(x11),"37,170","4,503,544"
Metro Boomin - Too Many Nights,527,3,7,,"15,140","4,426,362"
David Guetta - I'm Good (Blue),554,1,6,,"18,440","4,396,027"
Azteca - Nefiu,766,,24,,"8,689","4,395,354"
Ian - 60 De Zile,1061,1,10,,"6,307","4,373,774"
"Beach, Please! - DĂ-I ȚIGANCA",603,75,2,(x1),"15,939","4,362,480"
Lil Nas X - MONTERO (Call Me By Your Name),464,196,1,(x55),"38,934","4,315,373"
Travis Scott - SICKO MODE,1143,190,2,(x9),"11,801","4,301,596"
Marko Glass - TIpa Noua,806,,11,,"9,073","4,277,069"
Luis Gabriel - Toate Diamantele,992,,27,,"11,406","4,193,292"
Tzanca Uraganu - HOT,211,117,2,(x14),"29,085","4,154,314"
RAVA - GEME,263,99,1,(x2),"25,709","4,149,100"
Vescan - Colegi de apartament,402,21,7,,"17,366","4,034,065"
SAINt JHN - Roses - Imanbek Remix,656,232,1,(x34),"13,604","4,023,364"
Tom Odell - Another Love,832,11,3,(x4),"12,207","4,004,136"
IDK - Promite-mi,529,4,7,,"12,693","3,969,918"
"Denis Nuca - Wella, Wella",641,5,8,,"12,937","3,958,375"
