artist_title,days,t10,pk,x?,pkstreams,total
kizaru - Dezhavyu,632,195,1,(x5),"54,559","23,641,852"
Big Baby Tape - 99 Problems,169,130,1,(x42),"418,456","19,180,082"
Skryptonite - Положение,632,32,6,,"47,808","18,590,640"
Skryptonite - Москва любит...,629,97,6,,"45,422","17,979,355"
The Weeknd - Blinding Lights,632,80,1,(x1),"59,169","17,638,262"
fem.love - Фотографирую закат,367,84,3,(x13),"111,439","17,030,288"
Big Baby Tape - Million,169,88,2,(x37),"330,740","16,731,726"
shadowraze - astral step,161,116,1,(x42),"200,295","16,696,311"
Big Baby Tape - Bandana,169,92,1,(x8),"465,488","16,674,985"
Korol i Shut - Кукла колдуна,632,33,6,,"43,347","16,473,586"
Miyagi & Andy Panda - Minor,630,25,4,,"48,660","16,332,354"
Miyagi & Andy Panda - Патрон,371,47,2,(x1),"95,414","15,742,836"
SLAVA MARLOW - Снова я напиваюсь,358,139,1,(x55),"192,614","15,658,666"
Mnogoznaal - Колхозник,623,8,9,,"36,871","15,168,681"
DVRST - Close Eyes,301,19,7,,"70,526","14,577,046"
10AGE - Нету интереса,388,56,1,(x8),"104,226","14,326,727"
INSTASAMKA - LIPSI HA,211,50,1,(x20),"313,204","13,746,530"
The Kid LAROI - Stay,273,68,1,(x24),"113,373","13,744,876"
Skryptonite - Чистый - OST «Псих»,449,89,1,(x1),"76,698","13,724,070"
Måneskin - I WANNA BE YOUR SLAVE,293,99,2,(x9),"134,392","13,670,670"
Miyagi & Andy Panda - Brooklyn,632,,25,,"42,717","13,539,551"
pyrokinesis - Днями-ночами,631,,19,,"57,285","13,415,307"
DEAD BLONDE - Мальчик на девятке,334,81,1,(x1),"84,404","13,100,641"
WENARO - Лёд,224,89,3,(x12),"101,163","12,997,793"
Skryptonite - Цепи,631,,37,,"37,482","12,759,896"
Skryptonite - Baby mama,257,65,1,(x6),"99,339","12,735,989"
Lil Nas X - INDUSTRY BABY,259,75,1,(x7),"104,727","12,649,464"
Pornofilmy - Я так соскучился,588,,31,,"38,298","12,491,049"
Дора - втюрилась,555,10,7,,"42,333","12,474,541"
