artist_title,days,t10,pk,x?,pkstreams,total
Tom Odell - Another Love,1133,688,1,(x6),"17,665","10,372,493"
Adele - Set Fire to the Rain,832,365,1,(x60),"23,088","7,382,065"
Billie Eilish - lovely,1769,42,7,,"10,172","7,269,437"
The Weeknd - Blinding Lights,1622,65,2,(x1),"11,145","7,083,221"
The Neighbourhood - Sweater Weather,1292,48,5,,"11,420","7,000,955"
Harry Styles - As It Was,770,237,1,(x81),"26,899","6,437,170"
Tones And I - Dance Monkey,795,280,1,(x150),"30,877","5,840,476"
The Weeknd - Save Your Tears,1242,95,5,,"9,610","5,833,484"
Jung Kook - Seven,303,273,1,(x92),"89,345","5,777,802"
Aseel Hameem - Al Mafrood,891,286,1,(x108),"31,837","5,719,914"
DJ-MK - وناسه,583,209,1,(x90),"42,345","5,557,825"
The Kid LAROI - Stay,755,239,1,(x40),"28,495","5,550,401"
Masked Wolf - Astronaut In The Ocean,642,214,1,(x109),"31,371","5,500,554"
Cigarettes After Sex - Apocalypse,904,6,9,,"9,573","5,406,890"
Saif Amer - Warqa,927,283,1,(x1),"21,444","5,353,389"
Arctic Monkeys - I Wanna Be Yours,709,143,1,(x1),"12,931","5,264,876"
Alec Benjamin - Let Me Down Slowly,1597,,14,,"6,424","5,223,173"
The Weeknd - Starboy,979,30,6,,"10,250","4,922,087"
Glass Animals - Heat Waves,851,216,1,(x3),"17,357","4,902,383"
Lil Nas X - INDUSTRY BABY,528,272,1,(x51),"29,328","4,797,925"
Elley Duhé - MIDDLE OF THE NIGHT,844,211,1,(x2),"17,656","4,771,292"
Adele - Rolling in the Deep,897,81,1,(x3),"19,646","4,630,107"
Jimin - Like Crazy,414,246,1,(x79),"25,504","4,583,475"
INTERWORLD - METAMORPHOSIS,614,218,2,(x3),"16,153","4,478,977"
Roddy Ricch - The Box,838,142,3,(x23),"14,492","4,469,013"
SZA - Kill Bill,520,189,1,(x59),"20,943","4,309,464"
Imagine Dragons - Believer,1186,34,5,,"8,588","4,297,169"
Billie Eilish - everything i wanted,1186,43,2,(x4),"8,760","4,028,088"
Trevor Daniel - Falling,761,132,2,(x3),"12,084","3,958,401"
Lil Nas X - MONTERO (Call Me By Your Name),504,177,1,(x4),"25,631","3,929,459"
Rema - Calm Down,507,123,1,(x52),"46,747","3,888,719"
Lana Del Rey - Summertime Sadness,662,45,7,,"9,491","3,876,182"
The Neighbourhood - Softcore,858,42,7,,"9,549","3,867,661"
Faisal Abdulkareem - عشق,601,199,1,(x61),"21,067","3,857,472"
Ruth B. - Dandelions,949,3,9,,"8,136","3,832,763"
Travis Scott - HIGHEST IN THE ROOM,896,59,1,(x5),"24,203","3,823,667"
Abdullah Al Farwan - ليه الجفا,397,185,1,(x8),"23,819","3,774,493"
DVRST - Close Eyes,733,70,5,,"12,130","3,743,017"
Mr.Kitty - After Dark,725,104,4,,"11,397","3,738,974"
Arctic Monkeys - 505,877,,18,,"7,115","3,684,140"
Doja Cat - Kiss Me More,539,97,1,(x9),"28,663","3,668,018"
The Weeknd - Die For You,905,,18,,"7,459","3,666,565"
Eminem - Mockingbird,578,140,1,(x2),"17,845","3,664,711"
Dua Lipa - Levitating,739,57,7,,"16,814","3,619,112"
Abdullah Al Mukhles - اشكر جمالك,475,128,1,(x42),"27,933","3,604,377"
Ahmed Al Maslawi - Maktoob Ma Artah,754,146,4,,"15,520","3,600,861"
Halsey - Without Me,1148,,12,,"6,928","3,587,296"
Abdullah Al Farwan - أجمل غرامي,430,181,1,(x23),"17,815","3,577,631"
Rahma Riad - Waed Menni,849,213,2,(x2),"10,310","3,543,818"
Cigarettes After Sex - Cry,689,,15,,"8,149","3,483,252"
One Direction - Night Changes,1044,,23,,"6,580","3,478,918"
d4vd - Romantic Homicide,625,26,7,,"10,582","3,476,493"
Kordhell - Murder In My Mind,636,39,4,,"12,053","3,400,408"
Chris Brown - Under The Influence,564,123,2,(x26),"17,490","3,367,662"
Powfu - death bed,757,1,9,,"8,285","3,347,877"
Måneskin - Beggin',433,106,1,(x33),"46,291","3,331,849"
V - Love Me Again,275,217,1,(x9),"36,560","3,328,998"
Amy Macdonald - This Is The Life,250,128,1,(x40),"45,141","3,305,960"
League of Legends - Legends Never Die,996,,13,,"7,223","3,298,113"
Conan Gray - Heather,1050,5,1,(x2),"19,511","3,276,791"
Passenger - Let Her Go,828,,11,,"8,998","3,245,558"
Eminem - Without Me,906,,15,,"8,259","3,203,676"
بدر العزي - الدنيا دوارة,495,121,3,(x5),"18,803","3,203,219"
OneRepublic - Counting Stars,955,,21,,"7,433","3,179,010"
XXXTENTACION - Moonlight,972,1,10,,"6,407","3,168,250"
Øneheart - snowfall,615,22,5,,"10,906","3,155,615"
Mohammed Saeed - Alo Aleky,445,165,1,(x3),"18,872","3,155,415"
Yasser Abd Alwahab - Kalby Jobarny - Live,413,109,1,(x5),"34,314","3,148,867"
Abdullah Al Mukhles - عشرة الكذاب,532,102,3,(x1),"12,351","3,076,245"
XXXTENTACION - SAD!,911,,19,,"5,607","3,063,899"
Travis Scott - goosebumps,619,122,3,(x4),"15,072","3,024,104"
Aseel Hameem - Yeshbahak Galbi,435,136,1,(x22),"19,819","3,018,428"
