artist_title,days,t10,pk,x?,pkstreams,total
James Arthur - Say You Won't Let Go,2788,155,1,(x2),"44,694","37,259,993"
Lewis Capaldi - Someone You Loved,1941,376,4,,"45,961","34,712,538"
"Eric Chou - 你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",2824,,20,,"21,747","34,261,606"
Ed Sheeran - Perfect,2626,145,1,(x5),"60,670","33,091,482"
The Chainsmokers - Something Just Like This,2629,186,1,(x28),"85,190","32,302,956"
Ed Sheeran - Photograph,3409,155,1,(x36),"20,924","32,038,802"
Ed Sheeran - Shape of You,2013,231,1,(x86),"93,093","30,215,791"
Jay Chou - 告白氣球,2861,,22,,"21,921","30,058,647"
Eric Chou - 怎麼了,1947,96,4,,"44,653","29,030,723"
The Chainsmokers - Closer,2326,213,1,(x149),"85,771","27,915,678"
Shawn Mendes - Señorita,1414,218,1,(x103),"144,681","27,131,729"
The Kid LAROI - Stay,1038,347,1,(x111),"108,297","26,834,902"
Maroon 5 - Memories,1629,222,1,(x68),"69,515","26,703,341"
Lauv - I Like Me Better,2433,,14,,"28,082","26,062,385"
Anne-Marie - 2002,2118,81,3,(x2),"35,581","24,957,897"
Justin Bieber - Ghost,981,308,1,(x103),"52,860","24,212,771"
Hebe Tien - 小幸運,2706,,34,,"14,862","23,057,967"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1795,156,1,(x8),"46,412","22,882,097"
JJ Lin - 那些你很冒險的夢,2334,,15,,"25,195","22,811,598"
Eric Chou - 如果雨之後,2138,,18,,"20,674","22,788,308"
Sam Smith - Too Good At Goodbyes,2197,73,1,(x10),"65,499","22,407,370"
Jay Chou - 晴天,2939,,29,,"16,564","21,476,807"
Post Malone - Circles,1597,168,2,(x29),"57,500","21,281,455"
Ren Ran - 飞鸟和蝉,1364,94,5,,"28,395","21,241,746"
Lewis Capaldi - Before You Go,1600,82,4,,"31,258","21,166,864"
Jung Kook - Seven,303,279,1,(x177),"163,845","20,922,340"
The Weeknd - Blinding Lights,1556,176,1,(x3),"45,793","20,256,666"
Eric Chou - 以後別做朋友,2434,,36,,"17,300","20,206,283"
Taylor Swift - Cruel Summer,645,299,1,(x35),"142,064","19,596,269"
Harry Styles - As It Was,772,195,1,(x64),"69,952","19,063,864"
JJ Lin - 可惜沒如果,2595,,21,,"19,814","18,978,831"
Charlie Puth - We Don't Talk Anymore,1915,108,3,(x2),"44,743","18,835,971"
Dean Lewis - Be Alright,1655,83,1,(x17),"44,599","18,547,298"
Ruth B. - Dandelions,1154,85,5,,"26,727","18,258,573"
JJ Lin - 不為誰而作的歌,2064,,11,,"23,562","18,075,953"
Conan Gray - Heather,1415,107,2,(x7),"40,475","17,973,745"
BTS - Boy With Luv,1168,108,1,(x27),"113,355","17,660,736"
Glass Animals - Heat Waves,1073,283,2,(x22),"35,348","17,242,784"
Olivia Rodrigo - drivers license,1001,166,1,(x49),"98,390","17,153,340"
Joker Xue - 演員,2218,,51,,"12,656","17,073,705"
Billie Eilish - lovely,2007,,12,,"24,013","16,910,030"
Bruno Mars - Just the Way You Are,2321,3,9,,"47,926","16,902,213"
Shawn Mendes - Treat You Better,1715,134,3,(x12),"38,226","16,766,542"
Dhruv - double take,1070,81,2,(x13),"44,595","16,677,619"
Camila Cabello - Havana,925,189,1,(x36),"57,535","16,394,401"
"WeiBird - 如果可以 - 電影""月老""主題曲",894,111,2,(x2),"36,312","16,263,580"
Alan Walker - Faded,1553,178,1,(x29),"31,251","16,083,737"
Zac Efron - Rewrite The Stars,1438,108,1,(x38),"70,271","16,063,094"
Pink Sweat$ - At My Worst,978,152,1,(x1),"49,343","15,997,795"
Coldplay - Yellow,2157,36,1,(x11),"85,617","15,841,722"
BTS - Dynamite,915,173,1,(x38),"96,346","15,780,076"
JJ Lin - 她說,2242,,27,,"18,226","15,749,844"
Halsey - Without Me,1228,154,2,(x2),"42,545","15,423,888"
Tones And I - Dance Monkey,796,207,1,(x56),"60,893","15,405,543"
