artist_title,days,t10,pk,x?,pkstreams,total
Calin - Hannah Montana,793,348,1,(x132),"18,610","7,129,722"
Calin - Safír,464,317,1,(x49),"57,500","7,081,232"
The Weeknd - Blinding Lights,1566,277,1,(x20),"16,679","6,798,437"
Separ - Sunset,408,357,1,(x109),"60,806","6,340,100"
Nerieš - Viac,1520,161,1,(x15),"28,044","6,226,319"
Viktor Sheen - Až na měsíc,1797,7,3,(x3),"6,358","6,115,165"
Glass Animals - Heat Waves,1102,304,1,(x49),"14,386","5,926,497"
Tom Odell - Another Love,1186,72,5,,"9,351","5,853,835"
Calin - Praha/Vídeň,945,198,2,(x2),"10,033","5,604,995"
Lost Frequencies - Where Are You Now,964,239,2,(x4),"15,995","5,417,819"
Peter Pann - Stroj,1035,95,1,(x24),"21,375","5,318,845"
DMS - Lepšia Pesnička,1811,34,1,(x5),"6,591","5,218,460"
Nerieš - Ruka Na Volante,1465,56,2,(x9),"18,910","4,899,810"
The Neighbourhood - Sweater Weather,1319,,14,,"6,452","4,879,858"
David Guetta - I'm Good (Blue),624,155,1,(x15),"18,937","4,849,701"
Harry Styles - As It Was,732,159,1,(x24),"25,611","4,619,738"
STEIN27 - Habibi,541,190,2,(x4),"16,188","4,367,160"
The Kid LAROI - Stay,663,199,1,(x28),"20,209","4,091,284"
Imagine Dragons - Bones,790,85,3,(x1),"11,317","4,081,206"
Imagine Dragons - Believer,2057,101,3,(x2),"10,246","4,064,593"
Saul - Niekde V Oblakoch,1316,51,1,(x5),"11,314","3,990,065"
Viktor Sheen - Stíny,885,17,2,(x3),"11,845","3,975,055"
Miley Cyrus - Flowers,483,109,1,(x20),"41,684","3,944,940"
OneRepublic - I Ain't Worried,707,73,4,,"9,953","3,887,486"
Nerieš - 10 Minút,1715,,54,,"4,176","3,866,775"
Gleb - alibababigbass,1109,39,1,(x8),"13,300","3,798,234"
Gleb - Šedá Hus,360,185,1,(x21),"30,159","3,777,664"
Separ - Nemam mood,408,181,3,(x22),"45,020","3,758,439"
Separ - OG,1151,46,1,(x5),"13,818","3,706,618"
Gleb - Hey G!,911,48,1,(x2),"20,487","3,697,497"
