artist_title,days,t10,pk,x?,pkstreams,total
Kabza De Small - Imithandazo,198,190,1,(x78),"378,645","18,270,094"
Tyler ICU - Mnike,378,183,1,(x100),"153,501","17,600,428"
Dlala Thukzin - IPlan,240,149,1,(x59),"314,450","14,894,883"
Mellow & Sleazy - Imnandi lento,268,133,1,(x39),"159,073","13,024,852"
DJ Stokie - Awukhuzeki,329,128,1,(x23),"112,431","12,989,983"
Lewis Capaldi - Someone You Loved,1772,104,5,,"17,550","12,949,366"
Miguel - Sure Thing,1232,1,10,,"29,682","12,491,901"
Soa Mattrix - Mina Nawe,549,202,1,(x15),"70,162","12,073,230"
The Weeknd - Blinding Lights,1500,391,1,(x16),"19,014","11,981,152"
Mthandeni SK - Paris,275,152,3,(x6),"208,501","11,893,910"
Bassie - Izenzo,261,148,4,,"162,397","11,159,242"
Fantasia - When I See U,1423,,17,,"27,347","10,999,539"
Chris Brown - Under The Influence,784,127,2,(x30),"33,684","10,984,388"
Billie Eilish - lovely,1752,,36,,"17,301","10,748,946"
Wanitwa Mos - Keneilwe,177,117,1,(x1),"319,931","10,729,599"
DJ Stokie - Masithokoze,205,146,2,(x5),"213,458","10,680,269"
Glass Animals - Heat Waves,1064,187,3,(x2),"20,684","10,661,612"
K.O - SETE,461,155,1,(x91),"80,690","10,618,348"
J. Cole - No Role Modelz,1290,,28,,"20,913","10,607,935"
Future - WAIT FOR U,712,147,1,(x10),"31,770","10,401,359"
SZA - Snooze,517,6,9,,"36,386","9,944,185"
Burna Boy - Last Last,632,148,1,(x41),"35,264","9,931,601"
Lady Amar - Hamba Juba,355,131,1,(x17),"88,736","9,690,952"
Mas Musiq - Sengizwile,617,128,2,(x2),"51,779","9,383,394"
Mario - Let Me Love You,1612,,25,,"28,616","9,307,660"
De Mthuda - Sgudi Snyc,320,104,2,(x26),"91,304","9,199,117"
Sam Deep - Isgubhu,254,81,4,,"129,989","9,170,461"
Kelvin Momo - Sukakude,518,42,5,,"45,024","9,091,757"
Rema - Calm Down,562,37,5,,"33,835","9,000,379"
Mas Musiq - Gangnam Style,322,123,2,(x18),"79,175","8,893,335"
Sam Deep - iMpumelelo,399,84,6,,"55,450","8,860,390"
Harry Styles - As It Was,706,143,1,(x18),"31,816","8,827,628"
Shakes & Les - Funk 55,163,111,2,(x34),"200,666","8,759,417"
Kabza De Small - Abalele,744,143,1,(x28),"64,835","8,624,168"
Inkabi Zezwe - Umbayimbayi,397,85,1,(x21),"92,709","8,577,637"
Aymos - Fatela,426,130,3,(x7),"52,143","8,348,080"
2Point1 - Stimela,348,158,1,(x13),"68,215","8,346,559"
Tyla - Water,255,44,3,(x1),"70,282","8,345,559"
Kamo Mphela - Dalie,213,83,2,(x9),"156,154","8,243,074"
Harry Cane - Dubula,191,86,2,(x3),"208,219","8,242,475"
Ayra Starr - Rush,528,53,6,,"31,342","8,201,608"
Lwah Ndlunkulu - Ngiyeza,478,23,7,,"36,150","8,138,874"
Libianca - People,442,112,1,(x1),"37,315","7,832,250"
Dave - Sprinter,340,97,2,(x4),"54,654","7,811,442"
The Kid LAROI - Stay,655,200,1,(x34),"30,744","7,712,043"
Mariah Carey - We Belong Together,822,,24,,"22,673","7,695,040"
Bryson Tiller - Don't,873,,43,,"22,945","7,451,059"
Adele - Easy On Me,722,122,1,(x18),"134,105","7,359,038"
James Arthur - Say You Won't Let Go,1616,,69,,"16,030","7,319,471"
Ed Sheeran - Bad Habits,660,145,1,(x24),"25,872","7,317,077"
Lwah Ndlunkulu - Ithuba,631,,27,,"23,150","7,235,612"
TitoM - Tshwala Bam,79,79,1,(x54),"173,179","7,160,796"
David Guetta - I'm Good (Blue),577,32,7,,"37,727","7,145,333"
Gunna - fukumean,329,73,3,(x2),"43,993","7,098,270"
Kabza De Small - Nana Thula,311,62,5,,"50,434","7,053,334"
SZA - Kill Bill,478,62,2,(x2),"36,011","7,012,465"
Bryson Tiller - Exchange,790,,25,,"27,343","6,975,675"
Miley Cyrus - Flowers,429,62,1,(x25),"61,431","6,965,922"
Lost Frequencies - Where Are You Now,758,12,8,,"16,417","6,843,297"
Ed Sheeran - Shivers,719,19,8,,"19,662","6,818,290"
OneRepublic - I Ain't Worried,633,11,8,,"19,346","6,736,066"
Kabza De Small - Asibe Happy,594,127,1,(x8),"59,756","6,495,063"
Giveon - Heartbreak Anniversary,963,56,1,(x1),"14,543","6,436,258"
Lwah Ndlunkulu - Eyami,282,,12,,"51,475","6,427,329"
Kelvin Momo - Amalobolo,156,87,5,,"78,081","6,340,064"
Summer Walker - Girls Need Love,1281,,45,,"11,953","6,316,358"
Drake - Chicago Freestyle,1078,24,4,,"16,979","6,270,992"
Metro Boomin - Creepin',426,40,1,(x4),"38,843","6,269,907"
Drake - Jimmy Cooks,585,52,1,(x6),"52,204","6,245,264"
Uncle Waffles - Peacock Revisit,222,57,3,(x11),"82,816","6,220,260"
Spirit Of Praise - Thath'Indawo (Live),435,,11,,"23,239","6,161,138"
The Weeknd - Die For You,657,,26,,"14,530","6,075,922"
Miguel - Adorn,658,,32,,"24,450","6,040,861"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1299,28,7,,"11,229","5,970,602"
Shaunmusiq - Bhebha,302,65,3,(x4),"49,989","5,935,197"
Justin Bieber - Ghost,774,,15,,"11,445","5,883,731"
Ruth B. - Dandelions,790,,44,,"15,250","5,836,299"
Post Malone - Circles,1106,228,1,(x8),"12,396","5,808,778"
Drake - One Dance,820,,75,,"15,075","5,804,540"
H.E.R. - Best Part,1233,,73,,"16,342","5,768,812"
Drake - Rich Flex,368,54,1,(x16),"103,681","5,765,315"
Tones And I - Dance Monkey,938,245,1,(x105),"21,759","5,763,519"
Harry Styles - Watermelon Sugar,1125,1,8,,"11,561","5,748,335"
Elton John - Cold Heart - PNAU Remix,611,50,6,,"30,739","5,628,350"
Lil Durk - All My Life,277,57,2,(x13),"67,920","5,615,151"
AKA - Lemons (Lemonade),380,56,1,(x1),"102,273","5,557,229"
Kabza De Small - Khusela,508,51,3,(x1),"27,356","5,519,526"
