artist_title,days,t10,pk,x?,pkstreams,total
Jimin - Like Crazy,414,414,1,(x217),"143,652","32,864,615"
Jung Kook - Seven,303,303,1,(x114),"213,083","27,488,852"
Jimin - Like Crazy (English Version),413,413,1,(x1),"101,232","22,478,119"
Jimin - Set Me Free Pt.2,422,417,1,(x1),"79,551","18,552,988"
NewJeans - Hype Boy,650,256,1,(x26),"53,074","13,376,534"
Kodak Black - Angel Pt. 1,360,101,1,(x34),"156,402","12,407,580"
NewJeans - Ditto,510,140,1,(x25),"179,043","12,189,138"
Jung Kook - 3D,226,225,2,(x31),"115,429","11,517,230"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),688,263,1,(x23),"49,493","10,924,007"
NewJeans - OMG,496,136,1,(x69),"124,189","10,824,790"
NewJeans - Attention,650,228,1,(x18),"62,164","10,519,758"
Lim Young Woong - London Boy,543,88,5,,"67,850","10,159,335"
Lim Young Woong - If We Ever Meet Again,741,70,3,(x3),"38,499","10,009,973"
Lim Young Woong - Polaroid,543,22,10,,"44,825","8,986,419"
Jung Kook - Standing Next to You,190,190,3,(x2),"82,938","8,256,256"
Lim Young Woong - Grain of Sand,342,107,7,,"55,466","8,253,275"
IVE - LOVE DIVE,724,195,1,(x54),"39,474","8,083,695"
The Kid LAROI - Stay,1038,273,1,(x44),"22,722","8,079,620"
NewJeans - Super Shy,310,90,1,(x2),"117,350","7,980,750"
Lim Young Woong - Rainbow,726,6,7,,"30,065","7,908,444"
Jimin - Alone,415,45,5,,"40,400","7,867,048"
Jimin - Face-off,415,51,5,,"43,878","7,757,469"
BTS - Butter,927,193,1,(x49),"69,078","7,568,992"
"Lim Young Woong - Our Blues, Our Life",740,4,10,,"28,481","7,511,896"
IVE - After LIKE,550,139,1,(x22),"72,383","7,446,109"
LE SSERAFIM - ANTIFRAGILE,569,137,1,(x24),"54,077","7,247,729"
V - Love Me Again,275,84,3,(x16),"44,340","6,816,722"
Lim Young Woong - A bientot,724,,17,,"27,311","6,806,686"
Jimin - Closer Than This,142,142,2,(x6),"90,142","6,782,803"
BTS - Dynamite,1145,181,1,(x33),"30,389","6,765,444"
IVE - I AM,398,79,1,(x21),"73,556","6,584,807"
Lim Young Woong - Love Always Run Away,912,,21,,"21,985","6,571,748"
Jimin - Interlude : Dive,415,34,7,,"34,560","6,516,126"
Lim Young Woong - Do or Die,216,121,6,,"58,745","6,441,117"
Jung Kook - Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],419,101,1,(x5),"39,611","6,265,334"
Lim Young Woong - I Love You,730,,11,,"23,129","6,163,347"
Harry Styles - As It Was,767,84,2,(x2),"17,718","5,961,868"
NewJeans - ETA,296,61,2,(x1),"109,480","5,919,995"
NewJeans - Cookie,590,64,3,(x15),"34,043","5,764,067"
Lim Young Woong - Lovely Touch,715,,25,,"22,215","5,672,531"
Lim Young Woong - A Psalm of Life,698,,25,,"22,229","5,409,025"
Lim Young Woong - Father,692,,22,,"20,868","5,386,105"
NewJeans - New Jeans,310,56,3,(x1),"93,106","5,379,823"
OneRepublic - I Ain't Worried,681,72,1,(x14),"30,089","5,288,504"
Younha - Event Horizon,465,96,1,(x11),"39,033","5,148,928"
TAEYANG - VIBE,480,71,3,(x3),"43,519","5,137,768"
Lim Young Woong - Love Letter,703,,20,,"19,168","5,061,062"
Jimin - With you,680,50,2,(x1),"24,607","5,043,526"
BTS - Permission to Dance,796,122,1,(x31),"57,685","5,038,067"
BLACKPINK - Pink Venom,417,70,1,(x4),"90,689","5,024,580"
SZA - Kill Bill,520,52,6,,"24,057","4,975,683"
NewJeans - Hurt,648,25,4,,"21,704","4,974,814"
V - Christmas Tree,776,84,1,(x13),"17,175","4,969,996"
BTS - Filter,1142,2,10,,"13,697","4,957,243"
Justin Bieber - Ghost,988,,14,,"7,909","4,923,357"
LE SSERAFIM - Perfect Night,198,21,9,,"38,341","4,701,300"
Lim Young Woong - HERO,576,,26,,"21,727","4,580,863"
BIG Naughty - Beyond Love (Feat. 10CM),606,101,2,(x5),"17,530","4,543,699"
Justin Bieber - Peaches,744,166,1,(x52),"25,160","4,502,451"
BLACKPINK - Shut Down,400,68,1,(x14),"73,836","4,431,705"
IVE - ELEVEN,624,106,1,(x7),"18,404","4,408,537"
Lim Young Woong - Nest,660,,37,,"17,438","4,394,840"
V - Rainy Days,275,53,4,,"38,417","4,361,026"
YOASOBI - アイドル,380,51,4,,"29,576","4,357,674"
LE SSERAFIM - UNFORGIVEN,371,37,1,(x11),"65,592","4,337,059"
(G)I-DLE - TOMBOY,473,121,1,(x7),"28,954","4,335,860"
V - Slow Dancing,246,42,4,,"37,831","4,251,102"
LE SSERAFIM - FEARLESS,364,79,2,(x14),"18,570","4,105,050"
IVE - Kitsch,310,62,1,(x4),"46,728","4,099,612"
JANNABI - for lovers who hesitate,1153,,52,,"6,559","4,093,368"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1122,,31,,"11,896","4,088,390"
Justin Bieber - Off My Face,1143,,20,,"6,153","4,052,839"
BIG Naughty - Vancouver,735,,33,,"11,166","4,035,785"
aespa - Next Level,597,162,1,(x4),"27,200","3,955,103"
aespa - Spicy,328,32,3,(x8),"43,327","3,954,158"
