artist_title,days,t10,pk,x?,pkstreams,total
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",676,198,1,(x101),"2,599,771","259,184,792"
Manuel Turizo - La Bachata,716,252,1,(x17),"815,742","245,821,185"
Rauw Alejandro - Todo De Ti,885,147,1,(x50),"1,682,968","177,771,526"
zzoilo - Mon Amour - Remix,985,196,1,(x39),"725,845","164,657,410"
Danny Ocean - Me Rehúso,2041,272,1,(x1),"340,566","163,429,545"
ROSALÍA - DESPECHÁ,654,152,1,(x4),"2,016,332","156,271,300"
Quevedo - Columbia,311,194,1,(x60),"2,441,682","152,184,610"
C. Tangana - Tú Me Dejaste De Querer,1109,140,1,(x8),"1,631,995","150,534,048"
Quevedo - PUNTO G,555,134,1,(x17),"975,424","145,943,095"
Quevedo - PLAYA DEL INGLÉS,514,126,1,(x1),"979,115","144,865,105"
Mora - MEMORIAS,766,74,6,,"490,470","141,304,870"
Bad Bunny - Me Porto Bonito,709,127,2,(x37),"1,100,718","140,661,430"
Sebastian Yatra - Tacones Rojos,927,120,2,(x2),"424,237","135,854,477"
Quevedo - Sin Señal,644,154,4,,"618,306","134,482,087"
Bad Bunny - Yonaguni,802,71,2,(x19),"934,638","133,267,964"
Mora - LA INOCENTE,771,70,7,,"459,205","132,218,022"
Quevedo - VISTA AL MAR,607,125,2,(x31),"818,858","131,837,089"
Ozuna - Hey Mor,582,95,2,(x4),"665,030","130,860,402"
Bad Bunny - DÁKITI,968,97,1,(x45),"1,204,987","130,436,146"
Yandel - Yandel 150,489,136,1,(x14),"811,584","130,097,113"
Jay Wheeler - La Curiosidad,1352,109,2,(x11),"443,000","130,085,901"
Marshmello - El Merengue,436,150,3,(x2),"620,634","128,807,662"
KAROL G - Tusa,760,170,1,(x100),"689,105","128,789,987"
Bad Bunny - Tití Me Preguntó,499,132,1,(x49),"979,353","126,867,684"
Sebastian Yatra - Pareja Del Año,881,88,1,(x30),"822,810","125,795,440"
Bad Bunny - Ojitos Lindos,713,80,2,(x11),"721,677","123,637,217"
Myke Towers - LALA,330,119,1,(x4),"1,346,463","123,444,926"
