artist_title,days,t10,pk,x?,pkstreams,total
Victor Leksell - Svag,1551,416,1,(x104),"616,916","119,754,564"
Babblarna - Babblarnas vaggvisa,1820,190,1,(x1),"92,521","102,713,566"
The Weeknd - Blinding Lights,1520,297,1,(x52),"277,607","93,236,401"
Avicii - Without You,1503,148,1,(x41),"483,529","82,348,057"
Ed Sheeran - Shape of You,909,165,1,(x54),"446,067","80,881,425"
Hov1 - Hon dansar vidare i livet,1928,110,1,(x21),"320,621","79,328,481"
Avicii - Wake Me Up,2783,26,1,(x3),"482,278","77,462,693"
Bolaget - Kan Inte Gå,863,381,1,(x28),"247,793","70,951,822"
Tones And I - Dance Monkey,892,226,1,(x66),"317,763","68,993,768"
Lewis Capaldi - Someone You Loved,1726,76,6,,"139,027","67,739,153"
Lady Gaga - Shallow,1251,186,1,(x68),"286,334","66,663,450"
Wham! - Last Christmas,524,259,1,(x69),"712,470","61,371,109"
Mariah Carey - All I Want for Christmas Is You,510,264,1,(x69),"648,356","60,651,758"
Luis Fonsi - Despacito - Remix,535,141,1,(x93),"529,614","59,020,227"
Hov1 - Gamora,1156,103,1,(x45),"340,874","56,677,317"
1.Cuz - FÖRSENT,1243,104,1,(x3),"239,855","56,237,401"
Miss Li - Lev nu dö sen,1014,145,1,(x23),"263,752","55,494,942"
Dree Low - PIPPI,862,123,1,(x32),"375,834","55,215,480"
Ed Sheeran - Thinking out Loud,1330,127,2,(x14),"217,599","54,993,402"
Post Malone - rockstar,752,158,1,(x62),"409,039","54,937,031"
Alan Walker - Faded,713,123,1,(x51),"439,513","53,149,548"
Albin Lee Meldau - Josefin,1110,8,4,,"264,407","52,567,374"
Mares - Sunnanvind,1215,67,2,(x1),"218,193","51,930,569"
Justin Bieber - Love Yourself,742,114,1,(x29),"372,233","51,727,867"
Humlan Djojj - Djurens vaggvisa,958,88,3,(x4),"86,246","51,721,295"
James Arthur - Say You Won't Let Go,1261,111,1,(x17),"219,449","49,698,808"
Zara Larsson - Lush Life,901,88,1,(x29),"267,775","49,404,837"
Drake - One Dance,679,122,1,(x27),"373,863","48,627,987"
Miriam Bryant - tystnar i luren,801,148,1,(x29),"393,910","48,568,017"
Victor Leksell - Din låt,658,149,1,(x52),"739,175","48,544,753"
Bolaget - Ikväll Igen,397,209,1,(x93),"623,687","48,419,865"
Miss Li - Komplicerad,772,173,2,(x1),"304,326","47,564,985"
Lukas Graham - 7 Years,617,82,1,(x15),"423,952","46,699,116"
Thomas Stenström - Ser du månen där du är ikväll? (Tillsammans igen),1100,73,2,(x2),"389,732","46,282,028"
Yasin - Young & Heartless,1348,67,1,(x7),"231,295","46,272,573"
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",668,100,1,(x23),"430,958","45,428,596"
Journey - Don't Stop Believin',2231,,35,,"100,632","44,639,106"
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,652,96,6,,"242,565","44,405,110"
Ed Sheeran - Perfect,885,72,3,(x12),"221,002","44,248,623"
Axwell /\ Ingrosso - More Than You Know,591,108,2,(x16),"365,660","44,030,747"
Hooja - Banan Melon Kiwi & Citron,707,151,2,(x4),"221,076","43,259,195"
Einár - Första Klass,1179,53,1,(x17),"300,242","42,874,812"
Laleh - Bara Få Va Mig Själv,988,47,4,,"247,617","42,545,079"
"Molly Sandén - Rosa himmel (från ""Störst av allt"")",831,48,2,(x18),"277,936","42,473,179"
Adele - Hello,540,104,1,(x20),"477,312","41,786,765"
Mike Perry - The Ocean,557,109,1,(x47),"348,999","41,710,782"
Avicii - SOS,510,98,1,(x31),"1,210,053","41,691,859"
The Chainsmokers - Something Just Like This,617,82,4,,"271,912","41,565,297"
Hozier - Take Me To Church,947,103,1,(x32),"311,505","41,384,330"
Rasmus Gozzi - RID MIG SOM EN DALAHÄST,522,185,1,(x16),"223,919","41,333,924"
Major Lazer - Lean On,550,111,2,(x13),"285,794","41,181,425"
Triad - Tänd ett ljus,426,155,1,(x1),"525,351","40,690,118"
The Kid LAROI - Stay,555,157,1,(x71),"253,853","40,478,100"
Dean Lewis - Be Alright,914,117,1,(x2),"200,148","40,457,388"
Kaliffa - Helt seriöst,584,86,1,(x4),"299,005","39,979,964"
Justin Bieber - What Do You Mean?,461,99,1,(x25),"469,497","39,941,199"
Yasin - Hiphop N RnB,1263,47,2,(x3),"193,339","39,747,494"
A36 - Samma gamla vanliga,599,112,1,(x36),"306,540","39,641,334"
Avicii - Waiting For Love,680,88,1,(x19),"431,462","39,641,248"
Justin Bieber - Sorry,502,106,1,(x1),"362,646","39,605,226"
Billie Eilish - bad guy,630,85,1,(x3),"248,264","38,291,905"
Darin - En säng av rosor,736,59,6,,"146,280","38,174,704"
OMI - Cheerleader (Felix Jaehn Remix),322,126,1,(x34),"331,058","37,471,298"
Myra Granberg - Lose my mind,696,96,1,(x1),"277,827","37,059,654"
Ed Sheeran - Photograph,1189,,21,,"101,488","37,015,699"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,409,147,3,(x10),"501,317","36,996,799"
The Weeknd - Starboy,772,110,1,(x20),"245,357","36,828,115"
Martin Jensen - Solo Dance,620,65,5,,"240,537","36,808,961"
Håkan Hellström - Det kommer aldrig va över för mig,1714,,17,,"125,777","36,694,170"
Sia - Cheap Thrills,483,59,1,(x8),"291,199","36,657,155"
Hov1 - Hornstullsstrand,1022,41,1,(x4),"362,869","36,498,862"
Veronica Maggio - Tillfälligheter,778,67,3,(x2),"190,383","36,454,872"
Miss Li - X,591,142,1,(x1),"270,444","35,959,483"
Norlie & KKV - Ingen annan rör mig som du,1079,39,4,,"240,421","35,862,972"
Ed Sheeran - Bad Habits,509,150,2,(x33),"201,246","35,514,592"
Clean Bandit - Symphony,445,70,1,(x30),"390,836","35,454,561"
The Chainsmokers - Don't Let Me Down,562,67,4,,"245,711","35,412,284"
Ava Max - Sweet but Psycho,565,122,1,(x27),"264,497","35,332,537"
Hov1 - Barn av vår tid,837,89,1,(x10),"255,594","35,151,260"
Newkid - Du måste finnas,618,107,1,(x27),"290,592","35,001,584"
The Chainsmokers - Closer,427,119,1,(x21),"290,588","34,874,337"
David Guetta - I'm Good (Blue),619,121,1,(x23),"311,330","34,567,592"
Tom Odell - Another Love,1056,,17,,"74,695","34,551,958"
Shawn Mendes - Stitches,553,69,1,(x6),"275,651","34,458,697"
Ellie Goulding - Love Me Like You Do,509,94,1,(x32),"307,063","34,352,425"
Major Lazer - Light It Up,448,78,3,(x15),"333,296","34,014,577"
