artist_title,days,t10,pk,x?,pkstreams,total
Lewis Capaldi - Someone You Loved,1967,162,4,,"30,810","28,368,300"
The Weeknd - Blinding Lights,1621,313,1,(x43),"57,664","28,051,302"
Tones And I - Dance Monkey,1285,291,1,(x133),"77,799","25,241,771"
Tom Odell - Another Love,1386,297,3,(x22),"34,748","22,571,714"
Glass Animals - Heat Waves,1233,330,1,(x67),"51,774","22,034,015"
Lady Gaga - Shallow,2010,107,1,(x10),"39,458","21,695,814"
Ed Sheeran - Shape of You,1697,241,1,(x111),"66,156","19,405,175"
Billie Eilish - lovely,2142,,24,,"15,334","18,114,798"
Lost Frequencies - Where Are You Now,1013,251,2,(x11),"37,987","17,270,275"
David Guetta - I'm Good (Blue),625,319,1,(x77),"77,148","16,885,227"
Imagine Dragons - Believer,2254,1,10,,"22,536","16,845,772"
Harry Styles - As It Was,771,231,1,(x57),"63,808","16,694,331"
Farruko - Pepas,860,291,1,(x6),"64,505","16,421,092"
Apache 207 - Roller,1280,153,2,(x34),"51,607","15,787,754"
Ed Sheeran - Shivers,884,233,1,(x5),"61,306","15,762,549"
Elton John - Cold Heart - PNAU Remix,999,174,3,(x2),"53,089","15,428,471"
Miley Cyrus - Flowers,485,209,1,(x77),"133,631","15,238,040"
Eminem - Lose Yourself,2554,,21,,"15,967","15,090,687"
Vance Joy - Riptide,2098,10,9,,"25,028","14,104,149"
SAINt JHN - Roses - Imanbek Remix,831,178,2,(x45),"52,137","13,896,502"
The Kid LAROI - Stay,709,184,1,(x47),"62,518","13,571,966"
Mariah Carey - All I Want for Christmas Is You,434,214,1,(x107),"313,227","13,479,449"
Ed Sheeran - Bad Habits,726,149,1,(x6),"52,414","13,479,186"
Harry Styles - Watermelon Sugar,1151,83,3,(x10),"35,092","13,164,439"
Shawn Mendes - Señorita,709,144,1,(x68),"85,986","12,867,303"
OneRepublic - I Ain't Worried,718,99,3,(x5),"31,688","12,296,592"
Wham! - Last Christmas,433,178,1,(x7),"316,921","12,249,271"
Macklemore & Ryan Lewis - Can't Hold Us,868,,13,,"27,055","12,150,795"
24kGoldn - Mood,627,163,1,(x80),"67,900","11,814,517"
Dean Lewis - Be Alright,1337,17,8,,"23,208","11,753,478"
Billie Eilish - bad guy,800,132,1,(x13),"40,793","11,719,810"
Ed Sheeran - Perfect,1558,94,3,(x6),"24,817","11,611,946"
Gabry Ponte - Thunder,1026,,11,,"28,683","11,601,177"
Dynoro - In My Mind,894,130,1,(x49),"47,357","11,463,185"
DaBaby - ROCKSTAR,543,161,1,(x47),"68,103","11,445,172"
Lewis Capaldi - Before You Go,1162,,14,,"22,024","11,425,911"
Eminem - Mockingbird,580,156,3,(x7),"38,297","11,389,213"
Lo & Leduc - 079,918,145,1,(x86),"47,874","11,095,700"
