artist_title,days,t10,pk,x?,pkstreams,total
高爾宣 OSN - Without You,1863,613,1,(x82),"46,067","46,810,767"
"WeiBird - 如果可以 - 電影""月老""主題曲",918,608,1,(x275),"147,343","42,010,221"
Ren Ran - 飞鸟和蝉,1354,757,1,(x14),"49,553","41,364,447"
Eric Chou - 怎麼了,1948,586,2,(x11),"38,874","40,472,843"
Bestards - 不是因為天氣晴朗才愛你,1651,370,4,,"44,019","38,727,473"
"831 - 想見你想見你想見你(電視劇""想見你""片尾曲)",1620,505,1,(x128),"56,311","38,147,073"
Crowd Lu - 刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,1300,462,1,(x177),"81,244","37,980,233"
告五人 - 披星戴月的想你,1954,,15,,"32,817","35,546,690"
EggPlantEgg - 愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,1052,620,1,(x77),"118,062","34,294,104"
Ronghao Li - 年少有為,2123,204,1,(x4),"29,440","32,562,449"
EggPlantEgg - 浪流連,2004,266,1,(x25),"40,765","31,744,069"
Fish Leong - 慢冷,1822,,11,,"30,203","31,148,438"
The Kid LAROI - Stay,1037,359,1,(x105),"60,798","29,039,051"
EggPlantEgg - 閣愛妳一擺,883,452,2,(x142),"109,766","28,259,313"
Vicky Chen - 炙愛 - 女聲版,1520,14,9,,"36,240","27,329,441"
Yisa Yu - 路過人間 (電視劇《我們與惡的距離》插曲),1818,73,4,,"30,716","26,728,911"
告五人 - 好不容易 (《華燈初上》片尾曲),878,445,2,(x66),"61,777","26,656,914"
A-Lin - 有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,1763,293,1,(x18),"41,914","26,569,964"
告五人 - 在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),1012,491,2,(x43),"56,804","25,320,313"
G.E.M. - 光年之外 (電影 《Passengers》 中國區主題曲),2636,2,8,,"18,738","24,921,843"
张远 - 嘉宾,978,165,5,,"40,468","24,447,088"
The Chainsmokers - Something Just Like This,2401,256,1,(x112),"61,114","24,404,259"
"Eric Chou - 你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",2764,5,7,,"14,455","24,142,452"
LaLa Hsu - 真的傻 (電影《一吻定情》追愛版主題曲),1443,64,6,,"29,425","23,764,975"
高爾宣 OSN - Why You Gonna Lie,1723,116,3,(x9),"33,025","23,685,653"
Power Station - 我很好騙,1028,189,5,,"36,553","22,354,055"
承桓 - 我会等,403,347,1,(x7),"69,887","22,031,467"
EggPlantEgg - 浪子回頭,1910,149,1,(x1),"26,350","21,959,415"
Lewis Capaldi - Someone You Loved,1723,,14,,"23,905","21,724,492"
小阿七 - 从前说,826,111,4,,"43,788","21,628,881"
告五人 - 愛人錯過,1370,,12,,"32,306","21,409,232"
Jay Chou - 晴天,1672,,15,,"37,580","20,897,023"
Jung Kook - Seven,303,276,1,(x162),"156,778","20,867,685"
Jay Chou - 說好不哭,1030,216,1,(x29),"91,126","20,746,066"
陳華 - 想和你看五月的晚霞,566,279,3,(x60),"58,273","20,385,427"
颜人中 - 有些,1045,,16,,"30,894","20,288,164"
高爾宣 OSN - 最後一次,1483,6,8,,"27,638","19,774,573"
Tanya Chua - 紅色高跟鞋,1680,,41,,"21,641","19,684,239"
Crowd Lu - 幾分之幾 - 電影<花甲大人轉男孩>主題曲,1862,40,1,(x2),"25,103","19,678,880"
Bestards - 我就想你,898,3,8,,"40,325","19,493,280"
阿冗 - 你的答案,1539,,15,,"23,745","19,141,201"
棉子 - 勇气,1374,,16,,"23,439","19,027,105"
Shawn Mendes - Señorita,1115,241,1,(x88),"62,699","19,015,083"
sodagreen - 小情歌,1896,,25,,"23,353","18,727,246"
瘦子E.SO - CHANGE,869,186,1,(x8),"48,809","18,622,745"
Kelly Yu - 體面(電影《前任3:再見前任》插曲),1502,168,1,(x13),"26,443","18,455,511"
告五人 - 唯一 (三立/台視戲劇《戀愛是科學》插曲),1039,,14,,"28,861","18,360,086"
