artist_title,days,t10,pk,x?,pkstreams,total
Jung Kook - Seven,303,274,1,(x110),"1,432,915","159,253,018"
LISA - MONEY,975,518,1,(x43),"563,240","110,927,777"
Jimin - Like Crazy,414,369,1,(x26),"803,337","89,274,741"
Jung Kook - Standing Next to You,190,188,1,(x76),"1,008,356","74,820,433"
V - Love Me Again,275,206,1,(x69),"748,882","74,646,572"
LISA - LALISA,958,367,1,(x14),"277,872","68,209,606"
Mirrr - นิโคติน,1561,240,1,(x4),"68,531","49,424,866"
Jung Kook - 3D,226,173,1,(x3),"1,079,294","48,773,475"
THEMOONWILLALWAYSBEWITHME - ซูลูปาก้า ตาปาเฮ้,722,172,1,(x48),"125,618","46,410,295"
Musketeers - พิจารณา (Consider),610,175,1,(x34),"137,030","46,167,283"
YEW - Summertime,759,149,2,(x2),"127,731","45,759,039"
Three Man Down - ฝนตกไหม,1581,363,1,(x24),"67,340","45,585,548"
Tilly Birds - คิด(แต่ไม่)ถึง (Same Page?),1415,332,1,(x73),"83,602","44,483,869"
Pop Pongkool - สลักจิต,667,162,5,,"103,901","42,615,590"
Mirrr - เจ้าของที่ (My Favorite),794,16,9,,"81,583","41,671,442"
JISOO - FLOWER,406,200,1,(x5),"555,289","41,240,809"
Newery - กลิ่นดอกไม้,478,165,1,(x1),"213,503","39,352,080"
YourMOOD - ลาก่อน,713,160,3,(x1),"96,282","38,632,619"
V - Slow Dancing,246,82,2,(x32),"970,174","38,106,946"
เรนิษรา - ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว) - Sad flower,343,230,1,(x41),"200,728","37,918,662"
Three Man Down - ถ้าเธอรักฉันจริง,1186,133,1,(x53),"184,626","37,665,274"
BLACKPINK - Shut Down,454,193,1,(x37),"326,116","36,283,804"
Dhruv - double take,1092,101,1,(x6),"49,711","35,963,651"
fellow fellow - ดาวหางฮัลเลย์,252,147,3,(x11),"338,612","35,767,894"
