artist_title,days,t10,pk,x?,pkstreams,total
Madrigal - Seni Dert Etmeler,1485,297,1,(x36),"283,575","222,789,149"
KÖFN - Bi' Tek Ben Anlarım,781,256,1,(x10),"547,934","184,092,140"
Simge - Aşkın Olayım,915,229,1,(x10),"637,671","170,659,593"
Yüzyüzeyken Konuşuruz - Dinle Beni Bi',2248,,18,,"209,241","161,891,608"
Dolu Kadehi Ters Tut - Gitme,1865,,11,,"191,354","158,420,070"
mor ve ötesi - Bir Derdim Var,2911,,21,,"207,844","158,154,284"
Mavi Gri - Altüst Olmuşum,1053,,11,,"267,510","138,913,672"
Mert Demir - Antidepresan,494,129,1,(x52),"1,556,114","136,167,907"
UZI - SENIN UGRUNA,611,117,1,(x40),"685,734","134,967,681"
Güneş - Dua,1246,136,3,(x7),"258,206","133,702,481"
Güneş - Suçlarımdan Biri,776,149,1,(x10),"531,385","132,616,142"
UZI - PAPARAZZİ,859,208,1,(x74),"534,156","131,803,936"
UZI - ARASAN DA,586,120,1,(x30),"1,355,129","128,226,134"
UZI - CINDY,939,148,1,(x20),"668,176","125,722,320"
Emir Can İğrek - Kor,897,18,5,,"262,015","118,567,347"
UZI - Umrumda Değil,957,158,2,(x7),"323,168","115,756,020"
Rei 6 - Ah Canım Sevgilim - Demo,1020,21,6,,"186,543","115,270,369"
Lvbel C5 - NKBİ X YAPAMAM - Remix,489,152,2,(x13),"668,409","113,808,222"
ATE - Diğer Yarım,658,74,1,(x10),"522,829","113,647,490"
Evdeki Saat - Uzunlar - V1,1125,30,8,,"197,864","113,405,426"
Can Koç - Gökyüzünü Tutamam,626,121,5,,"373,798","113,362,422"
Semicenk - Yana Yana,424,176,1,(x38),"564,052","113,053,616"
BLOK3 - AFFETMEM,486,121,2,(x16),"574,997","112,118,980"
Semicenk - Canın Sağ Olsun,388,138,1,(x11),"709,598","112,035,860"
Dedublüman - Belki,583,118,1,(x17),"836,439","111,955,760"
Semicenk - Pişman Değilim,346,123,1,(x30),"1,545,709","109,903,531"
Kaan Boşnak - Benimle Kayboldun,2011,,40,,"122,609","109,870,045"
Semicenk - Sevecek Sandım,570,120,3,(x1),"413,198","106,565,512"
Semicenk - Unutmak Öyle Kolay Mı Sandın,495,135,5,,"361,956","105,867,371"
Lvbel C5 - GELMEZSEN GELME,700,68,2,(x28),"536,461","104,385,080"
BLOK3 - BAYBAY,420,68,3,(x19),"496,062","101,721,331"
Sertab Erener - Olsun,2226,,37,,"127,127","99,894,138"
Mavi Gri - Ölümle Yaşam Arasında,643,54,5,,"305,559","99,025,879"
Kalben - Yara,813,36,4,,"297,200","98,410,930"
BLOK3 - VUR,481,98,5,,"404,983","98,289,841"
Ezhel - Geceler,2111,469,2,(x17),"129,345","97,790,969"
Sefo - Bilmem Mi?,515,141,1,(x41),"1,086,815","97,324,975"
Tom Odell - Another Love,1166,,14,,"221,573","96,354,848"
Dedublüman - Sakladığın Bir Şeyler Var,595,,18,,"206,493","94,428,866"
No.1 - Yarım Kalan Sigara,871,,15,,"200,486","94,216,858"
Ezhel - Nerdesin,432,112,1,(x48),"815,668","93,542,173"
EDIS - Martılar,830,122,1,(x25),"436,911","92,789,840"
Semicenk - Geri Dönemedim,373,71,1,(x16),"752,429","91,650,814"
Halodayı - Aman Güzel Yavaş Yürü,324,104,1,(x51),"953,796","91,616,143"
UZI - Caney,332,106,2,(x18),"845,641","90,654,489"
Ati242 - 25,725,1,10,,"279,123","88,868,089"
ALIZADE - 24/7,379,87,1,(x12),"750,179","88,328,670"
cakal - Diyardan Diyara,501,56,7,,"364,554","88,205,239"
UZI - ZOR,611,22,7,,"401,719","86,549,098"
cakal - İmdat,416,95,1,(x53),"985,703","86,493,180"
Ceza - Neyim Var Ki,1916,63,2,(x11),"210,681","85,946,479"
Berkay Altunyay - Olmazlara İnat,590,34,5,,"329,784","85,129,285"
EDIS - Arıyorum,693,144,3,(x9),"401,738","84,583,924"
UZI - Krvn,546,148,1,(x65),"760,388","81,710,477"
UZI - Makina,785,164,1,(x3),"272,681","81,484,776"
Ezhel - Bul Beni,525,113,1,(x31),"570,213","81,270,591"
Madrigal - Dip,769,,11,,"287,606","81,065,956"
Mabel Matiz - Fırtınadayım,505,62,2,(x12),"540,433","80,701,213"
Güneş - NKBİ,466,69,5,,"336,571","79,664,150"
Semicenk - Düşer Aklıma,683,18,8,,"210,320","79,115,502"
Mert Demir - Ateşe Düştüm,233,92,1,(x29),"866,597","77,683,581"
Semicenk - Al Sevgilim,574,55,2,(x4),"484,715","77,653,448"
Zeynep Bastık - Ara,422,66,2,(x27),"608,322","77,597,490"
Yüzyüzeyken Konuşuruz - Sen Varsın Diye,721,71,4,,"305,522","76,420,448"
Murda - Bi Sonraki Hayatımda Gel,773,223,1,(x82),"537,781","76,066,855"
Lvbel C5 - 10 NUMARA,524,152,1,(x20),"475,935","75,636,077"
İrem Derici - Yaz Gülü,492,11,8,,"311,303","74,868,711"
Yaşar - Kumralım,1071,,44,,"168,693","74,851,067"
BLOK3 - N'aptığını bilmesem de,324,85,3,(x6),"577,146","74,661,037"
Lvbel C5 - ralli,463,149,1,(x2),"457,868","74,166,610"
Motive - 10MG,381,65,1,(x11),"669,632","73,604,182"
Ufuk Beydemir - Ay Tenli Kadın,1397,69,1,(x15),"388,876","73,281,657"
Nilüfer - Son Arzum,877,,31,,"118,676","73,147,372"
Halodayı - Özür,418,,17,,"271,106","73,079,525"
BLOK3 - aklına ben gelicem,234,82,1,(x21),"876,342","72,769,730"
Semicenk - Masal Gibi,443,,17,,"251,886","72,257,098"
Semicenk - Herkes Gibisin,532,,24,,"196,974","71,588,249"
Murda - AYA,709,198,1,(x50),"627,545","69,697,508"
Gripin - Aşk Nerden Nereye,1025,,54,,"144,125","69,686,287"
Ayla Dikmen - Anlamazdın,870,,65,,"114,977","68,999,769"
Canozan - Ağlama ben ağlarım,219,108,1,(x4),"654,361","68,979,951"
Sefo - Affettim,523,78,1,(x7),"361,952","68,696,343"
maNga - Cevapsız Sorular,2306,,56,,"73,299","68,387,134"
Tuğkan - Kusura Bakma,765,153,2,(x23),"261,763","68,222,895"
Velet - Aşk Sadece Anlayana,416,54,1,(x3),"588,700","66,190,435"
Semicenk - Bozulmuş Kalbim,673,,50,,"156,148","65,693,881"
Semicenk - Tanrım Reva Mı,296,48,4,,"507,913","65,550,632"
Gazapizm - Olur Mu,441,63,2,(x7),"403,224","65,168,896"
