artist_title,days,t10,pk,x?,pkstreams,total
SadSvit - Силуети,562,480,1,(x122),"41,168","11,905,820"
The Neighbourhood - Sweater Weather,1320,,14,,"11,899","8,823,685"
KALUSH - Додому,885,204,2,(x12),"25,667","8,057,129"
Kordhell - Murder In My Mind,706,251,3,(x10),"19,331","7,875,366"
ThxSoMch - SPIT IN MY FACE!,554,171,1,(x17),"40,246","7,817,688"
SKOFKA - Чути гімн,574,258,1,(x7),"23,103","7,772,281"
INTERWORLD - METAMORPHOSIS,660,160,2,(x4),"21,456","7,750,519"
Mr.Kitty - After Dark,1184,,11,,"11,484","7,643,421"
shadowraze - astral step,652,201,1,(x53),"48,235","7,640,573"
Big Baby Tape - Million,783,94,2,(x42),"74,013","7,272,632"
xxxmanera - Never Broke Again,693,129,1,(x23),"23,537","7,254,874"
SadSvit - Касета,755,82,5,,"15,562","7,046,146"
The Weeknd - Blinding Lights,1226,172,1,(x28),"14,099","7,041,122"
YAKTAK - Погляд,436,218,1,(x42),"30,989","6,895,480"
Wellboy - Додому,501,179,5,,"21,242","6,857,301"
Lil Peep - Star Shopping,1364,,48,,"8,535","6,441,422"
Tom Odell - Another Love,918,,12,,"12,157","6,363,141"
DVRST - Close Eyes,795,22,5,,"14,633","6,330,567"
Imagine Dragons - Bones,722,33,6,,"15,615","6,068,679"
kizaru - Dezhavyu,855,246,1,(x5),"9,833","6,046,658"
YAKTAK - Порічка,401,172,3,(x10),"26,436","5,954,988"
DOROFEEVA - Щоб не було,521,17,9,,"15,374","5,942,713"
shadowraze - showdown,495,133,1,(x65),"91,641","5,846,728"
Surf Curse - Freaks,1101,,39,,"8,250","5,821,724"
Big Baby Tape - Bandana,543,88,1,(x8),"110,918","5,783,370"
Nirvana - Smells Like Teen Spirit - Remastered,900,,33,,"9,966","5,749,751"
KALUSH - Stefania (Kalush Orchestra),470,153,1,(x45),"86,067","5,704,232"
Big Baby Tape - 99 Problems,412,112,1,(x57),"96,730","5,533,188"
XXXTENTACION - Revenge,808,,25,,"9,610","5,531,771"
КАКАЯ РАЗНИЦА - Рассвет,819,,24,,"10,591","5,450,278"
Korol i Shut - Кукла колдуна,971,22,4,,"9,500","5,399,559"
fem.love - Фотографирую закат,592,84,2,(x7),"25,674","5,295,328"
KRBK - Крепче,504,60,7,,"19,595","5,266,202"
Khrystyna Soloviy - Тримай,801,6,8,,"10,691","5,153,347"
ENLEO - інша любов,553,59,4,,"15,051","5,147,712"
Arctic Monkeys - I Wanna Be Yours,637,,15,,"14,089","5,031,736"
WENARO - Лёд,513,153,2,(x5),"26,387","5,020,325"
Parfeniuk - Відриваючись,375,123,3,(x1),"26,066","4,986,898"
KALUSH - Калуські вечорниці,679,49,5,,"18,077","4,973,591"
VovaZiLvova - Шукав тебе. Знайшов тебе,620,,14,,"13,107","4,945,766"
Кишлак - Я уёбываю в джаз,718,,32,,"9,878","4,901,581"
KALUSH - Файна,596,2,10,,"14,264","4,862,605"
Dxrk ダーク - RAVE,547,59,3,(x2),"21,147","4,855,603"
MUPP - vendetta!,532,81,3,(x8),"16,028","4,799,381"
alyona alyona - Не втратимо зв'язок,388,19,8,,"21,855","4,789,004"
Skryptonite - Это любовь,1073,,68,,"8,756","4,749,000"
"DOROFEEVA - Кохаю, але не зовсім",326,158,1,(x2),"21,905","4,748,615"
FACE - Антидепрессант,776,,28,,"11,068","4,724,978"
David Kushner - Daylight,392,17,6,,"19,150","4,705,891"
KOLA - Біля серця,564,,12,,"12,954","4,704,036"
Eyedress - Jealous,815,,48,,"9,284","4,655,038"
Wellboy - Вишнi,718,,16,,"10,831","4,626,484"
The Neighbourhood - Softcore,819,,43,,"9,887","4,589,993"
SadSvit - Молодість,737,,34,,"9,700","4,584,398"
uniqe - ТОЛПЫ КРИЧАТ,542,46,1,(x7),"31,980","4,556,953"
Valentin Strykalo - Так гріє,778,,31,,"8,364","4,520,686"
shadowraze - Холод,262,125,1,(x12),"70,058","4,469,966"
FACE - ЛАБИРИНТ,751,10,5,,"13,590","4,426,774"
Aarne - Тесно,408,94,1,(x31),"59,025","4,358,406"
Klavdia Petrivna - Знайди мене,215,162,1,(x38),"31,776","4,277,922"
Rammstein - Sonne,587,,18,,"11,185","4,241,340"
Sasha Chemerov - Любила,753,,35,,"9,037","4,188,186"
Kill Eva - Psycho Dreams (Sped Up),413,51,7,,"20,800","4,178,227"
Після Дощу - Хочеш,411,,12,,"15,564","4,162,543"
Jerry Heil - #ПОШТА,734,,30,,"9,028","4,136,974"
INTERWORLD - METAMORPHOSIS 3,343,76,1,(x8),"47,541","4,114,949"
100лиця - Чорнобрива,559,,19,,"11,403","4,096,470"
Sam Smith - Unholy,343,89,1,(x29),"51,273","4,083,678"
Doja Cat - Paint The Town Red,282,86,1,(x50),"36,304","4,066,015"
rizza - плачь,521,49,6,,"20,147","4,001,343"
10AGE - Ау,801,,20,,"9,005","3,968,221"
SadSvit - Персонажі,571,,19,,"10,555","3,950,477"
ssshhhiiittt! - Танцы,922,,39,,"8,183","3,917,421"
Måneskin - I WANNA BE YOUR SLAVE,450,111,1,(x2),"41,871","3,873,320"
Шайни - Yeyo!,486,31,5,,"20,497","3,870,987"
Klavdia Petrivna - Я щаслива - Лікарі кажуть,218,166,3,(x12),"24,005","3,805,043"
Skryptonite - Положение,644,14,9,,"9,784","3,802,662"
Motor'Rolla - Восьмий колір,672,,65,,"7,682","3,783,254"
YARMAK - ДИКЕ ПОЛЕ,512,,19,,"10,906","3,779,648"
ooes - последнее лето,499,,17,,"11,161","3,776,516"
Chico - Покохай мене,182,177,1,(x15),"24,929","3,752,265"
xxxmanera - Скажи мне кто ты,285,98,1,(x25),"39,061","3,725,106"
Eminem - Without Me,696,,59,,"8,394","3,716,640"
DOROFEEVA - вотсап,472,,13,,"11,565","3,701,406"
The Kid LAROI - Stay,436,72,1,(x3),"24,584","3,687,178"
Taras Chubay - Вона,600,,36,,"7,779","3,678,077"
MamaRika - Люди,446,,22,,"12,772","3,674,147"
Eminem - Mockingbird,476,36,1,(x1),"25,644","3,667,636"
David Guetta - I'm Good (Blue),579,2,2,(x1),"20,616","3,642,511"
Skryptonite - Baby mama,401,76,1,(x7),"21,583","3,626,832"
alyona alyona - Небо хилиться,331,,15,,"19,414","3,618,077"
POSITIFF - Спалахи,335,,13,,"19,379","3,615,833"
Arctic Monkeys - Why'd You Only Call Me When You're High?,522,,37,,"10,577","3,562,620"
Lil Nas X - INDUSTRY BABY,371,82,1,(x26),"25,088","3,549,427"
Artem Pivovarov - Маніфест,454,,21,,"11,762","3,549,212"
Kenya Grace - Strangers,254,79,2,(x24),"26,263","3,519,142"
alyona alyona - Teresa & Maria,121,113,1,(x41),"73,184","3,503,117"
shadowraze - juggernaut (Prod. by PLVSTIC),404,46,6,,"21,139","3,488,486"
PLAYAMANE - MIDNIGHT,396,51,4,,"14,622","3,476,935"
SHUMEI - Біля тополі,447,,17,,"11,720","3,448,028"
