artist_title,days,t10,pk,x?,pkstreams,total
The Killers - Mr. Brightside,3430,4,8,,"279,141","322,163,176"
Lewis Capaldi - Someone You Loved,1953,283,1,(x26),"667,950","295,515,791"
The Weeknd - Blinding Lights,1595,237,1,(x70),"637,003","237,991,566"
Drake - One Dance,2046,162,1,(x101),"842,439","233,629,005"
Ed Sheeran - Shape of You,1533,139,1,(x59),"1,322,199","213,521,308"
Vance Joy - Riptide,2998,,11,,"220,296","209,530,184"
Dave - Location,1745,47,8,,"357,744","196,773,496"
Arctic Monkeys - Do I Wanna Know?,3020,,18,,"176,130","183,895,860"
Oasis - Wonderwall - Remastered,2846,,44,,"128,435","182,761,157"
Mariah Carey - All I Want for Christmas Is You,519,277,1,(x76),"2,643,661","177,213,056"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1678,80,3,(x6),"385,222","176,958,626"
Harry Styles - As It Was,770,295,1,(x60),"1,247,683","176,801,708"
Glass Animals - Heat Waves,1150,254,2,(x9),"331,529","176,556,265"
James Arthur - Say You Won't Let Go,2091,118,1,(x31),"561,464","172,342,064"
Wham! - Last Christmas,516,259,1,(x81),"2,889,765","171,878,873"
Hozier - Take Me To Church,2086,133,2,(x29),"240,958","158,023,481"
The Kooks - Naive,2650,,44,,"132,832","157,241,459"
Olivia Rodrigo - good 4 u,879,152,1,(x45),"1,262,454","154,703,861"
Harry Styles - Watermelon Sugar,1337,72,3,(x2),"384,133","150,102,958"
George Ezra - Shotgun,1221,114,1,(x3),"623,378","148,288,423"
Tones And I - Dance Monkey,815,198,1,(x81),"702,851","147,361,316"
Post Malone - rockstar,1070,140,1,(x77),"627,836","145,390,085"
Juice WRLD - Lucid Dreams,1359,47,2,(x1),"401,486","144,160,847"
Ed Sheeran - Bad Habits,704,164,1,(x31),"776,280","135,336,120"
Calvin Harris - One Kiss,952,125,1,(x73),"895,455","132,156,179"
Tom Odell - Another Love,1203,2,10,,"202,765","131,276,760"
Joel Corry - Head & Heart,799,178,1,(x30),"727,539","130,972,558"
Fleetwood Mac - Dreams - 2004 Remaster,1452,,16,,"209,096","125,511,233"
The Neighbourhood - Sweater Weather,1304,,15,,"160,698","125,498,957"
The Weeknd - Starboy,1104,109,1,(x2),"467,218","124,876,879"
Lewis Capaldi - Before You Go,1138,109,1,(x4),"658,280","124,671,227"
Oasis - Don't Look Back in Anger - Remastered,2021,,18,,"202,738","123,639,986"
French Montana - Unforgettable,885,154,2,(x25),"561,702","123,093,443"
Billie Eilish - bad guy,783,108,1,(x25),"583,963","121,274,452"
Drake - God's Plan,695,135,1,(x75),"799,488","121,267,930"
