artist_title,days,t10,pk,x?,pkstreams,total
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1999,302,1,(x29),"2,118,242","1,081,778,697"
J. Cole - No Role Modelz,3046,6,7,,"870,221","1,039,196,120"
Juice WRLD - Lucid Dreams,1764,178,1,(x20),"2,127,668","891,289,488"
Lil Uzi Vert - XO TOUR Llif3,1865,212,1,(x4),"1,660,502","785,380,131"
Post Malone - rockstar,1223,186,1,(x124),"2,905,678","718,865,961"
Travis Scott - goosebumps,2110,4,8,,"977,275","715,533,224"
The Weeknd - Blinding Lights,1289,233,1,(x11),"2,355,059","702,973,297"
Kendrick Lamar - HUMBLE.,1432,152,1,(x67),"4,060,034","691,783,677"
Juice WRLD - All Girls Are The Same,1872,2,5,,"1,239,152","674,859,341"
Lil Baby - Drip Too Hard (Lil Baby & Gunna),1678,122,1,(x6),"1,759,294","656,515,986"
The Neighbourhood - Sweater Weather,1549,,12,,"703,985","648,028,550"
Glass Animals - Heat Waves,1037,248,1,(x34),"1,230,046","642,820,862"
Post Malone - Circles,1275,163,1,(x38),"3,441,328","629,624,241"
XXXTENTACION - Jocelyn Flores,1673,44,2,(x1),"3,175,206","624,457,164"
XXXTENTACION - SAD!,1217,133,1,(x6),"4,437,612","619,879,245"
Travis Scott - SICKO MODE,1046,190,1,(x19),"4,129,691","586,638,599"
Harry Styles - As It Was,687,211,1,(x40),"5,953,134","576,606,197"
Offset - Ric Flair Drip,1431,86,4,,"1,040,394","546,773,537"
Post Malone - Congratulations,1215,136,5,,"1,263,208","546,036,924"
J. Cole - MIDDLE CHILD,1327,106,1,(x16),"3,800,251","545,335,547"
Morgan Wallen - Last Night,466,244,1,(x56),"3,143,730","544,511,691"
Post Malone - I Fall Apart,1278,132,2,(x14),"1,275,320","543,144,261"
Drake - God's Plan,634,139,1,(x70),"4,739,798","534,994,242"
SZA - Kill Bill,519,211,1,(x44),"2,976,280","534,137,800"
Morgan Wallen - Whiskey Glasses,1709,,33,,"540,007","533,649,356"
Drake - One Dance,969,187,1,(x103),"2,767,175","528,002,274"
Morgan Wallen - Wasted On You,1185,10,1,(x1),"1,232,815","525,495,679"
Zach Bryan - Something in the Orange,750,24,4,,"1,001,841","520,560,566"
Roddy Ricch - The Box,651,197,1,(x85),"3,781,452","504,577,095"
The Weeknd - Starboy,1146,141,1,(x29),"2,070,596","498,680,653"
The Weeknd - Die For You,1155,29,7,,"989,037","497,006,994"
Lil Baby - Yes Indeed,1220,43,2,(x9),"1,838,350","482,069,696"
XXXTENTACION - Fuck Love,1418,9,5,,"2,438,715","477,331,213"
"Tyler, The Creator - See You Again",1064,64,3,(x1),"1,165,354","475,958,688"
Kendrick Lamar - LOVE. FEAT. ZACARI.,1233,25,5,,"2,063,209","468,460,631"
The Kid LAROI - Stay,648,271,1,(x45),"2,345,292","465,525,195"
The Weeknd - The Hills,1457,194,1,(x6),"1,147,436","465,376,719"
Steve Lacy - Dark Red,1007,,11,,"671,154","464,911,167"
Post Malone - Better Now,862,72,1,(x8),"3,467,168","463,551,468"
Morgan Wallen - You Proof,728,40,7,,"1,723,507","460,904,440"
Olivia Rodrigo - good 4 u,564,187,1,(x53),"4,974,833","458,968,457"
Joji - SLOW DANCING IN THE DARK,1520,,26,,"661,274","443,778,087"
Juice WRLD - Robbery,1086,38,2,(x2),"1,724,447","443,773,199"
Billie Eilish - lovely,1261,,18,,"733,267","441,174,226"
Taylor Swift - Cruel Summer,547,166,1,(x2),"2,277,951","437,592,575"
Steve Lacy - Bad Habit,547,158,1,(x66),"1,691,327","431,581,262"
XXXTENTACION - Moonlight,923,57,2,(x2),"3,167,290","431,568,186"
Kendrick Lamar - Money Trees,1220,,35,,"698,388","420,915,843"
Arctic Monkeys - 505,1179,,13,,"510,329","417,925,042"
Lewis Capaldi - Someone You Loved,962,40,5,,"1,118,953","413,862,126"
Harry Styles - Watermelon Sugar,990,65,3,(x3),"1,609,066","409,630,847"
Fleetwood Mac - Dreams - 2004 Remaster,1227,17,6,,"1,032,229","409,079,810"
SZA - Good Days,976,83,1,(x3),"1,387,122","408,178,394"
The Killers - Mr. Brightside,1371,,21,,"627,730","406,668,320"
Post Malone - Wow.,699,115,1,(x6),"2,317,682","405,812,776"
Khalid - Location,999,29,9,,"958,542","403,645,089"
Taylor Swift - Anti-Hero,543,77,1,(x14),"7,786,096","401,198,539"
The Chainsmokers - Closer,696,158,1,(x70),"2,504,045","397,735,618"
Post Malone - Psycho,607,107,1,(x1),"3,261,937","396,525,691"
Baby Keem - family ties,897,29,3,(x1),"1,422,177","394,358,250"
Drake - Jimmy Cooks,653,107,1,(x1),"3,642,078","393,432,534"
Childish Gambino - Redbone,1173,42,8,,"950,460","392,334,227"
Bryson Tiller - Don't,1384,37,7,,"649,135","390,182,491"
Mariah Carey - All I Want for Christmas Is You,484,197,1,(x15),"4,506,456","390,156,534"
Dua Lipa - Levitating,738,113,3,(x3),"1,284,080","387,860,108"
Billie Eilish - bad guy,653,108,1,(x20),"2,931,099","386,217,738"
Olivia Rodrigo - drivers license,613,99,1,(x46),"6,145,601","381,085,710"
Doja Cat - Kiss Me More,557,151,1,(x11),"1,846,647","379,480,464"
Noah Kahan - Stick Season,550,127,1,(x2),"1,838,333","379,184,113"
J. Cole - Wet Dreamz,1563,,12,,"439,524","373,988,008"
Lil Nas X - INDUSTRY BABY,474,267,1,(x42),"2,492,612","373,907,821"
DaBaby - ROCKSTAR,549,164,1,(x65),"1,975,668","373,388,283"
d4vd - Romantic Homicide,645,57,2,(x1),"1,061,087","367,740,736"
Brenda Lee - Rockin' Around The Christmas Tree,387,150,1,(x60),"6,013,031","366,242,011"
Kanye West - Heartless,937,,34,,"712,943","360,988,435"
Meek Mill - Going Bad,655,117,2,(x10),"1,719,834","355,305,131"
Lil Mosey - Blueberry Faygo,603,152,2,(x12),"1,428,849","355,016,723"
Khalid - Young Dumb & Broke,904,69,5,,"1,045,479","349,563,888"
Drake - Passionfruit,915,51,1,(x13),"2,811,262","348,319,991"
Ed Sheeran - Shape of You,618,96,1,(x48),"2,156,546","348,283,656"
Luke Combs - Beautiful Crazy,1270,,54,,"454,279","346,088,422"
SZA - Snooze,519,11,9,,"1,936,152","346,006,731"
Kanye West - Father Stretch My Hands Pt. 1,1048,12,4,,"855,048","344,327,590"
Ariana Grande - 7 rings,559,72,1,(x34),"3,961,641","332,694,161"
Drake - Wants and Needs,761,25,2,(x10),"3,489,465","331,704,301"
Billie Eilish - when the party's over,787,9,5,,"1,592,762","331,192,577"
Cardi B - I Like It,548,98,2,(x1),"1,636,133","329,059,657"
Zach Bryan - I Remember Everything,260,191,1,(x7),"2,496,753","327,793,080"
Lil Uzi Vert - 20 Min,1161,,45,,"413,436","325,230,347"
Drake - Knife Talk,627,91,2,(x3),"3,908,883","323,647,463"
Bad Bunny - Me Porto Bonito,499,154,2,(x27),"1,947,674","323,205,934"
Lizzo - Truth Hurts,535,161,2,(x3),"1,400,026","321,459,791"
Halsey - Without Me,617,113,5,,"1,345,243","320,826,979"
Logic - 1-800-273-8255,590,111,1,(x10),"1,559,318","320,245,347"
Bebe Rexha - Meant to Be,801,,15,,"787,868","318,478,528"
"Ariana Grande - thank u, next",463,93,1,(x42),"4,190,968","317,987,550"
Eslabon Armado - Ella Baila Sola,373,123,1,(x54),"2,274,928","317,020,081"
BlocBoy JB - Look Alive,495,98,2,(x4),"1,802,950","316,629,241"
Marshmello - Happier,650,28,5,,"1,201,728","316,018,345"
Chris Stapleton - Tennessee Whiskey,1196,,34,,"475,179","315,707,035"
