artist_title,days,t10,pk,x?,pkstreams,total
Manuel Turizo - La Bachata,711,227,1,(x115),"52,099","13,241,559"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",635,203,1,(x66),"81,221","12,607,232"
Big One - Un Finde | CROSSOVER #2,403,208,1,(x52),"66,035","10,768,903"
TINI - Miénteme,1090,153,1,(x29),"48,717","10,767,696"
Big One - En la Intimidad,465,201,1,(x36),"56,360","10,200,370"
Luck Ra - La Morocha,310,192,1,(x59),"89,565","8,836,528"
Luck Ra - Ya No Vuelvas (Versión Cuarteto),513,28,8,,"37,685","8,619,659"
Rei - Tu Turrito,629,161,3,(x49),"39,895","8,544,548"
Taiu - Rara Vez,456,86,2,(x2),"36,030","8,255,655"
BM - Ni Una Ni Dos,317,176,1,(x4),"52,602","8,088,790"
Matías Valdez - Latidos,968,,11,,"26,093","7,862,954"
LIT killah - Los del Espacio,345,123,1,(x35),"71,551","7,742,023"
BM - M.A (Mejores Amigos),520,96,2,(x9),"45,680","7,716,450"
TINI - La Triple T,633,117,1,(x33),"31,444","7,449,457"
Ozuna - Hey Mor,539,128,2,(x1),"34,083","7,431,889"
ROSALÍA - DESPECHÁ,546,168,2,(x6),"48,117","7,359,591"
LiL CaKe - MERCHO,434,111,1,(x6),"49,418","7,345,111"
"Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48",763,127,1,(x42),"43,656","7,287,824"
Quevedo - PUNTO G,519,105,2,(x13),"44,234","7,184,532"
Bad Bunny - Me Porto Bonito,603,146,1,(x12),"31,159","7,143,798"
Emilia - Como Si No Importara,980,99,1,(x14),"36,485","6,846,596"
Quevedo - Columbia,310,96,1,(x44),"56,265","6,826,836"
TINI - Bar,674,118,1,(x50),"54,962","6,751,866"
Maluma - Hawái,660,146,1,(x75),"49,082","6,679,665"
Jay Wheeler - La Curiosidad,1082,123,2,(x8),"23,063","6,635,902"
Maria Becerra - CORAZÓN VACÍO,324,103,2,(x12),"47,453","6,610,617"
Myke Towers - LALA,328,106,1,(x24),"59,107","6,574,821"
Luck Ra - Quiero Creer,464,4,9,,"33,345","6,544,146"
Maria Becerra - ADIÓS,518,10,8,,"26,250","6,532,345"
Feid - Classy 101,408,104,2,(x11),"41,460","6,515,876"
Rauw Alejandro - Desesperados,685,118,1,(x29),"26,790","6,450,817"
Feid - Feliz Cumpleaños Ferxxo,632,,14,,"21,170","6,372,957"
Yandel - Yandel 150,414,112,4,,"38,309","6,337,348"
LA NUEVA ESCUELA - Tu y Yo,411,44,3,(x1),"36,822","6,229,961"
KAROL G - Tusa,644,180,1,(x119),"43,946","6,137,653"
Mesita - Una Foto,270,114,1,(x4),"52,206","6,124,126"
No Te Va Gustar - A las Nueve,2115,,66,,"8,544","6,065,764"
Rauw Alejandro - Todo De Ti,694,93,1,(x22),"44,392","6,012,172"
Quevedo - VISTA AL MAR,539,96,6,,"27,886","5,938,697"
Bad Bunny - Ojitos Lindos,539,102,2,(x20),"24,413","5,915,576"
