artist_title,days,t10,pk,x?,pkstreams,total
Bad Bunny - Me Porto Bonito,737,246,1,(x37),"79,005","9,898,530"
Manuel Turizo - La Bachata,712,243,1,(x47),"26,619","9,779,067"
Mora - LA INOCENTE,772,182,3,(x3),"18,706","9,602,028"
Feid - Feliz Cumpleaños Ferxxo,632,223,1,(x2),"27,035","8,773,505"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",643,195,1,(x76),"52,705","8,137,459"
Ozuna - Hey Mor,583,245,1,(x16),"28,421","8,136,882"
Bad Bunny - Efecto,735,209,3,(x15),"54,594","7,841,861"
Feid - Classy 101,408,292,1,(x39),"43,242","7,736,833"
Feid - Normal,674,105,1,(x1),"39,448","7,710,241"
KAROL G - PROVENZA,751,126,1,(x10),"26,582","7,486,451"
Bad Bunny - Ojitos Lindos,736,122,2,(x3),"60,672","7,355,396"
Yandel - Yandel 150,502,174,1,(x35),"38,015","7,044,528"
Bad Bunny - Moscow Mule,680,137,1,(x6),"97,954","6,863,003"
Bad Bunny - Tití Me Preguntó,514,165,1,(x23),"77,270","6,828,698"
Feid - CHORRITO PA LAS ANIMAS,527,162,3,(x1),"25,269","6,407,544"
KAROL G - TQG,443,132,1,(x33),"53,143","6,322,847"
Bad Bunny - PERRO NEGRO,212,210,1,(x54),"89,312","6,109,198"
Arcángel - La Jumpa,464,129,1,(x42),"40,104","6,038,392"
KAROL G - AMARGURA,434,229,1,(x1),"38,975","5,944,227"
Quevedo - Columbia,310,220,1,(x43),"35,942","5,731,536"
Myke Towers - LALA,325,171,1,(x33),"45,747","5,551,947"
Mora - MODELITO,555,20,4,,"36,825","5,549,665"
Plan B - Es un Secreto,763,4,10,,"16,371","5,528,691"
Feid - LUNA,163,160,1,(x125),"46,873","5,490,753"
KAROL G - QLONA,275,247,1,(x2),"34,357","5,306,158"
Feid - Ferxxo 100,709,2,6,,"17,651","5,298,530"
Mora - MEMORIAS,772,4,2,(x1),"15,739","5,101,606"
Bad Bunny - Tarot,600,104,4,,"74,777","5,010,059"
Quevedo - PUNTO G,550,39,7,,"22,365","4,906,067"
Rauw Alejandro - LOKERA,614,77,7,,"16,927","4,888,873"
Eladio Carrion - Coco Chanel,422,132,1,(x6),"44,478","4,802,354"
Harry Styles - As It Was,747,35,1,(x4),"20,705","4,579,093"
Becky G - MAMIII,692,39,1,(x3),"15,410","4,577,388"
J Balvin - LA CANCIÓN,776,,25,,"9,564","4,558,743"
Rauw Alejandro - Desesperados,670,39,1,(x6),"13,301","4,557,050"
Jimin - Like Crazy,414,54,4,,"23,808","4,526,766"
Bad Bunny - WHERE SHE GOES,351,97,1,(x27),"61,548","4,522,795"
Bad Bunny - Neverita,515,9,8,,"57,381","4,421,038"
Morat - No Se Va,774,,11,,"9,214","4,358,895"
Danny Ocean - Me Rehúso,776,,34,,"8,646","4,351,260"
Sky Rompiendo - El Cielo,345,88,1,(x15),"33,278","4,276,036"
KAROL G - X SI VOLVEMOS,464,36,3,(x5),"31,429","4,265,187"
Danny Ocean - Fuera del mercado,720,39,1,(x5),"13,109","4,123,980"
Quevedo - VISTA AL MAR,551,,11,,"15,487","4,074,502"
Mora - Tuyo,684,,28,,"12,252","3,968,477"
Taiu - Rara Vez,451,4,8,,"16,593","3,964,076"
Jhayco - Holanda,289,75,1,(x2),"26,971","3,822,923"
Yng Lvcas - La Bebe - Remix,403,96,4,,"22,176","3,735,045"
Rels B - cómo dormiste?,627,3,9,,"14,691","3,728,035"
KAROL G - MIENTRAS ME CURO DEL CORA,443,14,8,,"19,844","3,684,347"
Bad Bunny - Party,379,86,5,,"64,240","3,643,197"
Feid - Prohibidox,574,15,7,,"17,659","3,552,845"
Jung Kook - Seven,303,81,2,(x1),"42,577","3,541,267"
Bad Bunny - La Corriente,425,33,9,,"60,547","3,513,739"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",295,67,1,(x13),"84,117","3,387,885"
Rawayana - Dame Un Break,380,9,7,,"18,211","3,386,029"
KAROL G - CAIRO,503,1,10,,"18,444","3,380,919"
Marshmello - El Merengue,436,,19,,"10,996","3,334,709"
SAIKO - POLARIS - Remix,338,8,4,,"21,245","3,284,949"
Shakira - Te Felicito,470,4,10,,"16,557","3,284,573"
Mora - Volando - Remix,705,,14,,"9,203","3,256,758"
Mora - DONDE SE APRENDE A QUERER?,257,51,1,(x1),"99,919","3,254,406"
Don Omar - Dile,744,,36,,"8,386","3,248,598"
Morat - Cuando Nadie Ve,769,,15,,"7,600","3,241,341"
Bad Bunny - MONACO,212,84,1,(x5),"128,652","3,233,036"
Eladio Carrion - Me Gustas Natural,751,,16,,"6,883","3,220,798"
KAROL G - GATÚBELA,403,50,6,,"17,667","3,188,818"
Tainy - Lo Siento BB:/,586,25,8,,"16,862","3,180,451"
ROSALÍA - DESPECHÁ,421,37,6,,"19,121","3,148,535"
Lasso - Ojos Marrones,532,,12,,"13,151","3,069,230"
KAROL G - MI EX TENÍA RAZÓN,275,12,4,,"26,447","3,005,067"
Tego Calderón - Pa' Que Retozen,733,,59,,"6,855","2,989,880"
Bacilos - Caraluna,721,,45,,"7,871","2,945,842"
Mora - 512,772,,41,,"10,003","2,934,192"
Jay Wheeler - La Curiosidad,714,,39,,"8,329","2,929,626"
Bad Bunny - Yonaguni,545,2,10,,"11,623","2,910,437"
Eladio Carrion - Kemba Walker,711,,53,,"7,267","2,896,557"
Eladio Carrion - Hola Como Vas,740,,44,,"6,492","2,881,103"
Mora - REINA,257,39,1,(x7),"90,295","2,855,000"
Grupo Frontera - un x100to,320,44,2,(x7),"27,263","2,834,043"
Tainy - MOJABI GHOST,317,41,1,(x3),"47,384","2,817,720"
Eladio Carrion - Mbappe,468,7,4,,"19,718","2,773,362"
Bad Bunny - Si Estuviésemos Juntos,758,,36,,"8,310","2,744,076"
Bad Gyal - Chulo pt.2,313,37,8,,"15,544","2,733,260"
Maluma - Según Quién,241,20,8,,"15,614","2,729,279"
Darell - Lollipop,224,75,3,(x5),"27,859","2,727,447"
Morat - Besos En Guerra,717,,13,,"7,134","2,703,583"
Bad Bunny - Un Ratito,347,53,6,,"69,072","2,701,519"
ROSALÍA - BESO,293,35,3,(x1),"28,162","2,692,556"
Rauw Alejandro - PUNTO 40,338,48,4,,"18,373","2,674,931"
ELENA ROSE - CARACAS EN EL 2000,198,81,2,(x1),"25,394","2,666,465"
Bad Bunny - Una Vez,727,,37,,"9,044","2,638,736"
Mora - COMO HAS ESTAU?,509,3,9,,"30,882","2,602,260"
Eladio Carrion - 3 Am,634,,56,,"6,576","2,576,065"
Ñengo Flow - Gato de Noche,322,25,2,(x1),"25,972","2,574,266"
Eslabon Armado - Ella Baila Sola,260,61,2,(x7),"25,989","2,523,239"
Rawayana - Binikini,436,,28,,"9,883","2,513,459"
Piso 21 - Te Vi,732,,55,,"6,584","2,498,732"
Bad Bunny - Un Coco,455,,17,,"43,713","2,458,213"
Carlos Baute - Colgando en tus manos (con Marta Sánchez),701,,67,,"5,674","2,445,173"
