artist_title,days,t10,pk,x?,pkstreams,total
Jung Kook - Seven,303,303,1,(x168),"1,139,605","109,920,415"
Jimin - Like Crazy,414,397,1,(x83),"446,602","71,895,492"
RPT MCK - Chìm Sâu,808,247,1,(x8),"88,934","38,457,004"
Sơn Tùng M-TP - Chúng Ta Của Hiện Tại,1239,350,1,(x81),"241,021","36,383,774"
Emcee L (Da LAB) - Chuyện Đôi Ta,892,229,2,(x7),"69,726","34,776,187"
GREY D - vaicaunoicokhiennguoithaydoi,692,267,1,(x6),"94,006","33,836,180"
Madihu - Vì Anh Đâu Có Biết,647,291,2,(x10),"81,046","32,964,848"
V - Love Me Again,275,212,1,(x6),"310,177","32,821,332"
tlinh - nếu lúc đó,437,213,1,(x17),"256,080","32,740,298"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),537,193,1,(x29),"366,422","32,286,852"
BTS - Butter,666,474,1,(x90),"380,465","31,737,206"
Jung Kook - Standing Next to You,190,188,1,(x64),"413,893","29,926,671"
Sơn Tùng M-TP - Muộn Rồi Mà Sao Còn,1109,258,1,(x33),"191,467","29,634,340"
BTS - Dynamite,945,321,1,(x60),"607,785","28,602,393"
Wren Evans - Từng Quen,200,196,1,(x16),"355,680","27,744,521"
T.R.I - Ánh Sao Và Bầu Trời,922,77,1,(x11),"49,111","27,559,945"
JSOL - Sài Gòn Hôm Nay Mưa,1078,56,2,(x7),"54,316","27,218,759"
Đen - Lối Nhỏ,1660,202,1,(x57),"40,279","26,932,565"
Lynk Lee - Buồn Thì Cứ Khóc Đi,1573,31,8,,"38,152","25,954,562"
Emcee L (Da LAB) - Sinh Ra Đã Là Thứ Đối Lập Nhau,968,,16,,"57,635","25,864,044"
RPT MCK - Anh Đã Ổn Hơn,437,109,3,(x15),"108,365","25,651,583"
Madihu - Có Em,749,44,2,(x1),"53,572","25,425,083"
Da LAB - Thanh Xuan,2088,143,1,(x32),"28,096","25,415,078"
Vũ. - Lạ Lùng,2218,,12,,"37,596","24,762,706"
Wren Evans - Thích Em Hơi Nhiều,1058,63,1,(x7),"70,460","24,670,093"
MONSTAR - có hẹn với thanh xuân,1004,47,4,,"44,709","24,638,123"
Vũ. - Bước Qua Mùa Cô Đơn,1245,134,1,(x8),"52,709","24,531,618"
Đen - Đi Về Nhà,1239,75,1,(x1),"70,950","24,116,409"
Thịnh Suy - Chuyện Rằng,1372,160,4,,"28,374","24,053,708"
RPT Orijinn - Don't Côi,503,37,2,(x2),"67,762","23,818,264"
Low G - An Thần,934,42,1,(x7),"61,643","23,763,128"
tlinh - Thích Quá Rùi Nà,1332,,30,,"56,659","23,660,263"
W/N - 3107 3,1016,60,1,(x9),"52,530","23,310,829"
Da LAB - Thức Giấc,1033,82,1,(x16),"55,323","23,270,280"
Da LAB - Chạy Khỏi Thế Giới Này,682,4,9,,"56,584","23,044,137"
14 Casper - bao tiền một mớ bình yên?,797,27,7,,"46,115","22,945,098"
NÂN - Tình Đắng Như Ly Cà Phê,1409,,14,,"31,961","22,675,803"
Đen - Bài Này Chill Phết,1801,273,1,(x17),"26,692","22,219,370"
Hoàng Dũng - Nàng Thơ,1185,137,2,(x31),"42,189","21,837,957"
Dhruv - double take,1098,83,7,,"32,713","21,636,005"
Thịnh Suy - tiny love,888,57,2,(x2),"45,833","21,468,810"
Jung Kook - 3D,226,48,2,(x25),"569,400","21,109,481"
V - Slow Dancing,197,92,1,(x2),"561,905","20,767,450"
Da LAB - Gác Lại Âu Lo,1218,226,1,(x6),"33,236","20,761,784"
Chillies - Cứ Chill Thôi,1221,51,4,,"32,197","20,289,189"
RPT MCK - Tại Vì Sao,597,60,3,(x15),"67,302","19,829,248"
W/N - 3 1 0 7,1040,,11,,"44,274","19,802,494"
RPT MCK - Chỉ Một Đêm Nữa Thôi,437,2,4,,"73,730","19,075,384"
buitruonglinh - Dù Cho Mai Về Sau,1150,3,9,,"30,153","18,951,139"
GREY D - đưa em về nhàa,384,75,3,(x1),"115,640","18,929,582"
GREY D - dự báo thời tiết hôm nay mưa,536,24,5,,"47,405","18,804,059"
HIEUTHUHAI - ngủ một mình (tình rất tình),513,58,1,(x1),"59,695","18,789,461"
O.lew - Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,478,14,5,,"54,867","18,650,341"
Vũ. - Bước Qua Nhau,801,149,1,(x31),"93,035","18,470,078"
BTS - Boy With Luv,1413,184,1,(x71),"229,652","17,967,386"
W/N - id 072019,285,68,3,(x9),"106,957","17,657,394"
HIEUTHUHAI - Nghe Như Tình Yêu,965,,41,,"40,406","17,101,487"
HIEUTHUHAI - Không Thể Say,389,14,7,,"75,683","16,979,733"
Tóc Tiên - Có Ai Thương Em Như Anh,708,,20,,"40,552","16,851,860"
Sơn Tùng M-TP - Âm Thầm Bên Em,1299,,29,,"43,886","16,582,497"
Đức Phúc - Ngày Đầu Tiên,774,78,2,(x15),"77,787","16,550,336"
JustaTee - Thằng Điên,583,,18,,"43,583","16,449,869"
Vũ. - Những Lời Hứa Bỏ Quên,149,119,1,(x9),"250,035","16,406,887"
Coldplay - My Universe,586,231,1,(x42),"617,887","16,266,076"
Changg - Em Không Hiểu,1047,,25,,"30,451","16,077,968"
RPT MCK - Thôi Em Đừng Đi,437,10,8,,"60,604","16,053,543"
Chillies - Mascara,1220,188,2,(x9),"24,806","15,881,043"
Karik - Bạn Đời,220,69,5,,"140,191","15,775,029"
W/N - 3 1 0 7 - 2,1170,,24,,"24,685","15,732,359"
RHYDER - Chịu Cách Mình Nói Thua,172,126,4,,"133,158","15,566,115"
Orange - Khi Em Lớn,1031,62,3,(x2),"34,739","15,252,370"
Vũ Phụng Tiên - Lệ Lưu Ly,234,67,6,,"102,900","15,016,137"
Myra Trần - Anh Chưa Thương Em Đến Vậy Đâu,489,32,4,,"56,737","14,944,524"
Sơn Tùng M-TP - CÓ CHẮC YÊU LÀ ĐÂY,1087,97,1,(x10),"98,628","14,831,198"
Phương Ly - Anh Là Ngoại Lệ Của Em,219,58,6,,"117,363","14,743,929"
Thịnh Suy - Chết Trong Em,558,39,3,(x3),"44,136","14,559,141"
MONO - Waiting For You,421,130,1,(x24),"98,630","14,506,052"
Low G - Simp Gái 808,208,29,7,,"102,198","14,392,784"
Andree Right Hand - Chơi Như Tụi Mỹ,359,47,3,(x1),"86,091","14,226,240"
2T - Liệu Giờ,1048,,20,,"26,651","14,050,275"
Jung Kook - Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],279,135,1,(x19),"248,268","13,975,193"
Phương Ly - ThichThich,609,3,5,,"32,133","13,948,459"
WEAN - shhhhhhh..,218,11,7,,"91,252","13,819,231"
Văn Mai Hương - Một Ngàn Nỗi Đau,685,8,7,,"45,148","13,720,185"
MONSTAR - tình yêu chậm trễ,523,,39,,"39,111","13,608,267"
AMEE - từ thích thích thành thương thương,913,75,4,,"29,764","13,343,731"
Obito - Đánh Đổi (ft. RPT MCK),215,25,6,,"101,333","13,300,846"
JustaTee - 2AM,729,,14,,"43,097","13,296,809"
Minh Huy - Miên Man,251,6,9,,"71,150","13,291,565"
Pink Sweat$ - At My Worst,895,46,5,,"29,739","13,181,203"
Suni Hạ Linh - có hẹn với thanh xuân,655,,22,,"29,088","13,156,527"
Kai Đinh - để tôi ôm em bằng giai điệu này,505,,11,,"43,660","12,882,501"
PC - 10 Ngàn Năm,697,,34,,"41,417","12,809,729"
Andiez - Anh Đánh Rơi Người Yêu Này,547,,15,,"39,208","12,747,661"
GREY D - lời tạm biệt chưa nói,651,,20,,"30,954","12,657,730"
Tăng Duy Tân - Bật Tình Yêu Lên,446,19,3,(x1),"72,863","12,620,190"
VSOUL - Buồn Hay Vui,137,75,3,(x7),"207,441","12,613,494"
Wren Evans - Tò Te Tí,146,65,1,(x1),"185,410","12,598,792"
HIEUTHUHAI - Bật Nhạc Lên,1303,,54,,"25,439","12,594,137"
The Kid LAROI - Stay,722,151,1,(x30),"45,857","12,569,057"
