,country,artist,title,lyrics
0,United States,The Weeknd,Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
1,United Kingdom,The Killers,Mr. Brightside,"231 ContributorsTranslationsFrançaisDeutschMr. Brightside Lyrics
Comin' out of my cage, and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
And I just can't look, it's killing me
They're taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside
See The Killers LiveGet tickets as low as $70You might also like
I'm comin' out of my cage, and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
(It was only a kiss) It was only a kiss
Now I'm falling asleep and she's calling a cab
While he's havin' a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
'Cause I just can't look, it's killing me
They're taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside

I never
I never
I never
I never203Embed"
2,Andorra,Luis Fonsi,Despacito (Featuring Daddy Yankee),"437 ContributorsTranslationsNederlandsไทย / Phasa ThaiSvenskaРусскийPortuguêsDeutschEnglishDespacito (Remix) Lyrics

Comin' over in my direction
So thankful for that, it's such a blessin', yeah
Turn every situation into heaven, yeah
Oh-oh, you are
My sunrise on the darkest day
Got me feelin' some kind of way
Make me wanna savor every moment slowly, slowly
You fit me tailor-made, love how you put it on
Got the only key, know how to turn it on
The way you nibble on my ear, the only words I wanna hear
Baby, take it slow so we can last long

¡Oh! Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (Oh, yeah)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)
You might also like
Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bom, bom
Sabes que esa beba está buscando de mi bom, bom
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)

Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

Despacito
This is how we do it down in Puerto Rico
I just wanna hear you screaming, ""¡Ay, bendito!""
I can move forever cuando esté contigo
¡Báilalo!
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (DY)
Despacito416Embed"
3,Argentina, Manuel Turizo,La Bachata,"10 ContributorsTranslationsEnglishDeutschLa Bachata Lyrics

Te bloqueé de Insta, pero por otra cuenta veo tus historias (Oh-oh-oh)
Tu número lo borré; no sé pa' qué si me lo sé de memoria
Me hiciste daño, y así te extraño
Y aunque sé que un día te voy a olvidar
Aún no lo hago, es complicado
To' lo que hicimo' me gusta recordar

Ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide
Porque ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide, eh

Que me cuide de otra que se parezca a ti
No quiero caer como hice por ti
Ojalá te enamore, te haga lo mismo que me hiciste a mí
Tú me enseñaste a no amar a cualquiera
Y también cómo no quiero que me quieran
No-oh-oh, éramos tres en una relación de dos
No te perdono, pídele perdón a Dios
Dije que te olvidé y la verdad e' que yo-oh-oh
Yo-oh-oh
See Manuel Turizo LiveGet tickets as low as $92You might also like
Ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide
Porque ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide, eh

Manuel TurizoEmbed"
4,Australia,Glass Animals,Heat Waves,"161 ContributorsTranslationsItalianoDeutschFrançaisHeat Waves Lyrics
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
See Glass Animals LiveGet tickets as low as $34You might also like
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror84Embed"
5,Austria,Apache 207,Roller,"39 ContributorsTranslationsEnglishFrançaisRoller Lyrics

(Lucry)
(Suena)

Warum fickt ihr Kopf, Kopf?
Mein Kopf platzt, Gucci-Sandalen, ich trag' sie nur aus Trotz, Trotz
Trotzdem machen sie mir nach, kann's nicht glauben, lieber Gott
Gott sei Dank schützt du mich, wenn meine Wespe ma' wieder rollt
Wenn sie rollt (Brrm)
Bin auf dem Weg
Mit meinem Baby, sie sticht zu, geht besser aus dem Weg
Mit zehn PS in deine Stadt, es wird nicht angenehm
Zähl' auf meine Wespe und jetzt bringt sie euch zum Schafe zähl'n
Na-na-ne (Na-na-ne)
Eins-gegen-eins, er kriegt 'ne Bombe, ruft sein'n Bro, aber vergisst, mein Abi boxt sein'n Abi
Cruis' mit offenen Haaren und hinter mir sitzt eine Bitch like Barbie, Hood-Safari
Steig' auf die Speedfight, scheiß auf Kawasaki, let's go, Barbie
Kickdown, mit siebzig auf eure Party (Brrm)

Sie machen Fotos, Taschen platzen, aber Apache bleibt gleich (Brrm)
Brudi, ich muss los, wenn die Roller wieder schrei'n (Brrm)
Reden mir von Koks und von Messerstecherei'n (Brrm)
Doch sie müssen los, wenn unsre Roller wieder schrei'n (Brrm, brrm)
See Apache 207 LiveGet tickets as low as $80You might also like
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm)

Markier den Harten, Bro
Wenn man der Sache auf den Grund geht, merkt man, das ist in der Tat nicht so
Ruf doch, wen du willst, von mir aus kannst du auch dein'n Papi hol'n
Schwänze lutschen ist bei euch kleinen Pissern doch Tradition
Mach nicht so
Party-Hoes
Seh'n mich im Unterhemd, schiel'n zu mir rüber, sie checken mein'n Body aus
Bitch, hundertfünf Kilogramm Definition ohne Cardio
Ob du's willst oder nicht, Bro, Apache läuft ab heut im Radio
Da-di-oh (Brrm)

Sie machen Fotos, Taschen platzen, aber Apache bleibt gleich (Brrm)
Brudi, ich muss los, wenn die Roller wieder schrei'n (Brrm)
Reden mir von Koks und von Messerstecherei'n (Brrm)
Doch sie müssen los, wenn unsre Roller wieder schrei'n (Brrm, brrm)

Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm)
Brrm, brrm
Brrm, brrm14Embed"
6,Belarus,xxxmanera,Never Broke Again,"41 ContributorsTranslationsEnglishNever Broke Again Lyrics

Люди всегда готовы дать свою любовь кому-нибудь, кто этого заслуживает
(I got my swag now)
Так случилось со мной, так случится и с тобой (Wake up, Star)
(Yeah, I got my own-own swag now)
Будь терпимее к людям и знай: быть добрым — всегда самый беспроигрышный вариант
(Yeah, I got my own-own-own-own-own-own-own-own)

Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is extendin'
I grab the shit of my crime

Сломанный ублюдок — тот, кем мне никогда не стать
Карманы жрут купюры, стоило мне лишь начать
Словно Боинг, сука
​manera создан, чтоб летать
Мне не тянули руку
Я сам научился сиять
You might also like
Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is extendin'
I'm grab the shit of my crime
Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is еxtendin'
I'm grab the shit of my crime

Кто бы мог подумать, а
Lil' shawty точно влюблена
Тупит, но вроде не дура, а
Запрыгнет со мной в бумер, а
Я видел это тыщу раз
Две тыщи слёз из тыщи глаз
​manеra bless, топлю на газ
Ты знаешь, что скажу сейчас
Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is extendin'
I'm grab the shit of my crime12Embed"
7,Belgium,The Weeknd,Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
8,Bolivia,Manuel Turizo,La Bachata,"10 ContributorsTranslationsEnglishDeutschLa Bachata Lyrics

Te bloqueé de Insta, pero por otra cuenta veo tus historias (Oh-oh-oh)
Tu número lo borré; no sé pa' qué si me lo sé de memoria
Me hiciste daño, y así te extraño
Y aunque sé que un día te voy a olvidar
Aún no lo hago, es complicado
To' lo que hicimo' me gusta recordar

Ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide
Porque ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide, eh

Que me cuide de otra que se parezca a ti
No quiero caer como hice por ti
Ojalá te enamore, te haga lo mismo que me hiciste a mí
Tú me enseñaste a no amar a cualquiera
Y también cómo no quiero que me quieran
No-oh-oh, éramos tres en una relación de dos
No te perdono, pídele perdón a Dios
Dije que te olvidé y la verdad e' que yo-oh-oh
Yo-oh-oh
See Manuel Turizo LiveGet tickets as low as $92You might also like
Ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide
Porque ando manejando por las calles que me besaste
Oyendo las canciones que un día me dedicaste
Te diría que volvieras, pero eso no se pide
Mejor le pido a Dios que me cuide, eh

Manuel TurizoEmbed"
9,Brazil,Marília Mendonça,Leão,"8 ContributorsTranslationsEnglishLeão Lyrics

Beijo, Xamã
Segura, Xamã

Que o Sol da manhã te dissolva, seu vampiro de filmes pastelão
Mas quem vai nos julgar?!
Sou seu despenteado leão

Sei que 'cê me entende bem
Sempre foge quando namora
Se você não ama ninguém
Por que tá me escutando agora?
Sua linda, tão louca, minha Mona Lisa, tira a minha roupa
Me fascina nessa sina, me beija na boca
Minha mulher menina, me ensina ser vida louca
Teu olho piscina, me afoga e faz boca a boca
Renova minha rima, vem dе garfo que hoje é sopa, menina

Mas quеm vai nos julgar?
Vilão particular
You might also like
Se eu subo nesse palco aqui
Foi Deus que me criou assim
E os holofotes vêm ao meu encontro
É que eu te amo e nem te conto
Não, não posso ser seu santo
Sou fato ou hipótese
Sou rei, cigano ou nômade
Desculpe esse meu jeito soberano
Mas hoje é por você que eu canto
É por você que eu canto (Vem)

Sei que 'cê me quer também
Marília leoa gostosa
Posso te ligar, meu bem?
Que que 'cê tá fazendo agora?
Tão lindo, tão louco, meu grande amigo
Depois de você, os outros são outros
'Cê tá fodido, vamo fazer amor
Cantar um sertanejo antigo e beijar na boca, amor
Pode ser até que você não me dê moral
Até me ver no espaço pela banca de jornal

Paparapá, papa, papara, papara, paparará
Paparapá, papa, papara, papara, papararáEmbed"
