Unnamed: 0,country,artist,title,lyrics
0,United States,The Weeknd,Blinding Lights,"I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
1,United Kingdom,The Killers,Mr. Brightside,"It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
And I just can't look, it's killing me
They're taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside
See The Killers LiveGet tickets as low as $70You might also like
I'm comin' out of my cage, and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
(It was only a kiss) It was only a kiss
Now I'm falling asleep and she's calling a cab
While he's havin' a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
'Cause I just can't look, it's killing me
They're taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside

I never
I never
I never
I never203Embed"
2,Andorra,Luis Fonsi,Despacito (Featuring Daddy Yankee),"Turn Every Situation Into Heaven, Yeah
OH-OH, you are
My Sunrise on The Darkest Day
Got Me Feelin 'Sub Kind of Way
Make me wanna savor every moment smowly, slowly
You fit me tailor-made, love how you put it on
GOT THE ONLY KEY, Know How To Turn It On
The Way You Nibble On My Ear, The Unly Words I Wanna Hear
Baby, Take It Slow SO WE CAN LET Long

Oh!You, you are the magnet and I am the metal
I'm approaching and I'm putting together the plan
Just thinking about the pulse (OH, Yeah)
Already, I am already liking more than normal
All my senses are asking for more
This must be taken without any hurry

Slowly
I want to breathe your neck slowly
Let me tell you things in my ear
So you remember if you are not with me
Slowly
I want to undress with kisses slowly
I sign on your labyrinth walls
And make your body a whole manuscript
(Go up, go up, go up
Go up up)
You Might Also Like
I want to see your hair dance, I want to be your rhythm (Woah, Woah)
That you teach my mouth (Woah, Woah)
Your favorite places (favorite, favorite, baby)
Let me exceed your danger zones (Woah, Woah)
Until causing your screams (Woah, Woah)
And forgot your last name

If I ask you a kiss, come, give it to me, I know you are thinking about it
I've been trying for a while, this is giving and giving it
You know your heart with me makes you bom, bom
You know that baby is looking for my bom, bom
Come, proof of my mouth to see how you know you
I want, I want, I want to see how much love you can
I am in a hurry, I want to take the trip
Let's start slow, then wild

Passy step, soft soft
We are going to stick a little bit
When you kiss me with that skill
I see that you are a delicacy malice
Passy step, soft soft
We are going to stick a little bit
And this beauty is a puzzle
But pa 'assemble it here I have the piece
Hey!
Slowly
I want to breathe your neck slowly
Let me tell you things in my ear
So you remember if you are not with me
Slowly
I want to undress with kisses slowly
I sign on your labyrinth walls
And make your body a whole manuscript
(Go up, go up, go up
Go up up)

I want to see your hair dance, I want to be your rhythm (Woah, Woah)
That you teach my mouth (Woah, Woah)
Your favorite places (favorite, favorite, baby)
Let me exceed your danger zones (Woah, Woah)
Until causing your screams (Woah, Woah)
And forgot your last name

Slowly
This is How We Do It Down in Puerto Rico
I Just Wanna Hear You Screaming, ""Oh, blessed!""
I Can Move Forever when I am with you
Báila it!
Passy step, soft soft
We are going to stick a little bit
That you teach my mouth
Your favorite places
(Favorite, Favorite, Baby)
Passy step, soft soft
We are going to stick a little bit
Until your screams (Fonsi)
And forgot your last name (dy)
Despacito416embed"
3,Argentina, Manuel Turizo,La Bachata,"You hurt me, and so I miss you
And although I know that one day I'm going to forget you
I still don't do it, it's complicated
To 'what I did' I like to remember

I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me
Because I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me, huh

That takes care of another that looks like you
I don't want to fall as I did for you
I hope you fell in love, I do the same thing you did to me
You taught me not to love anyone
And also how do I not want them to love me
No-oh-oh, we were three in a two-way relationship
I don't forgive you, ask God for forgiveness
I said that I forgot you and the truth e 'that I-Oh-Oh
I-oh-oh
See Manuel Turizo Liveget Tickets As Low As $ 92you Might Also Like
I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me
Because I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me, huh

MANUEL TURIZOEMBED"
4,Australia,Glass Animals,Heat Waves,"(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
See Glass Animals LiveGet tickets as low as $34You might also like
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror84Embed"
5,Austria,Apache 207,Roller,"Why does your head fuck, head?
My head bursts, Gucci sandals, I only wear it out, despite
Nevertheless, they do it to me, cannot believe it, dear God
Thank god you protect me when my Waspe Ma 'rolls again
When she rolls (brrm)
I'm on my way
With my baby, she hurts, it is better to get out of the way
With ten hp into your city, it will not be pleasant
Count on my wasp and now it brings you to the sheep
Na-na-ne (na-na-ne)
One-against-one, he gets a bomb, calls his Bro, but forgets, my abi boxes his abi
Cruis' with open hair and behind me there is a Bitch Like Barbie, Hood Safari
Sleep on the Speedfight, Fuck Kawasaki, Let's Go, Barbie
Kickdown, with seventy on your party (brrm)

They take photos, pockets burst, but Apache stays the same (brrm)
Brudi, I have to go when the scooters scream again (brrm)
Talk to me about Koks and Messenstecherei (Brrm)
But you have to go when our scooter scream again (brrm, brrm)
See Apache 207 LiveGet Tickets as Low as $ 80you Might So Like
Apache remains the same (BRRM, Brrm)
Apache remains the same (BRRM, Brrm)
Apache remains the same (BRRM, Brrm)
Apache remains the same (brrm)

Mark the hard, Bro
If you get to the bottom of the matter, you notice that it is indeed not that
Call who you want, from me you can also get your dad
Sucking cocks is traditional with you little piss
Don't do that
Party hoes
See me in the undershirt, shell over to me, they check out my body
Bitch, a hundred kilograms of definition without cardio
Whether you want it or not, Bro, Apache runs from today on the radio
DA-DI-OH (BRRM)

They take photos, pockets burst, but Apache stays the same (brrm)
Brudi, I have to go when the scooters scream again (brrm)
Talk to me about Koks and Messenstecherei (Brrm)
But you have to go when our scooter scream again (brrm, brrm)

Apache remains the same (BRRM, Brrm)
Apache remains the same (BRRM, Brrm)
Apache remains the same (BRRM, Brrm)
Apache remains the same (brrm)
Brrm, brrm
Brrm, brrm14embed"
6,Belarus,xxxmanera,Never Broke Again,"It happened to me, it will happen to you (Wake Up, Star)
(Yeah, I Got My Own-Coan Swag Now)
Be more tolerant of people and know: to be kind - always the most win -win option
(Yeah, I Got My Own-Cown-Cown-Cown-Cown-Cown)

Grind it, chop it, mix it, flava-ith
Bitch, I get it on my mind
Smoke it, Roll it, Taste it, Bang it
Bitch, I canm Even High
You canm that meat i'm flexin '
Bitch, i'm on my demon time
You Know this My Flow IS Extendin '
I Grab the Shit of My Crime

Broken bastard is the one who I will never become
Pockets eat bills, as soon as I started
Like Boeing, bitch
Manera created to fly
They didn’t pull my hand
I myself learned to shine
You Might Also Like
Grind it, chop it, mix it, flava-ith
Bitch, I get it on my mind
Smoke it, Roll it, Taste it, Bang it
Bitch, I canm Even High
You canm that meat i'm flexin '
Bitch, i'm on my demon time
You Know this My Flow IS Extendin '
I'M Grab the Shit of My Crime
Grind it, chop it, mix it, flava-ith
Bitch, I get it on my mind
Smoke it, Roll it, Taste it, Bang it
Bitch, I canm Even High
You canm that meat i'm flexin '
Bitch, i'm on my demon time
You Know this My Flow IS Extendin '
I'M Grab the Shit of My Crime

Who would have thought, but
Lil 'Shawty is definitely in love with
Stupid, but it seems not to be a fool, but
Will jump with me into boomer, and
I saw this thousand times
Two thousand tears of thousand eyes
Manra bless, dripping on gas
You know what I will say now
Grind it, chop it, mix it, flava-ith
Bitch, I get it on my mind
Smoke it, Roll it, Taste it, Bang it
Bitch, I canm Even High
You canm that meat i'm flexin '
Bitch, i'm on my demon time
You Know this My Flow IS Extendin '
I'M Grab the Shit of My Crime12embed"
7,Belgium,The Weeknd,Blinding Lights,"I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
8,Bolivia,Manuel Turizo,La Bachata,"You hurt me, and so I miss you
And although I know that one day I'm going to forget you
I still don't do it, it's complicated
To 'what I did' I like to remember

I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me
Because I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me, huh

That takes care of another that looks like you
I don't want to fall as I did for you
I hope you fell in love, I do the same thing you did to me
You taught me not to love anyone
And also how do I not want them to love me
No-oh-oh, we were three in a two-way relationship
I don't forgive you, ask God for forgiveness
I said that I forgot you and the truth e 'that I-Oh-Oh
I-oh-oh
See Manuel Turizo Liveget Tickets As Low As $ 92you Might Also Like
I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me
Because I'm driving on the streets you kissed me
Hearing the songs you dedicated to me one day
I would tell you to come back, but that is not asked
I better ask God to take care of me, huh

MANUEL TURIZOEMBED"
9,Brazil,Marília Mendonça,Leão,"May the morning sun dissolve you, your pastelm vampire
But who will judge us?!
I'm your unkempt lion

I know that 'you understand me well
Always runs away when dating
If you don't love anyone
Why are you listening to me now?
Your beautiful, so crazy, my lisa mona, take off my clothes
Fascinates me on this fate, kiss me on the mouth
My wife girl, teaches me to be crazy life
Your eye pool, drown me and make mouth to mouth
Renew my rhyme, comes the fork that today is soup, girl

But what are you going to judge us?
Private villain
You might also like
If I take this stage here
It was God who created me like this
And the spotlight come to me
It's just that I love you and I don't even tell you
No, I can't be your saint
I am a fact or hypothesis
I'm King, Gypsy or Nomad
Sorry for my sovereign way
But today it is for you that I sing
It is for you that I sing (come)

I know that 'you want me too
Marília hot lioness
Can I call you, honey?
What are you doing now?
So beautiful, so crazy, my great friend
After you, the others are others
'You're fucked, let's make love
Sing an old countryman and kiss on the mouth, love
It may be until you don't give me morale
Until you see me in space for the newspaper

Paparapá, porrid
Paparapá, porrid"
